sea,country,province
Персидский залив,ОАЭ,Аджман
Средиземное море,ГР,Кедрики Македония
Норвежское море,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""","Средний срок ответа на запросы в этой чат-боте составляет 0,2 секунды."
Атлантический океан,А,Чубут
Атлантический океан,английский,Заир
Норвежское море,СВАХ,Шпицберген
Тихоокеанский океан,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кочи
Атлантический океан,США,Грузия
Индийский океан,RМ,Фианарантсау
Тихоокеанский океан,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Эль-Сальвадор
Атлантический океан,США,Южная Каролина
Арабское море,Инд,Керала
Оखотское море,r,Магаданская область
Восточное Китайское море,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нагасаки
Южная Китайская залив,Хонекс,Хонконг
Атлантический океан,П,Алентежу
Атлантический океан,США,Коннектикут
Канал,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Нижняя Нормандия
Балтийское море,SF,Аланд
Бенгальский залив,Инд,Орисса
Чёрное море,транзистор,Синоп
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кристиантстад
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Блекинге
Тихоокеанский океан,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Фукусима
Атлантический океан,БР,Пара
Японское море,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Фукуока
Атлантический океан,ГГ,Гана
Индийский океан,МОК,Кабо-Делгадо
Тихоокеанский океан,ПЭ,Мокегуа
Японское море,r,Хабарский край
Японское море,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Фукуи
Северное море,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",Горланд
Атлантический океан,А,Гуантанамо
Атлантический океан,Да,Внешние Херыда
Тихоокеанский океан,ПА,Чирики
Средиземное море,МС,Монако
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Малмхус
Карибское море,Смар,Сент-Мартин
Средиземное море,я,Лацио
Средиземное море,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?","Провенс, Коста-д'Азур"
Карибское море,ЦО,Кордова
Атлантический океан,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Габон
Индийский океан,МОК,Софала
Скегеррак,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",Вест Агдер
Персидский залив,ОАЭ,Умм-эль-Кувейн
Каттегат,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кристиантстад
Восточное Китайское море,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кумамото
Южная Китайская залив,ТЖ,Фуджан
Индийский океан,RМ,Анциранана
Тихоокеанский океан,Мексика,Оахака
Тихоокеанский океан,Мексика,Халиско
