country,population_growth,infant_mortality
افг,4.78,149.7
английский,2.68,138.9
Аз,0.78,74.5
БД,1.85,102.3
БЕН,3.32,105.1
БФ,2.53,117.8
БХТ,2.32,116.3
АИ,1.54,102.2
БОЛ,1.82,67.5
БР,1.16,55.3
КАМ,2.89,78.7
ЦИ,2.92,82.4
COМ,3.55,75.3
Резюме,2.93,54.3
ДЖИ,1.5,106.7
EОК,2.27,55.3
Ешь,1.15,105.9
ВЭА,2.24,99.4
ER,2.79,118.9
ET,1.91,72.8
ЭТХ,2.72,122.8
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1.47,90.1
GКА,2.48,50.7
ГГ,2.29,80.3
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",2.35,115.8
ГQ,2.58,98.0
ЧЕЛОВЕК,-0.9,51.4
Инд,1.64,71.1
Ярко,2.21,52.7
Ирак,3.69,60.0
К,2.77,107.8
КАЗ,-0.15,63.2
КГЗ,0.07,77.8
Кир,1.89,52.9
Лаос,2.81,96.8
ЛАР,3.67,59.5
LB,2.13,108.1
Л,1.9,81.6
Майо,3.32,56.29
МНГ,1.69,69.7
МОК,2.65,125.6
МВ,1.71,139.9
МЯ,1.84,80.7
НЕП,2.45,79.0
ПЭ,1.74,52.2
ПК,2.24,96.8
ПНГ,2.29,60.1
РБ,1.63,54.2
"RCA — это аббревиатура, которая означает ""Анализ коренных причин"" (Root Cause Analysis). Это метод выявления и устранения основных причин проблемы или неполадки.",2.08,111.7
РКБ,2.19,108.1
РГ,1.85,134.1
—,1.77,103.8
Р,1.53,63.1
РИМ,3.17,81.7
RМ,2.83,93.5
ММ,2.95,102.7
РН,2.99,117.6
RT,3.56,84.3
РWA,16.49,118.8
"Да, это возможно! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст для перевода и укажите нужный язык.",3.24,88.4
СН,3.37,64.0
