lake,country,province
Бриенцерар,Ч,Будьте
Озеро Преспа,ГР,Дитинская Македония
Саймаа,SF,Кими
Мёртвое море,ИЛ,Южный
Каспийское море,Ярко,Гилан
Озеро Шамплен,КНДР,Квебек
Озеро Киву,РWA,Руанда
Озеро Сесе-Секо/Альбертзеэ,ЗРЕ,Верхний Заир
Озеро Орихид,МК,Македония
Озеро Виктория,Ешь,Мванза
Озеро Тахо,США,Калифорния
Балатон,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Весьрем
Озеро Титикака,ПЭ,Пуно
Озеро Нипигон,КНДР,Онтарио
Вербльтессер-Зе,Ч,ОВ
Озеро Шамплен,США,Вермонт
Пирамидное озеро,США,Невада
Каспийское море,КАЗ,Мангышлак
Озеро Хемью,Австралия,Виктория
Боденское озеро,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Баден-Вюртемберг
Каспийское море,Ярко,Мазандеран
Кратер-лейк,США,Орегон
Озеро Пауелл,США,Уайоминг
Озеро Сакакавеа,США,Монтана
Кэйнджи,ВАН,Нигерия
Озеро Мид,США,Невада
Оеро Чаны,r,Новосибирская область
Озеро Аббе,ДЖИ,Джибути
Мбакау,КАМ,Адамава
Озеро Гезера,СИР,Сирия
Озеро Пауелл,США,Аризона
Озеро Май Ндомбе,ЗРЕ,Бандунду
Макарикари Соленая Пахта,РБ,Ботсвана
Озеро Танганьика,Ешь,Мбея
Аммерзее,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Бавария
Большой Медведичный Озер,КНДР,Северо-Западные территории
Озеро Ван,транзистор,Битлис
Озеро Сакакавеа,США,Северная Дакота
Озеро Иразу,КР,Карфаген
Оозеро Онега,r,Вологодская область
Озеро Эри,США,Пенсильвания
Океан-Бэй,США,Флорида
Озеро Малави,МОК,Ниасса
Мёса-Сёр,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",Хед
Озеро Маниконган,КНДР,Квебек
Меларен,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вастманланд
Озеро Турнкена,ЭТХ,Эфиопия
лагуна Мар-Киенке,А,Сан-Фе
Озеро Маджоре,я,Ломбардия
Озеро Кебан,транзистор,Малация
Мёртвое море,Запад,Западный берег реки Иордан
Озеро Леман,Ч,ГЭ
Озеро Танганьика,ЗРЕ,Шаба/Катанга
Зюрихсее,Ч,Ж
Лак Ассаль,ДЖИ,Джибути
Сильян,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Даларна
Тунзерский,Ч,Будьте
Озеро Кариба,ЦВ,Зимбабве
Каспийское море,КАЗ,Атырау
Озеро Насер,ET,Асуан
Озеро Мичиган,США,Висконсин
Ликанкабурский кратер,РХЧ,Чили
Озеро Рука,Ешь,Мбея
Отец,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Скарабей
Ваенерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Скарабей
Озеро Эри,США,О하이о
Озеро Больцено,я,Лацио
Великий Слайв lago,КНДР,Северо-Западные территории
Чадское озеро,РН,Нигер
Озеро Онтарио,США,Нью-Йорк
Озеро Танганьика,ЗРЕ,Киву
Озеро Онтарио,КНДР,Онтарио
Вербльтессер-Зе,Ч,ЛУ
Озеро Эри,КНДР,Онтарио
Озеро Хемью,Австралия,Новый Южный Уэльс
Каспийское море,r,Астраханская область
Оеро Балчаш,КАЗ,Тальдыкорган
Озеро Кариба,z,Южный
Чьемзее,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Бавария
Озеро Трасимено,я,Умбрия
Иссик- Кул,КГЗ,Киргизстан
