island,sea,lake,river
Остров Санта-Роза,Тихоокеанский океан,,
Лунди,Атлантический океан,,
Гренландия,Северный Ледовитый океан,,
Фуэнен,Балтийское море,,
Порту-Санту,Атлантический океан,,
Балтрам,Северное море,,
Готланд,Балтийское море,,
Форментера,Средиземное море,,
Тарава,Тихоокеанский океан,,
Остров Пасхи,Тихоокеанский океан,,
Тайвань,Южная Китайская залив,,
"Каймановы острова, Брик",Карибское море,,
Футуна,Тихоокеанский океан,,
Тиниан,Тихоокеанский океан,,
Влиеленд,Северное море,,
Изабелла,Тихоокеанский океан,,
Тайвань,Восточное Китайское море,,
Гран-Коморо,Индийский океан,,
Амбон,Тихоокеанский океан,,
Фонгафале,Тихоокеанский океан,,
Антигуа,Карибское море,,
Бонаир,Карибское море,,
Великая Британия,Северное море,,
Сент-Китс,Карибское море,,
Хоншью,Тихоокеанский океан,,
Кракатау,Индийский океан,,
Третья,Атлантический океан,,
Боркум,Северное море,,
Льюис и Харрис,Атлантический океан,,
Тутuilя,Тихоокеанский океан,,
Террафіка,Атлантический океан,,
Сардиния,Средиземное море,,
Остров Санта-Каталина,Тихоокеанский океан,,
Барбадос,Атлантический океан,,
Файал,Атлантический океан,,
Батам,Южная Китайская залив,,
Остров Котельный,Сибирское море,,
Сицилия,Средиземное море,,
Ибица,Средиземное море,,
Липари,Средиземное море,,
Аличуди,Средиземное море,,
Сент-Китс,Атлантический океан,,
Гомера,Атлантический океан,,
Цикла,Средиземное море,,
Огонь,Атлантический океан,,
Остров Виктория,Северный Ледовитый океан,,
Лесбос,Средиземное море,,
Тэ Вака-а-Мауи (Южный остров),Тихоокеанский океан,,
Сан-Томе и Принсипи,Атлантический океан,,
Англи,Ирландское море,,
Острів Баффин,Северный Ледовитый океан,,
Куба,Гольфстрем,,
Базе-Терр,Атлантический океан,,
