name,depth
Арабское море,5203.0
Японское море,4036.0
Каттегат,94.0
Индийский океан,6400.0
Балтийское море,459.0
Сибирское море,540.0
Персидский залив,102.0
Ирландское море,272.0
Карибское море,7240.0
Канал,175.0
Малаккский пролив,104.0
Гольфстрем,5143.0
Баренцево море,32.0
Чёрное море,2211.0
Бхарат-сага,4694.0
Жёлтое море,200.0
Восточное Китайское море,2370.0
Оखотское море,3372.0
Оманское море,3350.0
Тихоокеанский океан,11034.0
Бенгальский залив,4045.0
Азовское море,100.0
Северное море,200.0
Красный море,2635.0
Средиземное море,5121.0
Северный Ледовитый океан,5608.0
Андаманское море,3113.0
Тихоокеанский океан,7440.0
Гольфстрем,4375.0
Норвежское море,3860.0
Атлантический океан,9219.0
Моря Сулавеши,6218.0
Берингово море,4096.0
Скегеррак,725.0
Южная Китайская залив,5420.0
