mountain,island
Концепсьон,Оме́тепе
Пико Дуарте,Доминиканская Республика
Эта,Сицилия
Халеакала,Мауи
Пуло́г,Лузон
Гора Апо,Минданао
Питон дэ Неж,Реюнион
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Манталингажан,Палау
Мауна-Лоа,Гавайи
Пинатубо,Лузон
Керини,Суматра
Пик Барбоу,Элсмерский остров
Мерапи,Джава
Олимпос,Кипр
Гуни Бинаи,Керам
Асаи-Дакэ,Хоккайдо
Пик Джейя,Новая Гвинея
Тата-малу,Тимор
Огонь,Огонь
Ю Шань,Тайвань
Гора Уильямс,Новая Гвинея
Андрингитра,Мадагаскар
Пеле,Мартиник
Бен-Невис,Великая Британия
Гора Бабилон,Остров Рене Левассера
Попоманасеу,Гвадалканал
Суфриер,Сент-Винсент
Пико де Сан-Томе,Сан-Томе и Принсипи
гора Балби,Бугенвиль
Цяфаджавона,Мадагаскар
Псилоритис,Крета
Маунт Орехена,Тахити
