name,area,longitude,latitude
Даште-Маргох,40000.0,62.0,31.0
Эрдди Эннеди,180000.0,22.0,18.0
Гибсон-Пустыня,310800.0,125.0,-23.0
Кысылкум,200000.0,65.0,44.0
Великий Викторийский пустыня,424400.0,129.0,-29.0
Калахари,1200000.0,21.0,-22.0
Стуртский пустыня,13000.0,141.0,-29.0
Танезруфт,160000.0,0.0,23.0
Ригестан,25000.0,65.0,30.0
Дашт-е-Лут,166000.0,57.0,32.5
Тар,240000.0,72.0,27.5
Баха-Калифорния-Десерт,30000.0,-116.0,31.0
Эрг Исауэн,80000.0,8.0,28.0
Нуллаборра-Плейн,200000.0,129.0,-31.0
Эрг Мактеир,40000.0,-11.0,22.0
Нефуд,78000.0,42.0,28.0
Эрг Игиди,150000.0,-5.0,27.0
Койдам,120000.0,95.0,37.5
तलाक,100000.0,6.0,17.0
Симпсон-десерт,176500.0,137.0,-25.0
Рын,80000.0,47.0,48.0
Уст-Урт,180000.0,56.0,43.0
Большой Западный эрг,200000.0,-1.0,30.0
Сирийская пустыня,518000.0,39.0,33.0
Ферло,70000.0,-14.0,15.0
Сагия эль-Хамра,25000.0,-10.0,27.0
Негев,12000.0,35.0,30.5
Эрг Уаране,80000.0,-11.0,21.0
Намибия,95000.0,15.0,-25.0
Траза,50000.0,-15.0,18.0
Гоби,1000000.0,105.0,41.0
Оуэйхи,36000.0,-117.0,42.0
Великий Сэнд-десерт,360000.0,123.0,-20.0
Красный центр,1000000.0,135.0,-26.0
Танами,37500.0,130.0,-20.0
Великий Эрг Запад,150000.0,8.0,31.0
Азауад,80000.0,0.0,20.0
Гурбангута,48800.0,87.5,45.0
Атакама,181300.0,-69.25,-24.5
Эрг Чеч,10000.0,-3.0,25.0
Тенере,600000.0,11.0,18.0
Колорадо-Плато,337000.0,-110.0,36.0
Руб-эль-Хали,780000.0,51.0,21.0
Нубийский пустыня,50000.0,21.0,32.0
Хамада дю Драа,35000.0,,
Эрг Ребяна,200000.0,22.0,23.0
Либийская пустыня,1100000.0,,
Даште-кавир,77600.0,55.0,32.5
Кум Тагх,22000.0,92.0,40.0
Мурункум,37500.0,72.0,44.0
Джураб,100000.0,18.0,17.0
Чихуахуа,360000.0,-105.0,31.0
Ордос,90000.0,108.0,38.0
Морава,57000.0,-115.2,36.2
Фесан,300000.0,13.0,26.0
Арабское пустыня,50000.0,26.0,33.0
Такла-ма-кан,300000.0,82.0,38.0
Великая солёная пустыня,10360.0,-114.0,41.0
Хамада аль-Хамра,84000.0,12.0,30.0
Сонора,320000.0,-113.0,32.0
Дарфур,500000.0,27.0,15.0
Великий бассейн,300000.0,-117.0,38.0
Каракум,400000.0,60.0,40.0
