river,country,province
Лаген,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",Акерсхус
Уэль,ЗРЕ,Экватор
Колорадо,Мексика,Баха-Калифорния
Морава,Че-че-че!,Праг
Вера,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Нижняя Саксония
Убанги,РКБ,Конго
Иравади,МЯ,Кацин
Изар,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Бавария
Рюсс,Ч,АГ
Эбро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Каталония
Река Труки,США,Невада
Мюррей-Ривер,Австралия,Южный Австралийский штат
Бахр-эль-Джебель/Альберт-Нил,СУД,Аали и Нил
Амазонка,БР,Пара
Луапула,z,Луапула
Аргун,r,Читинская область
Шари,ЧХ,Чад
Тамез,Да,Эссекс
Кванго,ЗРЕ,Бандунду
Мας,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Северный Брабант
Бригач,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Баден-Вюртемберг
Ква,ЗРЕ,Бандунду
Рио-Гранде,Мексика,Тамаулипс
Южная Морава,SRB,Сербия
Спасибо,СУД,Аали и Нил
Гвадиан,П,Порту
Детройтская река,КНДР,Онтарио
Тхёрсура,Да,Исландия
