river,country,province
Лех,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Бавария
Ганг,Инд,Западный Бенгал
Джейнсэй,r,Республика Тыва
Аму́р,ТЖ,Хэйлунцзян
Тигр,транзистор,Сирт
Лех,А,Тироль
Уэль,ЗРЕ,Верхний Заир
Рио-Лерма,Мексика,Керетаро
Ока,r,Тульская область
Гломма,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",Акерсхус
Пру́т,UKР,Ивано-Франковск
Вуокса,r,Республика Карелия
Миссисипи,США,Иллинойс
Северная Двина,r,Архангельская область
Дунай,А,Нижняя Австрия
Белый Дрин,К Ос,Косово
Мура́т,транзистор,Мус
Гломма,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",Хед
Уэль,ЗРЕ,Экватор
Рио Магдалена,ЦО,Южный Сантандер
Изар,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Бавария
Ока,r,Владимирская область
Ока,r,Риязанская область
Олт,"Да, я могу помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",Вилцеа
Евфрат,транзистор,Малация
Парана,БР,Минас-Жерайс
Бахр эль-Гасаль,СУД,Аали и Нил
Добс,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Франш-Конте
Амазонка,ПЭ,Лорето
Брахмапутра,БД,Бангладеш
Река Юкон,КНДР,Саха-Яно-Манси
Дунай,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",Болгария
Рейн,А,Форарльберг
Ура́ль,r,Республика Bashkirt
Люва,ЗРЕ,Шаба/Катанга
Пру́т,МД,Молдова
Амыдарджа,УЗБ,Самарканд
Иллер,А,Форарльберг
Лоара,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Центр
Дро,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Баряна
Тхёрсура,Да,Исландия
Лимпопо,МОК,Газа
Блю Нил,СУД,аль-Хартум
Тоболь,КАЗ,Костанай
Раб,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гёр-Sopрон
Тисс,UKР,Закарпатье
Обзор,r,Новосибирская область
Рио Сан-Хуан,НИЧ,Никарагуа
Парана,"Пожалуйста, предоставьте текст для перевода:",Парагвай
Западная Двина,LV,Латвия
Моза,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Лотарингия
Колорадо,США,Колорадо
Ока,r,Московская область
Везер,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Северный Рейн-Вестфалия
Нил,ET,Сохаг
