country,continent,percentage
Лаос,Азия,100.0
МОК,Африка,100.0
БХТ,Азия,100.0
СУД,Африка,100.0
АИ,Африка,100.0
ГQ,Африка,100.0
Западная Вирджиния,Америка,100.0
МВ,Азия,100.0
М,Европа,100.0
НЕП,Азия,100.0
Ц,Европа,100.0
БЕРМ,Америка,100.0
И,Европа,100.0
ВЭА,Африка,100.0
КЛ,Азия,100.0
АРУ,Америка,100.0
ЭТХ,Африка,100.0
БИХ,Европа,100.0
КГЗ,Азия,100.0
"Я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Европа,100.0
ПЭ,Америка,100.0
А,Азия,100.0
транзистор,Европа,5.0
ИЛ,Азия,100.0
ГЭ,Азия,100.0
ПЛ,Европа,100.0
КНДР,Америка,100.0
ХР,Европа,100.0
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Азия,100.0
ГУАД,Америка,100.0
ВР,Африка,100.0
МС,Европа,100.0
СЛБ,Австралия/Океания,100.0
r,Азия,80.0
А,Америка,100.0
Б,Европа,100.0
БВИР,Америка,100.0
ТМ,Азия,100.0
