city,province,country,river,lake,sea
Кременчуг,Полтавская,UKР,Днепр,,
Бульвар-Сен-Жермен,Франция,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Сень,,
Братск,Иркутская область,r,Ангара,,
Таллинн,Эстония,ЕВ,,,Балтийское море
Реггио-де-Калабрия,Калабрия,я,,,Средиземное море
Белград,Сербия,SRB,Сохранить,,
Вестерас,Вастманланд,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,Меларен,
Бостон,Массачусетс,США,,,Атлантический океан
Стамбул,Ругаланд,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",,,Северное море
Нумеоа,Новая Каледония,Федеральное бюро расследований США,,,Тихоокеанский океан
Шарлоттаун,Остров Принца Эдуарда,КНДР,,,Атлантический океан
Сегед,Сегед (город в Венгрии),"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тисс,,
Лонг Сюэнь,Вьетнам,"Да, я могу помочь с переводом с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Меконг,,
Чилунг,Тайвань,RC,,,Восточное Китайское море
Кастри,Сент-Люсия,-5°C,,,Карибское море
Петропавловск,Солтустик Казахстан,КАЗ,Ищим,,
Аден,Йемен,Да,,,Гольфстрем
Хамхунг Хуннам,Северная Корея,Нет,,,Японское море
Хартум-Север,аль-Хартум,СУД,Нил,,
Пангкал Пинанг,Индонезия,Р,,,Южная Китайская залив
Семей,Семей,КАЗ,Иртыш,,
Лязо,Ганьсу,ТЖ,Хванго,,
Зальцбург,Зальцбург,А,Салцах,,
Тромсё,Тромсё,"No additional text provided, only translation output:

""Вы не хотите поговорить со мной?""",,,Норвежское море
Сан-Луис,Маражо,БР,,,Атлантический океан
Монреаль,Квебек,КНДР,Река Святого Лаврентия,,
Ульм,Баден-Вюртемберг,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Иллер,,
Окаяма,Окаяма,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,Тихоокеанский океан
Ву-ху,Аnhуй,ТЖ,Джангтсе,,
Тунис,Тунис,ТН,,,Средиземное море
Кострома,Костромская область,r,Волга,,
Римини,Эмилия-Романья,я,,,Средиземное море
Морони,Коморы,COМ,,,Индийский океан
