river,country,province
Дунай,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Баден-Вюртемберг
Эльба,Че-че-че!,Выдворены
Рюсс,Ч,УР
Тхёрсура,Да,Исландия
Эцх,я,Трентино-Альто-Адидже
Южная Морава,МК,Македония
Парагвай,БР,Мату-Гросу
Токантинс,БР,Гоас
Бене,КАМ,Север
Ква,ЗРЕ,Бандунду
Шатт а-Араб,Ирак,Ал-Анбар
Вольта,БФ,Буркина-Фасо
Евфрат,транзистор,Малация
Меконг,ТЖ,Тибет
Тигр,транзистор,Диярбакыр
Иравади,ТЖ,Тибет
Здравствуйте,ТЖ,Тибет
Пяндш,افг,Афганистан
Карасу,транзистор,Эривань
Слон,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Лотарингия
Аргун,ТЖ,Хэйлунцзян
Амыдарджа,ТАД,Хатлун
Кура,транзистор,Карс
Дрин,АЛ,Албания
Уругвай,БР,Риу-Гранди-ду-Сул
Сенегал,РГ,Гвинея
Жёкулсёфьорд,Да,Исландия
Бахр-эль-Джебель/Альберт-Нил,ВЭА,Уганда
Мας,"Да, конечно! Я могу помочь с переводом. Каким текстом вы хотели бы заняться сначала?",Шампань-Арденн
Вера,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше вопрос или предоставьте дополнительную информацию.",Тюрингия
Уэль,ЗРЕ,Верхний Заир
Раб,А,Стирия
Детройтская река,КНДР,Онтарио
Ура́ль,r,Республика Bashkirt
Обзор,r,Алтающий край
Иртыш,КАЗ,Шыга́ш Каза́кстан
Новое,r,Лeningрадская область
Эннс,А,Нижняя Австрия
Днестр,UKР,Львовская
Колорадо,США,Колорадо
Белый Дрин,К Ос,Косово
Улуйоки,SF,Уулу
Колыма,r,Магаданская область
Рио Магдалена,ЦО,Хуила
Лиммат,Ч,Ж
Рио Сан-Франциско,БР,Минас-Жерайс
Бусира,ЗРЕ,Экватор
Рио-Дес-Агуадеро,БОЛ,Боливия
Пру́т,UKР,Ивано-Франковск
Карун,Ярко,Эсфахан
Джейнсэй,r,Республика Тыва
Арно,я,Тоскана
Рио Сан-Хуан,НИЧ,Никарагуа
Бому,ЗРЕ,Верхний Заир
Рейн,Ч,ГР
Нил,СУД,аль-Хартум
Река Ниагара,США,Нью-Йорк
Миссисипи,США,Миннесота
Лукен,ЗРЕ,Восточный Касай
