year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1970,NHL,PIT,18,12,9.0,,3,25,11.0,,,,,,2.0,4.0,3.0,,3.0,6.0,5.0,,5.0,7.0,3.0,,6.0,5.0,1.0,,3.0,7.0,3.0,,2.0,7.0,3.0,,0.0,1.0,2.0,
1978,NHL,BUF,19,13,8.0,,17,15,8.0,,,,,,2.0,4.0,2.0,,6.0,4.0,4.0,,7.0,5.0,3.0,,4.0,6.0,2.0,,6.0,4.0,0.0,,10.0,3.0,4.0,,1.0,2.0,1.0,
1927,NHL,OTS,13,4,5.0,,7,10,5.0,,,,,,,,,,3.0,4.0,0.0,,4.0,2.0,4.0,,5.0,4.0,1.0,,4.0,1.0,4.0,,4.0,3.0,1.0,,,,,
2006,NHL,NYI,22,13,,6.0,18,17,,6.0,,,,,5.0,4.0,,2.0,7.0,5.0,,1.0,7.0,6.0,,0.0,4.0,6.0,,3.0,9.0,2.0,,2.0,4.0,7.0,,4.0,4.0,0.0,,0.0
1909,NHA,OT1,5,1,0.0,,4,2,0.0,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,5.0,1.0,0.0,,0.0,2.0,0.0,,,,,
1964,NHL,BOS,12,17,6.0,,9,26,0.0,,,,,,0.0,8.0,1.0,,5.0,4.0,2.0,,2.0,8.0,1.0,,4.0,13.0,0.0,,5.0,5.0,1.0,,5.0,5.0,1.0,,,,,
1991,NHL,HAR,13,17,10.0,,13,24,3.0,,,,,,5.0,3.0,2.0,,6.0,7.0,1.0,,3.0,8.0,1.0,,1.0,7.0,3.0,,4.0,6.0,4.0,,5.0,9.0,2.0,,2.0,1.0,0.0,
2003,NHL,FLO,16,15,7.0,3.0,12,20,8.0,1.0,,,,,4.0,5.0,2.0,0.0,5.0,8.0,2.0,0.0,3.0,3.0,5.0,2.0,5.0,6.0,2.0,1.0,6.0,4.0,3.0,0.0,5.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0
1976,NHL,CHI,19,16,5.0,,7,27,6.0,,,,,,7.0,5.0,1.0,,3.0,7.0,1.0,,2.0,8.0,4.0,,6.0,4.0,3.0,,5.0,8.0,1.0,,3.0,9.0,1.0,,0.0,2.0,0.0,
1978,NHL,DET,15,17,8.0,,8,24,8.0,,,,,,4.0,2.0,3.0,,2.0,8.0,3.0,,2.0,10.0,5.0,,2.0,7.0,3.0,,4.0,6.0,0.0,,7.0,6.0,2.0,,2.0,2.0,0.0,
