playerid,award,year,lgid,note,pos
abelsi01,First Team All-Star,1949,NHL,,C
appssy01,First Team All-Star,1938,NHL,,C
baileac01,Art Ross,1928,NHL,,
barbebi01,First Team All-Star,1975,NHL,,LW
bathgan01,Second Team All-Star,1957,NHL,,RW
bauerbo01,Second Team All-Star,1938,NHL,,RW
belfoed01,Jennings,1998,NHL,shared,
belivje01,First Team All-Star,1956,NHL,,C
belivje01,Second Team All-Star,1957,NHL,,C
blaketo01,Art Ross,1938,NHL,,
blaketo01,First Team All-Star,1938,NHL,,LW
blaketo01,Hart,1938,NHL,,
blincru01,Calder,1933,NHL,,
bouchfr01,First Team All-Star,1932,NHL,,C
bouchfr01,First Team All-Star,1933,NHL,,C
bouchfr01,First Team All-Star,1934,NHL,,C
bouchfr01,Lady Byng,1927,NHL,,
bouchfr01,Lady Byng,1928,NHL,,
bouchfr01,Lady Byng,1929,NHL,,
bouchfr01,Lady Byng,1930,NHL,,
bouchfr01,Lady Byng,1932,NHL,,
bouchfr01,Lady Byng,1933,NHL,,
bouchfr01,Lady Byng,1934,NHL,,
bouchfr01,Second Team All-Star,1930,NHL,,C
bourqra01,Second Team All-Star,1998,NHL,,D
brimsfr01,Calder,1938,NHL,,
brimsfr01,First Team All-Star,1938,NHL,,G
brimsfr01,Second Team All-Star,1947,NHL,,G
brimsfr01,Vezina,1938,NHL,,
brodatu01,First Team All-Star,1947,NHL,,G
brodatu01,Vezina,1947,NHL,,
chabolo01,First Team All-Star,1934,NHL,,G
chabolo01,Vezina,1934,NHL,,
chevrre01,Second Team All-Star,1956,NHL,,LW
clancki01,First Team All-Star,1930,NHL,,D
clancki01,First Team All-Star,1933,NHL,,D
clancki01,Second Team All-Star,1932,NHL,,D
clappdi01,First Team All-Star,1938,NHL,,D
clappdi01,Second Team All-Star,1930,NHL,,RW
clappdi01,Second Team All-Star,1934,NHL,,RW
clarkbo01,First Team All-Star,1975,NHL,,C
clarkbo01,Hart,1975,NHL,,
clarkbo01,Masterton,1971,NHL,,
cloutre01,Second Team All-Star,1975,WHA,,RW
colvine01,Second Team All-Star,1938,NHL,,C
colvine01,Second Team All-Star,1947,NHL,,D
conacch01,Art Ross,1933,NHL,,
conacch01,Art Ross,1934,NHL,,
conacch01,First Team All-Star,1933,NHL,,RW
conacch01,First Team All-Star,1934,NHL,,RW
conacch01,Second Team All-Star,1932,NHL,,RW
conacli01,First Team All-Star,1933,NHL,,D
conacli01,Second Team All-Star,1932,NHL,,D
cookbi01,Art Ross,1932,NHL,,
cookbi01,First Team All-Star,1930,NHL,,RW
cookbi01,First Team All-Star,1932,NHL,,RW
cookbi01,Second Team All-Star,1933,NHL,,RW
cookbu01,Second Team All-Star,1930,NHL,,LW
coultar01,Second Team All-Star,1934,NHL,,D
coultar01,Second Team All-Star,1938,NHL,,D
cournyv01,Second Team All-Star,1971,NHL,,RW
cullejo01,Masterton,1998,NHL,,
dafoeby01,Second Team All-Star,1998,NHL,,G
daleyjo01,First Team All-Star,1975,WHA,,G
desjaer01,Second Team All-Star,1998,NHL,,D
dionmi01,Hatskin,1975,WHA,Best Goaltender,
drillgo01,First Team All-Star,1938,NHL,,RW
drurych01,All-Rookie,1998,NHL,,F
drurych01,Calder,1998,NHL,,
drydeke01,Calder,1971,NHL,,
drydeke01,First Team All-Star,1975,NHL,,G
drydeke01,Second Team All-Star,1971,NHL,,G
drydeke01,Vezina,1975,NHL,,
durnabi01,First Team All-Star,1949,NHL,,G
durnabi01,Vezina,1949,NHL,,
esposph01,Art Ross,1971,NHL,,
esposph01,First Team All-Star,1971,NHL,,C
esposto01,First Team All-Star,1971,NHL,,G
delveal01,Lady Byng,1958,NHL,,
gretzwa01,Second Team All-Star,1979,NHL,,C
blaketo01,First Team All-Star,1939,NHL,,LW
seibeea01,First Team All-Star,1943,NHL,,D
robitlu01,Second Team All-Star,1991,NHL,,LW
clarkbo01,First Team All-Star,1974,NHL,,C
hedbean01,Masterton,1984,NHL,,
richama01,First Team All-Star,1955,NHL,,RW
trottbr01,First Team All-Star,1978,NHL,,C
malkiev01,Calder,2006,NHL,,
bellbr01,All-Rookie,1984,NHL,,D
salmibo01,Second Team All-Star,1979,NHL,,D
neelyca01,Second Team All-Star,1989,NHL,,RW
goodfeb01,First Team All-Star,1939,NHL,,D
gilbero01,First Team All-Star,1971,NHL,,RW
hamilal01,Second Team All-Star,1973,WHA,,D
thornjo01,Art Ross,2005,NHL,,
orrbo01,First Team All-Star,1969,NHL,,D
richama01,Second Team All-Star,1956,NHL,,RW
fleurth01,Second Team All-Star,1994,NHL,,RW
plantja01,Second Team All-Star,1957,NHL,,G
belfoed01,All-Rookie,1990,NHL,,G
vernomi01,Second Team All-Star,1988,NHL,,G
parkbr01,Masterton,1983,NHL,,
malkiev01,Conn Smythe,2008,NHL,,
geoffbe01,Hart,1960,NHL,,
coffepa01,First Team All-Star,1994,NHL,,D
belivje01,Second Team All-Star,1963,NHL,,C
gretzwa01,Plus-Minus,1983,NHL,,
lapoigu01,Second Team All-Star,1976,NHL,,D
prestri01,Playoff MVP,1978,WHA,,
havlama01,All-Rookie,2000,NHL,,F
shoreed01,Second Team All-Star,1933,NHL,,D
jovaned01,All-Rookie,1995,NHL,,D
durnabi01,Vezina,1945,NHL,,
makarse01,Calder,1989,NHL,,
giacoed01,Second Team All-Star,1968,NHL,,G
bentlma01,Art Ross,1945,NHL,,
delveal01,Second Team All-Star,1952,NHL,,C
sawchte01,Vezina,1964,NHL,shared,
vlasima01,All-Rookie,2006,NHL,,D
verstkr01,All-Rookie,2008,NHL,,F
cainhe01,Art Ross,1943,NHL,,
johnsmi01,All-Rookie,1997,NHL,,F
lidstni01,First Team All-Star,2000,NHL,,D
bossymi01,Lady Byng,1983,NHL,,
tavarjo01,All-Rookie,2009,NHL,,F
robinla01,First Team All-Star,1979,NHL,,D
johnsch01,First Team All-Star,1932,NHL,,D
carlema01,All-Rookie,2006,NHL,,D
shmyrpa01,Second Team All-Star,1978,WHA,,D
howego01,Art Ross,1950,NHL,,
sullist01,Masterton,2008,NHL,,
delzomi01,All-Rookie,2009,NHL,,D
mahovfr01,First Team All-Star,1972,NHL,,LW
seibeea01,Second Team All-Star,1935,NHL,,D
hullbr01,First Team All-Star,1990,NHL,,RW
staplpa01,Second Team All-Star,1976,WHA,,D
whiteco01,All-Rookie,2000,NHL,,D
howema01,First Team All-Star,1982,NHL,,D
simmech01,First Team All-Star,1979,NHL,,LW
niedesc01,Conn Smythe,2006,NHL,,
lumleha01,First Team All-Star,1953,NHL,,G
gardich01,First Team All-Star,1930,NHL,,G
macinal01,First Team All-Star,1989,NHL,,D
cowlebi01,Second Team All-Star,1944,NHL,,C
howego01,Hart,1959,NHL,,
hainsge01,Vezina,1927,NHL,,
bourqra01,First Team All-Star,1989,NHL,,D
kennete01,Second Team All-Star,1949,NHL,,C
olmstbe01,Second Team All-Star,1955,NHL,,LW
leetcbr01,Second Team All-Star,1995,NHL,,D
richama01,Second Team All-Star,1951,NHL,,RW
drydeke01,Conn Smythe,1970,NHL,,
howego01,Second Team All-Star,1961,NHL,,RW
roypa01,First Team All-Star,1989,NHL,,G
stlouma01,Hart,2003,NHL,,
hallgl01,First Team All-Star,1965,NHL,,G
harvedo01,Norris,1955,NHL,,
sakicjo01,Lady Byng,2000,NHL,,
bossymi01,Conn Smythe,1981,NHL,,
kovalil01,All-Rookie,2001,NHL,,F
oatesad01,Second Team All-Star,1990,NHL,,C
laperja01,Calder,1963,NHL,,
lidstni01,Norris,2005,NHL,,
potvide01,First Team All-Star,1975,NHL,,D
robinla01,Norris,1976,NHL,,
weslegl01,All-Rookie,1987,NHL,,D
suterga01,All-Rookie,1985,NHL,,D
provocl01,Masterton,1967,NHL,,
iginlja01,First Team All-Star,2007,NHL,,RW
breweca01,Second Team All-Star,1969,NHL,,D
nasluma01,Lady Byng,1987,NHL,,
lundqhe01,First Team All-Star,2011,NHL,,G
tardima01,Hunter,1977,WHA,Scoring,
belivje01,Hart,1963,NHL,,
forsbpe01,First Team All-Star,1997,NHL,,C
gorinbu01,Lady Byng,1977,NHL,,
leducri01,Second Team All-Star,1976,WHA,,C
kesseph01,Masterton,2006,NHL,,
roypa01,Jennings,1988,NHL,shared,
giacoed01,Second Team All-Star,1967,NHL,,G
bouchbu01,First Team All-Star,1946,NHL,,D
howego01,Second Team All-Star,1955,NHL,,RW
schrisw01,Art Ross,1936,NHL,,
kellyre01,Lady Byng,1960,NHL,,
kennete01,Hart,1954,NHL,,
colvine01,Second Team All-Star,1939,NHL,,C
sedinhe01,First Team All-Star,2010,NHL,,C
gainebo01,Selke,1978,NHL,,
coffepa01,First Team All-Star,1988,NHL,,D
bossymi01,First Team All-Star,1980,NHL,,RW
orrbo01,First Team All-Star,1970,NHL,,D
croziro01,Calder,1964,NHL,,
datsypa01,Selke,2009,NHL,,
kluzago01,Masterton,1989,NHL,,
sandsto01,All-Rookie,1984,NHL,,RW
gainebo01,Conn Smythe,1978,NHL,,
appssy01,Second Team All-Star,1940,NHL,,C
langwro01,First Team All-Star,1983,NHL,,D
francro01,Lady Byng,1997,NHL,,
trembjc01,Murphy,1972,WHA,Best Defenceman,
ullmano01,Second Team All-Star,1966,NHL,,C
siebeba01,First Team All-Star,1935,NHL,,D
hossama01,Second Team All-Star,2008,NHL,,RW
lawsoda01,First Team All-Star,1972,WHA,,RW
staplpa01,Second Team All-Star,1965,NHL,,D
lalonne01,Art Ross,1920,NHL,,
drydeke01,Vezina,1976,NHL,shared,
flamafe01,Second Team All-Star,1957,NHL,,D
gretzwa01,Second Team All-Star,1988,NHL,,C
laperia01,Masterton,2010,NHL,,
laflegu01,First Team All-Star,1976,NHL,,RW
gretzwa01,First Team All-Star,1980,NHL,,C
roypa01,Vezina,1988,NHL,,
salmibo01,Second Team All-Star,1977,NHL,,D
shanabr01,First Team All-Star,1999,NHL,,LW
richabr01,All-Rookie,2000,NHL,,F
breweca01,Second Team All-Star,1961,NHL,,D
larocmi01,Vezina,1977,NHL,shared,
howego01,Second Team All-Star,1948,NHL,,RW
messima01,Pearson,1989,NHL,,
harmogl01,Second Team All-Star,1948,NHL,,D
thompti01,Vezina,1937,NHL,,
bourqra01,First Team All-Star,1991,NHL,,D
hullbo01,Lady Byng,1964,NHL,,
doughdr01,Second Team All-Star,2009,NHL,,D
reardke01,Second Team All-Star,1948,NHL,,D
shmyrpa01,First Team All-Star,1975,WHA,,D
sundima01,Second Team All-Star,2003,NHL,,C
larocmi01,Vezina,1978,NHL,shared,
hollefl01,Second Team All-Star,1942,NHL,,D
esposph01,First Team All-Star,1968,NHL,,C
poulida02,Selke,1986,NHL,,
sloanto01,Second Team All-Star,1955,NHL,,C
richahe01,Second Team All-Star,1960,NHL,,C
schmimi01,Second Team All-Star,1951,NHL,,C
sedinhe01,Hart,2009,NHL,,
cowlebi01,Hart,1940,NHL,,
primejo01,Lady Byng,1931,NHL,,
campbbr02,Lady Byng,2011,NHL,,
gretzwa01,First Team All-Star,1981,NHL,,C
laflegu01,Pearson,1977,NHL,,
hextaro01,All-Rookie,1986,NHL,,G
nasluma02,Pearson,2002,NHL,,
brimsfr01,Second Team All-Star,1940,NHL,,G
alfreda01,All-Rookie,1995,NHL,,F
iginlja01,First Team All-Star,2008,NHL,,RW
hodgeke01,First Team All-Star,1970,NHL,,RW
thomati01,Crozier,2008,NHL,,
thomsbi02,Second Team All-Star,1935,NHL,,C
ashbeba01,Second Team All-Star,1973,NHL,,D
ozolisa01,First Team All-Star,1996,NHL,,D
cechmro01,Jennings,2002,NHL,shared,
lilesjo01,All-Rookie,2003,NHL,,D
sakicjo01,First Team All-Star,2003,NHL,,C
plantja01,Vezina,1959,NHL,,
hullbo01,First Team All-Star,1961,NHL,,LW
raynech01,Hart,1949,NHL,,
backsni02,All-Rookie,2007,NHL,,F
mullejo01,First Team All-Star,1988,NHL,,RW
sandede01,Calder,1967,NHL,,
