playerid,year,ppa,sha
stastpe01,1989,23,
malondo01,1988,2,
huberwi01,1987,14,
zezelpe01,1990,5,1
ramagro01,1987,19,2
actonke01,1988,,1
laughcr01,1987,3,
petitmi01,1990,16,
murphla01,1990,19,
grahadi01,1987,7,1
lawtobr01,1989,1,
gartnmi01,1989,14,1
pederma01,1990,7,
foligmi01,1990,1,
erickbr01,1987,6,
broteaa01,1990,1,
duguaro01,1987,2,
mcintjo01,1990,,2
frycemi01,1988,3,
goulemi01,1989,15,1
mcdonhu01,1989,1,
carsoli01,1987,1,1
tantito01,1990,5,
donnemi01,1987,2,
fentopa01,1990,2,
mckegto01,1989,3,
hrdinji01,1990,4,
broteaa01,1989,3,
mcbeawa01,1988,1,
dineego01,1988,2,
skrikpe01,1990,5,
cunnera01,1989,4,
wilsoca01,1990,4,
lemiejo01,1989,1,1
jonssto01,1988,24,
ruotsre01,1989,9,
larsore01,1988,14,
huntema01,1990,4,
thibagi01,1989,2,
sheehne01,1987,1,
norwole01,1990,3,
hardyma01,1988,5,
bennibr01,1989,5,
robergo01,1987,3,
rousebo01,1988,,1
macivno01,1988,19,
bradlbr01,1990,10,
lawtobr01,1988,4,
kaspest01,1988,6,2
dineego01,1987,2,
dahlqch01,1990,,1
kennede01,1988,,2
samueul01,1990,,2
carpebo01,1988,4,
tuckejo01,1990,1,
vaiveri01,1988,15,
frasecu01,1987,2,
quinnda01,1989,15,1
kurveto01,1990,15,
cyrpa01,1987,1,
hardyma01,1987,10,1
playfla01,1988,,1
bullami01,1988,13,
ledyagr01,1987,5,
proppbr01,1989,9,
creigad01,1988,7,
crossdo01,1990,21,
brownro01,1990,10,
libaig01,1988,6,
deblolu01,1990,,1
mckegto01,1990,7,
pavesji01,1987,1,
nichobe01,1989,37,1
lawlepa01,1987,3,
gartnmi01,1988,9,
josepch01,1987,6,
courtru01,1988,2,
pederba01,1989,7,1
ferrara01,1990,5,
manthmo01,1987,15,1
johanca01,1988,7,
konrost01,1988,1,1
coxecr01,1987,1,
hullbr01,1987,10,
bassebo01,1988,,1
brookbo01,1989,1,2
bradlbr01,1990,10,
broteaa01,1990,1,
makelmi01,1989,1,
creigad01,1988,7,
adamsgr01,1989,1,
duguaro01,1987,2,
hunteda01,1987,1,4
tuckejo01,1989,6,
thibagi01,1989,2,
ramagro01,1987,19,2
tuckejo01,1990,1,
klimape01,1989,11,
cunnera01,1989,4,
playfla01,1988,,1
brownro01,1990,10,
ruotsre01,1989,9,
huberwi01,1987,14,
dineego01,1987,2,
deblolu01,1990,,1
archida01,1989,4,
gartnmi01,1989,14,1
kaspest01,1988,6,2
bodgedo01,1988,25,1
charbjo01,1988,1,
jonssto01,1988,24,
foligmi01,1990,1,
ledyagr01,1988,6,
quinnda01,1990,18,
rousebo01,1988,,1
donnemi01,1987,2,
ledyagr01,1988,6,
butchga01,1990,3,2
actonke01,1988,,1
pavesji01,1987,1,
wilsoca01,1990,4,
chrisda01,1989,7,
coxecr01,1987,1,
petitmi01,1987,9,1
mcintjo01,1990,,2
maroima01,1988,3,
wilsoca01,1987,9,3
nylunga01,1988,1,
lawtobr01,1988,4,
johanca01,1988,7,
donnemi01,1987,2,
tuckejo01,1989,6,
hunteda01,1988,,1
konrost01,1988,1,1
pederma01,1990,7,
quinnda01,1990,18,
brownro01,1990,10,
maclebr01,1988,8,
manthmo01,1988,9,
frycemi01,1988,3,
crossdo01,1990,21,
laughcr01,1987,3,
vaiveri01,1988,15,
creigad01,1988,7,
hardyma01,1987,10,1
broteaa01,1989,3,
nichobe01,1989,37,1
franclo01,1990,1,1
cyrpa01,1987,1,
larsore01,1988,14,
tuckejo01,1990,1,
sandsto01,1989,20,
hullbr01,1987,10,
courtru01,1988,2,
samueul01,1990,,2
zezelpe01,1990,5,1
mcdonhu01,1989,1,
bassebo01,1988,,1
wellsja01,1989,3,2
gingrga01,1987,9,
lawlepa01,1987,3,
deblolu01,1990,,1
mckegto01,1989,3,
proppbr01,1989,9,
zezelpe01,1988,17,
malondo01,1988,2,
foligmi01,1990,1,
kontoch01,1987,6,
erickbr01,1987,6,
fentopa01,1990,2,
frasecu01,1987,2,
huntema01,1990,4,
wilsoca01,1988,19,
erickbr01,1987,6,
momesse01,1990,1,
mcbeawa01,1988,1,
huntema01,1990,4,
kaspest01,1988,6,2
huberwi01,1987,14,
actonke01,1988,,1
cullejo01,1990,29,
chrisda01,1989,7,
frasecu01,1987,2,
quinnda01,1989,15,1
thibagi01,1989,2,
brookbo01,1989,1,2
hunteda01,1987,1,4
frycemi01,1988,3,
grahadi01,1987,7,1
carsoji01,1989,5,
lawlepa01,1987,3,
jonssto01,1988,24,
iafraal01,1990,11,1
goulemi01,1989,15,1
carpebo01,1988,4,
dineego01,1987,2,
carsoli01,1987,1,1
halwado01,1988,1,
robergo01,1987,3,
rousebo01,1988,,1
smaildo01,1990,1,1
dineego01,1988,2,
bennibr01,1989,5,
wilsoca01,1990,4,
hardyma01,1988,5,
creigad01,1988,7,
lemiejo01,1989,1,1
gingrga01,1987,9,
butchga01,1990,3,2
