playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
shoreha01,1914,OT1,NHA,D,3,0,0,0,3
meekiha01,1925,VIC,WCHL,L,4,0,0,0,6
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
mackeja01,1920,OTS,NHL,F,4,0,0,0,0
oatmaed01,1921,VML,PCHA,R,5,1,1,2,14
cookll01,1920,VML,PCHA,D,5,2,0,2,20
poulisk01,1912,VA1,PCHA,L,3,2,0,2,5
lindsbe01,1912,VA1,PCHA,G,3,0,0,0,0
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
mackami01,1922,VAM,PCHA,L,4,1,0,1,4
dyeba01,1921,TRS,NHL,R,5,9,1,10,3
mcdonja01,1918,MTL,NHL,C,5,1,1,2,3
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
gerared01,1920,OTS,NHL,D,5,0,0,0,44
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
nighbfr01,1922,OTS,NHL,C,6,1,1,2,10
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
pitredi01,1918,MTL,NHL,R,5,0,3,3,0
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
smithto01,1912,QU1,NHA,L,3,4,0,4,0
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
walkeja01,1919,SEA,PCHA,C,5,1,3,4,0
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
uksilch01,1915,PO1,PCHA,R,5,2,0,2,6
haldeha01,1925,VIC,WCHL,D,4,1,0,1,8
pitredi01,1916,MOC,NHA,R,4,5,0,5,6
gengebo01,1913,VA1,PCHA,C,3,0,0,0,15
desirsy01,1920,VML,PCHA,D,4,0,0,0,6
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
moynesp01,1917,VML,PCHA,R,4,0,0,0,9
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
walkeja01,1916,SEA,PCHA,C,4,1,2,3,0
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
lehmahu01,1917,VML,PCHA,G,5,0,0,0,0
munrodu01,1925,MTM,NHL,D,4,1,0,1,6
siebeba01,1925,MTM,NHL,L,4,1,2,3,4
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
cleghod01,1924,MTL,NHL,R/C,4,0,0,0,0
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
rowebo01,1912,VA1,PCHA,D,3,2,0,2,9
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
corbebe01,1916,MOC,NHA,D,4,2,1,3,3
smailwa01,1913,VA1,PCHA,L,3,1,0,1,2
mackami01,1917,VML,PCHA,C,5,5,5,10,12
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
stackte01,1921,TRS,NHL,D,4,0,0,0,0
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
noblere01,1921,TRS,NHL,L,5,0,1,1,9
rossar01,1914,OT1,NHA,D,3,0,0,0,12
cookll01,1923,VAM,PCHA,D,2,0,0,0,4
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
holwaal01,1925,MTM,NHL,D,2,0,0,0,0
stanlba01,1917,VML,PCHA,R,5,2,0,2,6
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
corbebe01,1915,MOC,NHA,D,5,0,1,1,32
cookll01,1914,VML,PCHA,D,3,3,0,3,9
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
mackeja01,1919,OTS,NHL,F,5,0,0,0,0
mummeha01,1917,TOA,NHL,D,5,0,6,6,0
corbebe01,1916,MOC,NHA,D,4,2,1,3,3
morrijo01,1922,EDE,WCHL,R,2,1,0,1,0
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
rickero01,1919,SEA,PCHA,D,5,2,0,2,9
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
meekiha01,1917,TOA,NHL,L,5,1,2,3,0
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
phillme01,1925,MTM,NHL,F,4,1,1,2,0
merriho01,1914,OT1,NHA,D,3,0,0,0,0
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
winklha01,1922,EDE,WCHL,G,2,0,0,0,0
tobinch01,1919,SEA,PCHA,R,5,0,0,0,0
halljo01,1912,QU1,NHA,D,3,0,0,0,7
poulisk01,1913,VA1,PCHA,L,3,2,0,2,17
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
camerbi01,1923,MTL,NHL,R,4,0,0,0,0
carpeed01,1916,SEA,PCHA,D,4,0,0,0,3
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
noblere01,1917,TOA,NHL,L,5,2,1,3,0
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
stuarbi01,1921,TRS,NHL,D,5,0,2,2,6
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
rothssa01,1925,MTM,NHL,F,4,0,0,0,0
duforan01,1914,OT1,NHA,C,2,0,1,1,0
tobinch01,1919,SEA,PCHA,R,5,0,0,0,0
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
rileyji01,1916,SEA,PCHA,L,4,0,0,0,3
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
mackami01,1923,VAM,PCHA,L,2,0,0,0,0
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
murramu01,1918,SEA,PCHA,D,5,2,0,2,6
smithto01,1912,QU1,NHA,L,3,4,0,4,0
clancki01,1922,OTS,NHL,D,6,1,0,1,4
bouchfr01,1922,VAM,PCHA,C,4,2,0,2,0
broadpu01,1922,OTS,NHL,R,6,6,1,7,12
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
