coachid,award,year,lgid,note
irvindi01c,First Team All-Star,1944,NHL,
barbebi01c,Jack Adams,2000,NHL,
quinnpa01c,Jack Adams,1979,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
francbo01c,Jack Adams,2001,NHL,
irvindi01c,First Team All-Star,1943,NHL,
bylsmda01c,Jack Adams,2010,NHL,
murdobo01c,Jack Adams,1989,NHL,
krommbo01c,Jack Adams,1977,NHL,
irvindi01c,First Team All-Star,1945,NHL,
quinnpa01c,Jack Adams,1991,NHL,
cherrdo01c,Jack Adams,1975,NHL,
crawfma01c,Jack Adams,1994,NHL,
vigneal01c,Jack Adams,2006,NHL,
rossar01c,Second Team All-Star,1937,NHL,
brophjo01c,Schmertz,1978,WHA,
juliecl01c,Jack Adams,2008,NHL,
burnspa01c,Jack Adams,1988,NHL,
quennjo01c,Jack Adams,1999,NHL,
dineebi01c,Schmertz,1977,WHA,
bouchfr01c,First Team All-Star,1941,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
hartce01c,Second Team All-Star,1936,NHL,
boudrbr01c,Jack Adams,2007,NHL,
patrile01c,First Team All-Star,1932,NHL,
tippeda01c,Jack Adams,2009,NHL,
duttore01c,Second Team All-Star,1938,NHL,
lemaija01c,Jack Adams,2002,NHL,
hitchke01c,Jack Adams,2011,NHL,
patrile01c,First Team All-Star,1934,NHL,
sathegl01c,Jack Adams,1985,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
dayha01c,Second Team All-Star,1943,NHL,
patrile01c,First Team All-Star,1937,NHL,
adamsja01c,First Team All-Star,1942,NHL,
tessior01c,Jack Adams,1982,NHL,
patrile01c,First Team All-Star,1930,NHL,
berenre01c,Jack Adams,1980,NHL,
patrile01c,First Team All-Star,1933,NHL,
martija02c,Jack Adams,1998,NHL,
patrile01c,First Team All-Star,1935,NHL,
wattto01c,Jack Adams,1981,NHL,
thomppa01c,First Team All-Star,1939,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
demerja01c,Jack Adams,1986,NHL,
weilaco01c,First Team All-Star,1940,NHL,
murrabr01c,Jack Adams,1983,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
krommbo01c,Schmertz,1975,WHA,
pulfobo01c,Jack Adams,1974,NHL,
barbebi01c,Jack Adams,2000,NHL,
duttore01c,Second Team All-Star,1938,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
kelleja01c,Baldwin,1972,WHA,
irvindi01c,Second Team All-Star,1931,NHL,
rossar01c,First Team All-Star,1938,NHL,
bowmasc01c,Jack Adams,1976,NHL,
ruffli01c,Jack Adams,2005,NHL,
patrile01c,First Team All-Star,1932,NHL,
bylsmda01c,Jack Adams,2010,NHL,
sathegl01c,Jack Adams,1985,NHL,
adamsja01c,First Team All-Star,1942,NHL,
lemaija01c,Jack Adams,1993,NHL,
burnspa01c,Jack Adams,1997,NHL,
arboual01c,Jack Adams,1978,NHL,
dayha01c,Second Team All-Star,1943,NHL,
quennjo01c,Jack Adams,1999,NHL,
francbo01c,Jack Adams,2001,NHL,
krommbo01c,Schmertz,1975,WHA,
lemaija01c,Jack Adams,2002,NHL,
irvindi01c,First Team All-Star,1944,NHL,
pulfobo01c,Jack Adams,1974,NHL,
patrile01c,First Team All-Star,1933,NHL,
hitchke01c,Jack Adams,2011,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
nolante01c,Jack Adams,1996,NHL,
dineebi01c,Schmertz,1977,WHA,
boudrbr01c,Jack Adams,2007,NHL,
quinnpa01c,Jack Adams,1991,NHL,
harribi01c,Baldwin,1973,WHA,
quinnpa01c,Jack Adams,1979,NHL,
suttebr01c,Jack Adams,1990,NHL,
tippeda01c,Jack Adams,2009,NHL,
hartce01c,Second Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
krommbo01c,Jack Adams,1977,NHL,
patrile01c,First Team All-Star,1934,NHL,
wattto01c,Jack Adams,1981,NHL,
weilaco01c,First Team All-Star,1940,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
patrile01c,First Team All-Star,1930,NHL,
berenre01c,Jack Adams,1980,NHL,
bowmasc01c,Jack Adams,1995,NHL,
adamsja01c,First Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
pulfobo01c,Jack Adams,1974,NHL,
irvindi01c,First Team All-Star,1943,NHL,
huculsa01c,Schmertz,1974,WHA,
patrile01c,First Team All-Star,1933,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
bowmasc01c,Jack Adams,1995,NHL,
barbebi01c,Jack Adams,2000,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
rossar01c,First Team All-Star,1938,NHL,
kelleja01c,Baldwin,1972,WHA,
dineebi01c,Schmertz,1976,WHA,
rossar01c,Second Team All-Star,1937,NHL,
burnspa01c,Jack Adams,1997,NHL,
francbo01c,Jack Adams,2001,NHL,
gormato01c,Second Team All-Star,1935,NHL,
duttore01c,Second Team All-Star,1938,NHL,
patrile01c,First Team All-Star,1937,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
quinnpa01c,Jack Adams,1979,NHL,
nolante01c,Jack Adams,1996,NHL,
keenami01c,Jack Adams,1984,NHL,
rossar01c,Second Team All-Star,1942,NHL,
dayha01c,Second Team All-Star,1943,NHL,
patrile01c,First Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1930,NHL,
dineebi01c,Schmertz,1977,WHA,
brophjo01c,Schmertz,1978,WHA,
ruffli01c,Jack Adams,2005,NHL,
patrile01c,First Team All-Star,1934,NHL,
quennjo01c,Jack Adams,1999,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
tortojo01c,Jack Adams,2003,NHL,
krommbo01c,Jack Adams,1977,NHL,
adamsja01c,First Team All-Star,1942,NHL,
krommbo01c,Schmertz,1975,WHA,
irvindi01c,First Team All-Star,1944,NHL,
berenre01c,Jack Adams,1980,NHL,
demerja01c,Jack Adams,1987,NHL,
adamsja01c,First Team All-Star,1936,NHL,
quinnpa01c,Jack Adams,1991,NHL,
thomppa01c,First Team All-Star,1939,NHL,
sathegl01c,Jack Adams,1985,NHL,
murdobo01c,Jack Adams,1989,NHL,
juliecl01c,Jack Adams,2008,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
lemaija01c,Jack Adams,2002,NHL,
hitchke01c,Jack Adams,2011,NHL,
weilaco01c,First Team All-Star,1940,NHL,
suttebr01c,Jack Adams,1990,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
irvindi01c,First Team All-Star,1945,NHL,
boudrbr01c,Jack Adams,2007,NHL,
crawfma01c,Jack Adams,1994,NHL,
wattto01c,Jack Adams,1981,NHL,
burnspa01c,Jack Adams,1992,NHL,
tippeda01c,Jack Adams,2009,NHL,
lemaija01c,Jack Adams,1993,NHL,
bowmasc01c,Jack Adams,1976,NHL,
cherrdo01c,Jack Adams,1975,NHL,
sherofr01c,Jack Adams,1973,NHL,
tessior01c,Jack Adams,1982,NHL,
patrile01c,First Team All-Star,1935,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
demerja01c,Jack Adams,1986,NHL,
harribi01c,Baldwin,1973,WHA,
bouchfr01c,First Team All-Star,1941,NHL,
arboual01c,Jack Adams,1978,NHL,
murrabr01c,Jack Adams,1983,NHL,
patrile01c,First Team All-Star,1931,NHL,
hartce01c,Second Team All-Star,1936,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
bylsmda01c,Jack Adams,2010,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
martija02c,Jack Adams,1998,NHL,
burnspa01c,Jack Adams,1988,NHL,
pulfobo01c,Jack Adams,1974,NHL,
irvindi01c,First Team All-Star,1943,NHL,
martija02c,Jack Adams,1998,NHL,
quennjo01c,Jack Adams,1999,NHL,
dayha01c,Second Team All-Star,1943,NHL,
thomppa01c,First Team All-Star,1939,NHL,
burnspa01c,Jack Adams,1988,NHL,
burnspa01c,Jack Adams,1997,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
patrile01c,First Team All-Star,1935,NHL,
lemaija01c,Jack Adams,2002,NHL,
ruffli01c,Jack Adams,2005,NHL,
tippeda01c,Jack Adams,2009,NHL,
keenami01c,Jack Adams,1984,NHL,
irvindi01c,First Team All-Star,1945,NHL,
patrile01c,First Team All-Star,1933,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
barbebi01c,Jack Adams,2000,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
crawfma01c,Jack Adams,1994,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
vigneal01c,Jack Adams,2006,NHL,
adamsja01c,First Team All-Star,1936,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
hartce01c,Second Team All-Star,1936,NHL,
juliecl01c,Jack Adams,2008,NHL,
cherrdo01c,Jack Adams,1975,NHL,
gormato01c,Second Team All-Star,1935,NHL,
rossar01c,Second Team All-Star,1942,NHL,
patrile01c,First Team All-Star,1932,NHL,
duttore01c,Second Team All-Star,1938,NHL,
gormato01c,Second Team All-Star,1935,NHL,
pulfobo01c,Jack Adams,1974,NHL,
huculsa01c,Schmertz,1974,WHA,
dineebi01c,Schmertz,1976,WHA,
vigneal01c,Jack Adams,2006,NHL,
keenami01c,Jack Adams,1984,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
quinnpa01c,Jack Adams,1979,NHL,
rossar01c,Second Team All-Star,1942,NHL,
rossar01c,Second Team All-Star,1937,NHL,
cherrdo01c,Jack Adams,1975,NHL,
thomppa01c,First Team All-Star,1939,NHL,
irvindi01c,First Team All-Star,1945,NHL,
nolante01c,Jack Adams,1996,NHL,
patrile01c,First Team All-Star,1931,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
tortojo01c,Jack Adams,2003,NHL,
quennjo01c,Jack Adams,1999,NHL,
patrile01c,First Team All-Star,1933,NHL,
rossar01c,First Team All-Star,1938,NHL,
adamsja01c,First Team All-Star,1942,NHL,
arboual01c,Jack Adams,1978,NHL,
demerja01c,Jack Adams,1987,NHL,
juliecl01c,Jack Adams,2008,NHL,
harribi01c,Baldwin,1973,WHA,
lemaija01c,Jack Adams,1993,NHL,
irvindi01c,First Team All-Star,1945,NHL,
tippeda01c,Jack Adams,2009,NHL,
krommbo01c,Schmertz,1975,WHA,
nolante01c,Jack Adams,1996,NHL,
krommbo01c,Jack Adams,1977,NHL,
ruffli01c,Jack Adams,2005,NHL,
sathegl01c,Jack Adams,1985,NHL,
bylsmda01c,Jack Adams,2010,NHL,
huculsa01c,Schmertz,1974,WHA,
rossar01c,Second Team All-Star,1937,NHL,
demerja01c,Jack Adams,1987,NHL,
murdobo01c,Jack Adams,1989,NHL,
kelleja01c,Baldwin,1972,WHA,
tessior01c,Jack Adams,1982,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
dayha01c,Second Team All-Star,1943,NHL,
irvindi01c,First Team All-Star,1943,NHL,
patrile01c,First Team All-Star,1935,NHL,
quinnpa01c,Jack Adams,1979,NHL,
martija02c,Jack Adams,1998,NHL,
patrile01c,First Team All-Star,1934,NHL,
crawfma01c,Jack Adams,1994,NHL,
juliecl01c,Jack Adams,2008,NHL,
keenami01c,Jack Adams,1984,NHL,
irvindi01c,First Team All-Star,1944,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
rossar01c,Second Team All-Star,1942,NHL,
rossar01c,First Team All-Star,1938,NHL,
suttebr01c,Jack Adams,1990,NHL,
vigneal01c,Jack Adams,2006,NHL,
sherofr01c,Jack Adams,1973,NHL,
berenre01c,Jack Adams,1980,NHL,
patrile01c,First Team All-Star,1933,NHL,
lemaija01c,Jack Adams,2002,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
demerja01c,Jack Adams,1986,NHL,
burnspa01c,Jack Adams,1992,NHL,
wattto01c,Jack Adams,1981,NHL,
bowmasc01c,Jack Adams,1976,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
quinnpa01c,Jack Adams,1991,NHL,
burnspa01c,Jack Adams,1988,NHL,
cherrdo01c,Jack Adams,1975,NHL,
duttore01c,Second Team All-Star,1938,NHL,
weilaco01c,First Team All-Star,1940,NHL,
murrabr01c,Jack Adams,1983,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
adamsja01c,First Team All-Star,1942,NHL,
dineebi01c,Schmertz,1977,WHA,
irvindi01c,Second Team All-Star,1931,NHL,
arboual01c,Jack Adams,1978,NHL,
thomppa01c,First Team All-Star,1939,NHL,
patrile01c,First Team All-Star,1932,NHL,
hartce01c,Second Team All-Star,1936,NHL,
tortojo01c,Jack Adams,2003,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
patrile01c,First Team All-Star,1930,NHL,
barbebi01c,Jack Adams,2000,NHL,
