year,lgid,tmid,oppid,w,l,t,otl
1979,NHL,EDM,LAK,2,1,1.0,
2011,NHL,PIT,MIN,1,0,,0.0
2008,NHL,TBL,TOR,3,0,,1.0
1997,NHL,EDM,BUF,0,1,1.0,
1958,NHL,TOR,MTL,5,8,1.0,
2000,NHL,FLO,NYI,1,3,0.0,0.0
1927,NHL,CHI,DTC,2,3,1.0,
1977,NHL,LAK,VAN,2,1,1.0,
1983,NHL,CHI,NYI,0,3,0.0,
1998,NHL,NAS,MTL,0,1,1.0,
2001,NHL,FLO,PIT,2,0,1.0,1.0
1973,NHL,PIT,VAN,4,1,0.0,
1997,NHL,COL,ANA,2,2,1.0,
2001,NHL,CBS,EDM,1,3,0.0,0.0
1997,NHL,ANA,SJS,0,6,0.0,
1987,NHL,MNS,BOS,0,3,0.0,
1991,NHL,QUE,MNS,2,1,0.0,
1994,NHL,SJS,LAK,4,1,0.0,
1982,NHL,EDM,NYR,3,0,0.0,
1998,NHL,NYR,COL,1,1,0.0,
2000,NHL,VAN,OTT,0,2,0.0,0.0
1998,NHL,CAL,CHI,2,1,1.0,
2009,NHL,OTT,LAK,0,1,,0.0
2002,NHL,PHI,ATL,3,1,0.0,0.0
1972,NHL,CLF,PIT,2,2,2.0,
1974,NHL,MNS,PIT,1,3,0.0,
2003,NHL,NYI,NYR,0,6,0.0,0.0
1990,NHL,TOR,VAN,0,2,1.0,
2003,NHL,MIN,VAN,2,1,3.0,0.0
1986,NHL,EDM,MNS,2,0,1.0,
1987,NHL,BUF,TOR,3,0,0.0,
2009,NHL,DET,CHI,3,2,,1.0
1977,NHL,LAK,BOS,0,5,0.0,
1993,NHL,CAL,CHI,0,4,0.0,
2000,NHL,WAS,NAS,1,1,0.0,0.0
1997,NHL,NJD,BOS,2,0,2.0,
1998,NHL,NYR,TBL,3,1,0.0,
1940,NHL,DET,CHI,6,2,0.0,
1985,NHL,MTL,WAS,0,2,1.0,
1985,NHL,BOS,NYR,1,2,0.0,
1996,NHL,CHI,MTL,0,2,0.0,
1977,NHL,BUF,VAN,1,0,3.0,
2003,NHL,PHO,CBS,2,0,2.0,0.0
1977,NHL,DET,VAN,2,1,1.0,
1987,NHL,TOR,QUE,0,3,0.0,
1976,NHL,WAS,MTL,0,6,0.0,
1989,NHL,WIN,TOR,2,0,1.0,
2008,NHL,ATL,BOS,0,4,,0.0
1995,NHL,NJD,BOS,0,3,1.0,
1967,NHL,PIT,TOR,2,1,1.0,
1968,NHL,TOR,OAK,4,2,0.0,
1973,WHA,CLC,HOU,2,2,2.0,
1970,NHL,TOR,CHI,3,2,1.0,
2011,NHL,PHI,CAR,3,1,,0.0
1967,NHL,OAK,DET,0,3,1.0,
2008,NHL,EDM,STL,4,0,,0.0
1996,NHL,PIT,LAK,2,0,0.0,
2003,NHL,VAN,DAL,1,3,0.0,0.0
1925,NHL,BOS,TRS,5,1,0.0,
1974,WHA,PHR,WIJ,3,3,0.0,
1994,NHL,WAS,FLO,2,1,1.0,
