year,lgid,tmid,oppid,w,l,t,otl
1976,NHL,VAN,CLE,1,2,1.0,
2008,NHL,PHO,LAK,4,2,,0
2003,NHL,PHO,DAL,3,2,1.0,0
1980,NHL,NYR,WAS,2,2,0.0,
1985,NHL,BUF,EDM,2,1,0.0,
1996,NHL,TOR,WAS,0,2,0.0,
1995,NHL,WAS,PHI,2,2,1.0,
1979,NHL,DET,WIN,3,1,0.0,
1974,NHL,WAS,MTL,0,6,0.0,
1989,NHL,PIT,CHI,0,3,0.0,
2010,NHL,NAS,PIT,0,0,,1
2003,NHL,TOR,ANA,0,1,0.0,0
1996,NHL,EDM,WAS,2,0,0.0,
2005,NHL,FLO,BOS,2,2,,0
1998,NHL,CHI,OTT,0,1,1.0,
1973,NHL,NYR,VAN,4,1,1.0,
1925,WCHL,POR,EDE,0,4,0.0,
1981,NHL,MNS,PHI,1,1,1.0,
1985,NHL,MNS,QUE,1,2,0.0,
2010,NHL,DAL,EDM,3,1,,0
2000,NHL,BUF,LAK,1,1,0.0,0
1972,WHA,QUN,WIJ,2,3,1.0,
1975,NHL,VAN,BUF,2,1,1.0,
1996,NHL,WAS,STL,2,0,0.0,
1930,NHL,MTM,CHI,4,0,0.0,
1977,NHL,DET,LAK,3,2,1.0,
1999,NHL,PIT,NAS,1,1,0.0,0
1990,NHL,BOS,CHI,2,1,0.0,
2009,NHL,NYR,ATL,1,1,,2
2009,NHL,NYI,WAS,1,1,,2
1973,WHA,NYJ,EDO,1,5,0.0,
1991,NHL,NYR,EDM,1,1,0.0,
2008,NHL,WAS,NJD,2,0,,2
2003,NHL,CAL,COL,2,2,1.0,1
2009,NHL,OTT,MTL,5,1,,0
2009,NHL,MIN,CAL,5,1,,0
1993,NHL,SJS,VAN,3,3,0.0,
1974,WHA,WIJ,HOU,1,5,0.0,
1924,NHL,HAM,MTM,4,2,0.0,
1988,NHL,MNS,NYR,1,2,0.0,
2011,NHL,MIN,FLO,2,0,,0
1998,NHL,FLO,NYR,2,2,0.0,
2005,NHL,CBS,CAR,0,1,,0
1989,NHL,WAS,PHI,5,1,1.0,
1990,NHL,DET,LAK,1,2,0.0,
1997,NHL,OTT,CAL,1,1,0.0,
2008,NHL,WAS,PIT,3,0,,1
2007,NHL,NJD,FLO,2,2,,0
1993,NHL,WIN,BOS,0,2,0.0,
2001,NHL,BOS,CBS,1,1,0.0,0
2007,NHL,STL,FLO,0,1,,0
1972,NHL,NYI,CLF,4,1,0.0,
1996,NHL,EDM,LAK,3,2,1.0,
1997,NHL,MTL,CAR,1,3,1.0,
1979,NHL,DET,VAN,2,2,0.0,
1999,NHL,FLO,ATL,2,1,2.0,0
2009,NHL,TOR,NJD,2,1,,1
2011,NHL,WPG,AND,1,0,,0
1975,NHL,CHI,MTL,1,2,1.0,
2005,NHL,BUF,NJD,1,3,,0
2003,NHL,ATL,VAN,1,0,0.0,0
1990,NHL,STL,WIN,1,1,1.0,
