year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
2008,NHL,CBS,4,0,4,0,7,18,60,2,3,13,0,7,22,0
1975,WHA,WIJ,13,12,1,0,68,35,,,,,,,,
1997,NHL,PIT,6,2,4,0,15,18,70,0,4,33,0,5,27,3
2001,NHL,PHI,5,1,4,0,2,11,75,2,1,16,0,4,24,0
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
1979,NHL,BOS,10,4,6,0,35,33,346,0,6,37,1,8,33,2
1980,NHL,CAL,16,9,7,0,55,60,365,2,17,74,5,19,65,0
1971,NHL,CHI,8,4,4,0,23,25,129,,3,,2,4,,2
1986,NHL,TOR,13,7,6,0,33,32,345,0,9,51,0,8,53,0
2001,NHL,LAK,7,3,4,0,13,16,72,2,1,17,0,2,26,0
1993,NHL,CHI,6,2,4,0,10,15,121,2,4,29,1,9,32,0
1984,NHL,NYI,10,4,6,0,25,28,256,0,7,33,1,7,52,0
1990,NHL,MTL,13,7,6,0,47,42,333,4,13,68,2,12,68,3
1955,NHL,TOR,5,1,4,0,10,14,65,,,,,,,
1933,NHL,NYR,2,0,1,1,1,2,18,,,,,,,
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
1973,NHL,MTL,6,2,4,0,17,21,91,,2,,0,3,,0
2010,NHL,NAS,12,6,6,0,33,34,121,0,7,48,2,12,40,2
1967,NHL,CHI,11,5,6,0,28,34,96,,5,,1,8,,1
1975,NHL,LAK,9,5,4,0,17,27,151,2,5,41,2,11,43,0
1968,NHL,BOS,10,6,4,0,40,20,226,,11,,1,7,,5
1979,NHL,CHI,7,3,4,0,19,20,120,0,7,23,0,7,26,0
1985,NHL,QUE,3,0,3,0,7,16,116,0,3,16,1,5,14,1
1974,NHL,CHI,8,3,5,0,22,35,142,0,5,36,1,9,35,0
1928,NHL,MTL,3,0,3,0,2,5,48,,,,,,,
1972,NHL,MNS,6,2,4,0,12,14,112,,3,,1,4,,0
1943,NHL,MTL,9,8,1,0,39,14,102,,,,,,,
1982,NHL,CHI,13,7,6,0,49,51,269,4,12,60,2,17,62,2
1981,NHL,EDM,5,2,3,0,23,27,178,2,3,18,0,9,26,3
1993,NHL,DET,7,3,4,0,27,21,98,2,5,35,1,6,36,2
2006,NHL,PIT,5,1,4,0,10,18,78,0,4,28,0,6,24,0
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
2005,NHL,NYR,4,0,4,0,4,17,71,2,2,21,3,8,27,0
1972,NHL,PHI,11,5,6,0,27,31,205,,6,,0,8,,1
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
1984,NHL,BUF,5,2,3,0,22,22,151,4,2,25,0,6,25,0
2000,NHL,VAN,4,0,4,0,9,16,50,0,4,16,0,5,19,0
1971,NHL,BOS,15,12,3,0,64,34,389,,18,,1,11,,5
1981,NHL,PIT,5,2,3,0,13,22,112,2,3,25,0,4,21,0
1995,NHL,WIN,6,2,4,0,10,20,119,2,0,28,2,8,37,0
2005,NHL,PHI,6,2,4,0,14,27,129,4,3,29,2,7,41,1
2005,NHL,DAL,5,1,4,0,15,18,64,0,5,31,1,5,28,1
1929,NHL,MTM,4,1,3,0,5,11,56,,,,,,,
2008,NHL,MTL,4,0,4,0,6,17,103,2,0,8,0,4,16,0
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
1993,NHL,TOR,18,9,9,0,50,47,375,0,22,74,1,13,86,4
1939,NHL,BOS,6,2,4,0,9,15,22,,,,,,,
1968,NHL,TOR,4,0,4,0,5,24,119,,1,,2,8,,1
1999,NHL,PIT,11,6,5,0,31,23,173,4,8,56,1,7,45,0
2002,NHL,MIN,18,8,10,0,43,43,193,2,16,73,3,12,63,2
1987,NHL,TOR,6,2,4,0,20,32,189,0,6,41,,11,32,2
1993,NHL,BOS,13,6,7,0,39,42,168,2,10,54,0,11,51,1
2007,NHL,DAL,18,10,8,0,45,41,218,0,18,90,4,13,76,0
1957,NHL,NYR,6,2,4,0,16,28,85,,,,,,,
1966,NHL,NYR,4,0,4,0,8,14,58,,,,,,,
2007,NHL,WAS,7,3,4,0,20,23,87,6,8,35,0,8,36,0
1997,NHL,DAL,17,10,7,0,36,32,300,4,10,100,2,11,93,1
2001,NHL,VAN,6,2,4,0,16,22,62,0,4,27,3,7,25,0
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1980,NHL,CHI,3,0,3,0,9,15,43,2,1,11,0,3,11,1
1998,NHL,CAR,6,2,4,0,10,16,62,0,2,21,0,4,24,0
2001,NHL,CAR,23,13,10,0,47,43,263,4,16,103,2,15,96,1
1948,NHL,DET,11,4,7,0,22,26,164,,,,,,,
2000,NHL,PIT,18,9,9,0,38,44,214,2,11,61,3,16,73,1
1975,NHL,BUF,9,4,5,0,25,29,162,0,2,42,1,7,41,1
1998,NHL,PHO,7,3,4,0,16,19,95,0,5,41,0,9,33,0
2011,NHL,PHI,11,5,6,0,41,44,225,2,15,42,1,13,47,4
1979,NHL,PIT,5,2,3,0,14,21,125,4,5,18,2,4,18,0
2010,NHL,TBL,18,11,7,0,59,45,207,8,17,67,1,6,78,1
1945,NHL,MTL,9,8,1,0,45,20,91,,,,,,,
2000,NHL,EDM,6,2,4,0,13,16,83,0,5,31,0,4,26,0
1975,NHL,BOS,12,5,7,0,38,33,209,0,14,54,0,6,52,2
2001,NHL,NJD,6,2,4,0,11,9,52,2,6,28,0,4,21,1
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1925,WCHL,SAS,2,0,1,1,3,4,,,,,,,,
1980,NHL,PHI,12,6,6,0,48,39,415,10,11,37,0,14,61,2
1975,NHL,MTL,13,12,1,0,44,26,187,0,11,53,0,9,46,3
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1933,NHL,CHI,8,6,1,1,19,12,51,,,,,,,
1939,NHL,NYA,3,1,2,0,7,9,18,,,,,,,
1974,NHL,LAK,3,1,2,0,6,7,82,0,2,9,0,0,9,0
2010,NHL,MTL,7,3,4,0,17,17,54,4,6,27,0,0,21,1
2011,NHL,STL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
2009,NHL,PIT,13,7,6,0,42,38,136,4,15,57,1,12,43,1
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
1938,NHL,MTL,3,1,2,0,5,8,39,,,,,,,
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1982,NHL,CAL,9,4,5,0,30,49,317,2,9,45,5,8,43,2
2003,NHL,TOR,13,6,7,0,27,28,201,0,6,59,1,6,58,0
1988,NHL,PHI,19,10,9,0,64,60,612,2,20,96,,26,119,8
