type,code,fullname
Округлить,КФ,Четвертьфиналы
Офф-айны,АВЦ,Вон АВКО Кубок.
Конференция,WA,Конференция Уэльса
Разделение,ED,Восточный дивизион
Разделение,Нет,Норрис-дивизия
Разделение,АТ,Атлантический округ
Офф-айны,ССФУ,Половинфиналы Кубка Стэнли
Офф-айны,SF,"Устали от матчей плей-офф НХЛ? Мы тоже! Но пока игры еще нет, давайте поговорим о чем-нибудь другом. Что вы думаете о последних событиях в мире хоккея? Или у вас есть другие вопросы или темы для обсуждения? Мы всегда готовы помочь с переводом и поддержать разговор!"
Офф-айны,ЦФ,Потерянные финала Кубка Стэнли
Разделение,АМ,Американский дивизион
Офф-айны,AVF,Финал Кубка АВКО
Округлить,"Предупреждение: это автоматический перевод, и его качество может быть не идеальным. Пожалуйста, проверьте перевод на предмет ошибок или неточностей.",Предварительный
Офф-айны,ЛКС,Вы выиграли Кубок Стэнли или проиграли Серию вызова?
Офф-айны,WS,Вызов серии Won
Округлить,ССФУ,Полов финал Кубка Стэнли
Разделение,Кнопка запуска,Тихоокеанский дивизион
Разделение,СМ,Смит-дивизия
Офф-айны,АВФС,Пусть полуфиналы Кубка АВКО
Округлить,WP,Западные плей-офф
Конференция,КК,Кампбелл-конференция
Офф-айны,Фонд ВБ,Пропущенные полуфиналы WCHL
Разделение,CW,ВХА Канадский Отдел
Офф-айны,"Предложение/утра:

[Предложение 1]

[Предложение 2]",Пропуск предварительного раунда НХЛ
Конференция,КЭ,Восточная конференция
Округлить,СФК,Финал Кубка Стэнли
Офф-айны,СК,Вон Стэнли Куп.
Офф-айны,НХЛФ,Пропущенные финалы НХЛ
Офф-айны,АВКФ,Половина финала Кубка АВКО
Округлить,CQF,Квартальные матчи Кубка
Округлить,АСС,Финалы Кубка Авко
Округлить,ЧФС,Семинальные дивизионы
Разделение,В,Западный дивизион
Офф-айны,ДФ,Выигранные финалы плей-офф НХЛ по дивизионам
Офф-айны,CQF,Пропущенные игры плей-офф НХЛ
Разделение,Калифорния,Канадское отделение
Конференция,ВЦ,Западная конференция
Округлить,ЦФ,Финал конференции
Офф-айны,ПФ,Потерянные финалы ПЧА
Разделение,НВ,Северо-Западный дивизион
Офф-айны,КФ,"Пожалуйста, предоставьте текст на английском языке для перевода."
Разделение,ЧХВ,Восточный дивизион WHA
Округлить,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",Концы
Офф-айны,ВФ,Потери финала WCHL
Округлить,ДФ,Финал дивизиона
Разделение,ВВ,Западное отделение
Офф-айны,Н/Д,НД - Финалы Кубка Стэнли отменены (из-за эпидемии гриппа)
Разделение,ПТ,Патрик Диви́зион
Офф-айны,ЧФС,Пропущенные полуфинальные матчи плей-офф НХЛ
Офф-айны,Когнитивный рассеяние,Пропущенные игры полуфинала конференции НХЛ
Округлить,SF,Полуфиналы
Разделение,НЕ,Восточный дивизион
Офф-айны,Авпредель,Потерянный кубок AVCO предварительного раунда
Разделение,АД,Отделение Адама
Разделение,СЕ,Юго-Восточный дивизион
Округлить,Когнитивный рассеяние,Семфиналы конференции
Офф-айны,НХАФ,Потерила финальные экзамены по НХА
Офф-айны,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",Пустые финалы Кубка Стэнли
Разделение,ЦЕ,Центральный дивизион
