year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1912,СФК,,VA1,PCHA,QU1,NHA,2,1,0,16,12,EX-01
1913,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,TBS,NHA,MOC,NHA,1,1,0,6,2,ТГ
1913,СФК,,TBS,NHA,VA1,PCHA,3,0,0,13,8,
1914,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,OT1,NHA,MOW,NHA,1,1,0,4,1,ТГ
1914,СФК,,VML,PCHA,OT1,NHA,3,0,0,26,8,
1915,СФК,,MOC,NHA,PO1,PCHA,3,2,0,15,13,
1916,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,MOC,NHA,OT1,NHA,1,1,0,7,6,ТГ
1916,СФК,,SEA,PCHA,MOC,NHA,3,1,0,23,11,
1917,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,TOA,NHL,MTL,NHL,1,1,0,10,7,ТГ
1917,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,VML,PCHA,SEA,PCHA,1,0,1,3,2,ТГ
1917,СФК,,TOA,NHL,VML,PCHA,3,2,0,18,21,
1918,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,MTL,NHL,OTS,NHL,4,1,0,26,18,
1918,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,SEA,PCHA,VML,PCHA,1,1,0,7,5,ТГ
1918,СФК,,SEA,PCHA,MTL,NHL,2,2,0,19,10,Н/Д
1919,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,SEA,PCHA,VML,PCHA,1,1,0,7,3,ТГ
1919,СФК,,SEA,PCHA,OTS,NHL,3,2,0,15,11,
1920,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,OTS,NHL,TRS,NHL,2,0,0,7,0,ТГ
1920,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",,VML,PCHA,SEA,PCHA,2,0,0,13,2,ТГ
