playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
duncaar01,1923,VAM,PCHA,"I'm sorry, I don't understand your request. Could you please clarify?",2,0,0,0,6
reidch01,1923,CAT,WCHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",2,0,0,0,0
camerha01,1917,TOA,NHL,"I'm sorry, I don't understand your request. Could you please clarify?",5,3,1,4,0
dundeto01,1912,VA1,PCHA,К,3,3,0,3,8
smyliro01,1921,TRS,NHL,"Hello, how can I help you today?",5,1,3,4,0
wilsocu01,1923,CAT,WCHL,"Hello, how can I help you today?",2,0,0,0,2
meekiha01,1924,VIC,WCHL,"Hello, how can I help you today?",4,0,1,1,2
adamsja01,1921,VML,PCHA,К,5,6,1,7,18
sheppjo01,1922,EDE,WCHL,К,1,0,0,0,0
andrell01,1921,TRS,NHL,"Добро пожаловать в Coral, искусственный интеллект, способный вести беседу и помогающий людям с их запросами. Я всегда готов помочь и обеспечить вас ценными сведениями. Как я могу быть полезен сегодня?",5,2,0,2,3
vezinge01,1915,MOC,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5,0,0,0,0
wilsocu01,1918,SEA,PCHA,r,5,1,3,4,6
harrism01,1915,PO1,PCHA,"Hello, how can I help you today?",5,4,2,6,23
broadpu01,1920,OTS,NHL,r,4,2,0,2,0
carpeed01,1916,SEA,PCHA,"I'm sorry, I don't understand your request. Could you please clarify?",4,0,0,0,3
grahale01,1914,OT1,NHA,"Hello, how can I help you today?",3,1,0,1,0
wilsocu01,1916,SEA,PCHA,r,4,1,2,3,0
holmeha01,1919,SEA,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5,0,0,0,0
anderjo03,1924,VIC,WCHL,"Hello, how can I help you today?",4,1,0,1,10
camerbi01,1923,MTL,NHL,r,4,0,0,0,0
holmeha01,1916,SEA,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",4,0,0,0,0
taylocy01,1917,VML,PCHA,"Hello, how can I help you today?",5,9,0,9,15
arbouty01,1922,EDE,WCHL,"Hello, how can I help you today?",2,0,0,0,0
duttore01,1923,CAT,WCHL,"I'm sorry, I don't understand your request. Could you please clarify?",2,0,0,0,9
gagnear01,1922,EDE,WCHL,r,2,0,0,0,2
holmeha01,1913,TBS,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3,0,0,0,0
gerared01,1914,OT1,NHA,"Hello, how can I help you today?",3,1,2,3,14
gerared01,1921,TRS,NHL,"I'm sorry, I don't understand your request. Could you please clarify?",1,0,0,0,0
