playerid,year,stint,tmid,w,l,sa,ga
munroad01,2005,1,CHI,0,1,4,2
pavelon01,2010,1,ATL,3,5,24,9
niittan01,2006,1,PHI,1,4,23,6
kiprumi01,2007,1,CAL,3,3,17,6
bryzgil01,2007,1,AND,0,1,3,1
leclapa01,2008,1,CBS,0,1,3,2
masonch02,2007,1,NAS,1,4,13,5
danisya01,2009,1,NJD,0,1,3,3
budajpe01,2010,1,COL,3,0,14,1
aubinje01,2007,1,LAK,1,1,4,2
ellisda01,2007,1,NAS,2,1,9,4
rinnepe01,2010,1,NAS,6,4,34,7
howarji01,2010,1,DET,3,2,17,2
gerbema01,2007,1,OTT,2,2,16,5
legacma01,2009,1,CAR,2,2,16,4
kolziol01,2006,1,WAS,1,5,17,9
labarja01,2010,1,PHO,1,1,5,2
lehtoka01,2007,1,ATL,4,3,18,5
toskave01,2006,1,SJS,0,1,3,3
cloutda01,2007,1,LAK,1,0,4,1
drouije01,2009,1,EDM,4,3,37,11
bishobe01,2008,1,STL,0,1,4,2
vokouto01,2011,1,WAS,1,1,4,2
niittan01,2010,1,SJS,2,0,4,0
legacma01,2005,1,DET,2,2,17,7
khabini01,2010,1,EDM,1,3,18,4
hasekdo01,2005,1,OTT,2,4,16,6
bachmri01,2011,1,DAL,0,1,3,1
lenevda01,2005,1,PHO,0,1,3,1
thibajo01,2005,1,PIT,1,1,12,3
peterju01,2010,1,CAR,0,1,2,2
bironma01,2006,2,PHI,0,1,3,2
emeryra01,2011,1,CHI,1,3,13,5
khabini01,2008,1,CHI,2,5,19,9
crawfco01,2010,1,CHI,4,3,19,3
lalimpa01,2007,1,CHI,3,0,9,2
kiprumi01,2009,1,CAL,2,7,27,15
clemmsc01,2005,1,NJD,1,1,7,3
wardca01,2006,1,CAR,0,4,14,6
vokouto01,2007,1,FLO,5,6,41,11
ramoka01,2007,1,TBL,0,1,2,2
budajpe01,2009,1,COL,0,1,5,1
gerbema01,2005,1,CAR,7,2,33,10
brodema01,2006,1,NJD,10,6,60,20
wardca01,2009,1,CAR,1,3,13,7
wardca01,2008,1,CAR,2,4,19,7
turcoma01,2010,1,CHI,2,2,13,7
nabokev01,2007,1,SJS,6,6,40,18
niemian02,2010,1,SJS,3,5,28,8
reimeja01,2011,1,TOR,2,1,8,3
lehtoka01,2005,1,ATL,5,0,20,3
peterju01,2011,1,CAR,0,2,6,3
ramoka01,2008,1,TBL,1,3,13,5
thomati01,2008,1,BOS,4,4,28,9
leclapa01,2006,1,CBS,1,1,15,4
varlasi01,2009,1,WAS,3,4,33,9
elliobr01,2009,1,OTT,2,4,21,7
danisya01,2008,1,NYI,0,2,5,3
noronmi01,2005,1,BUF,0,0,1,1
halakja01,2006,1,MTL,2,0,8,2
schneco01,2010,1,VAN,1,0,3,0
hardijo01,2006,1,MIN,0,1,3,1
legacma01,2007,1,STL,2,3,17,4
tellqmi01,2005,1,TOR,1,1,5,2
emeryra01,2007,1,OTT,1,3,15,7
masonst01,2011,1,CBS,2,2,10,4
masonch02,2008,1,STL,3,4,18,7
marksja02,2011,1,FLO,0,1,3,1
dubiewa01,2007,1,NYI,2,1,13,4
hedbejo01,2009,1,ATL,4,2,21,5
markkju01,2006,1,EDM,0,1,3,2
hedbejo01,2010,1,NJD,2,1,11,3
bironma01,2009,1,NYI,2,1,8,3
thomati01,2006,1,BOS,8,2,46,8
theodjo01,2007,1,COL,6,1,28,6
dipieri01,2011,1,NYI,0,1,3,1
millery01,2008,1,BUF,8,2,40,9
andercr01,2009,1,COL,7,4,51,16
fleurma01,2005,1,PIT,0,2,5,4
rinnepe01,2011,1,NAS,4,5,30,9
macdojo01,2011,1,DET,1,1,9,3
tellqmi01,2008,1,PHO,1,0,8,1
crawfco01,2005,1,CHI,0,1,3,2
toivoha01,2007,1,STL,1,2,9,2
wardca01,2010,1,CAR,5,4,25,6
johnsbr02,2011,1,PIT,0,1,3,2
holmqjo01,2007,1,TBL,1,0,4,1
bobrose01,2011,1,PHI,1,2,8,4
thomati01,2011,1,BOS,7,1,26,6
conklty01,2008,1,DET,2,2,13,4
khabini01,2005,1,CHI,2,1,15,5
hardijo01,2006,1,MIN,0,1,3,1
lenevda01,2005,1,PHO,0,1,3,1
gerbema01,2006,1,OTT,1,2,10,3
gustajo01,2009,1,TOR,2,1,7,3
johnsbr02,2011,1,PIT,0,1,3,2
denisma01,2005,1,CBS,3,1,18,4
hedbejo01,2008,1,ATL,3,0,13,1
turcoma01,2010,1,CHI,2,2,13,7
thibajo01,2006,1,PIT,1,1,5,3
masonst01,2011,1,CBS,2,2,10,4
legacma01,2006,1,STL,5,3,25,7
budajpe01,2005,1,COL,0,5,14,9
conklty01,2011,1,DET,1,0,3,0
garonma01,2007,1,EDM,10,0,32,2
khabini01,2008,1,CHI,2,5,19,9
raycran01,2007,1,TOR,0,1,6,2
osgooch01,2008,1,DET,4,2,21,6
labarja01,2011,1,PHO,0,2,11,7
backsni01,2007,1,MIN,1,6,21,12
bryzgil01,2007,1,AND,0,1,3,1
backsni01,2006,1,MIN,3,5,32,15
andercr01,2006,1,FLO,1,0,2,0
pavelon01,2010,1,ATL,3,5,24,9
norrefr01,2007,1,CBS,0,4,10,4
nabokev01,2005,1,SJS,0,4,13,8
montoal01,2011,1,NYI,2,2,13,5
aebisda01,2006,1,MTL,2,2,18,6
raycran01,2010,1,DAL,2,0,6,1
hillejo01,2007,1,AND,2,1,12,5
wardca01,2005,1,CAR,1,0,3,0
crawfco01,2010,1,CHI,4,3,19,3
niittan01,2005,1,PHI,3,4,24,10
fleurma01,2010,1,PIT,8,2,38,6
lundqhe01,2007,1,NYR,6,7,42,13
tellqmi01,2007,1,PHO,0,2,16,4
fleurma01,2005,1,PIT,0,2,5,4
rasktu01,2009,1,BOS,5,4,33,10
kiprumi01,2007,1,CAL,3,3,17,6
theodjo01,2009,1,WAS,2,2,16,7
bacasja01,2005,1,STL,1,0,4,1
irvinle01,2011,1,CAL,0,1,4,2
budajpe01,2008,1,COL,7,4,35,13
legacma01,2009,1,CAR,2,2,16,4
lalimpa01,2008,1,BUF,0,3,10,4
toskave01,2009,1,TOR,1,1,4,2
tellqmi01,2005,1,TOR,1,1,5,2
hillejo01,2011,1,AND,3,7,40,17
elliobr01,2010,2,COL,2,1,10,1
backsni01,2008,1,MIN,5,2,21,5
kolesvi01,2005,1,COL,1,0,7,0
quickjo01,2008,1,LAK,4,1,14,4
bryzgil01,2011,1,PHI,3,5,25,13
labarja01,2007,1,LAK,2,1,10,5
bobrose01,2010,1,PHI,1,4,17,9
rinnepe01,2009,1,NAS,6,3,45,11
grahajo01,2007,1,CAR,1,0,3,2
budajpe01,2009,1,COL,0,1,5,1
budajpe01,2007,1,COL,1,2,9,4
labarja01,2008,1,LAK,0,3,7,6
masonch02,2011,1,WPG,1,1,8,3
khabini01,2006,1,CHI,4,4,33,11
turcoma01,2007,1,DAL,3,3,23,9
masonch02,2006,1,NAS,4,2,20,6
quickjo01,2011,1,LAK,6,8,47,16
clemmsc01,2006,1,NJD,0,2,6,3
lehtoka01,2007,1,ATL,4,3,18,5
holtbbr01,2010,1,WAS,1,1,7,3
lenevda01,2005,1,PHO,0,1,3,1
greisth01,2009,1,SJS,1,0,6,0
aebisda01,2005,1,COL,2,1,10,2
clemmsc01,2008,1,NJD,2,1,12,3
bironma01,2008,1,PHI,2,3,17,5
gigueje01,2006,1,AND,4,6,39,13
turcoma01,2007,1,DAL,3,3,23,9
millery01,2005,1,BUF,3,2,17,5
crawfco01,2011,1,CHI,6,4,32,6
gustajo01,2010,1,TOR,2,1,10,4
nabokev01,2006,1,SJS,2,1,10,4
halakja01,2007,1,MTL,0,1,3,1
macdojo01,2006,1,DET,0,1,7,3
bouchbr01,2006,1,CHI,0,2,4,4
bishobe01,2011,1,OTT,0,2,6,3
ersbeer01,2009,1,LAK,1,2,16,7
