playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
blakemi02,1981,1,LAK,NHL,2,51,0,0,0,0,0,2,,,,,,,,,,
rutheji01,1981,1,LAK,NHL,7,380,3,3,0,0,0,43,,,,,,,,,,
karakmi01,1935,1,CHI,NHL,48,2990,21,19,8,,9,92,,2,120,1,1,,,0,7,
corsiji01,1977,1,QUN,WHA,23,1089,10,7,0,0,0,82,647,,,,,,,,,
smithga01,1978,2,WIJ,WHA,11,626,7,3,0,1,0,31,279,10,563,8,2,,0,0,35,
noronmi01,2002,1,BUF,NHL,16,891,4,9,3,2,1,36,411,,,,,,,,,
richtmi01,2002,1,NYR,NHL,13,694,5,6,1,2,0,34,329,,,,,,,,,
levinal01,1931,1,TOR,NHL,1,1,0,0,0,,0,1,,,,,,,,,,
stefagr01,1983,1,DET,NHL,50,2600,19,22,2,5,2,152,1223,3,210,1,2,,0,0,8,86
jablopa01,1997,1,CAR,NHL,5,279,1,4,0,1,0,14,115,,,,,,,,,
khabini01,2002,1,TBL,NHL,65,3787,30,22,11,5,4,156,1760,10,644,5,5,,1,0,26,299
liutmi01,1982,1,STL,NHL,68,3794,21,27,13,4,1,235,1919,4,240,1,3,,1,0,15,
markkju01,2002,1,EDM,NHL,22,1180,7,8,3,3,3,51,533,1,14,0,0,,0,0,1,12
spoonre01,1929,1,PIP,NHL,1,60,0,1,0,,0,6,,,,,,,,,,
clemmsc01,2003,1,NJD,NHL,4,238,3,1,0,0,2,4,84,,,,,,,,,
lindsbe01,1913,1,VA1,PCHA,16,1012,10,6,0,,0,80,,,,,,,,,,
passmst01,2000,2,CHI,NHL,6,340,0,4,1,0,0,14,147,,,,,,,,,
hrudeke01,1994,1,LAK,NHL,35,1894,14,13,5,3,0,99,1099,,,,,,,,,
stevedo01,1945,1,CHI,NHL,2,120,1,1,0,,0,12,,,,,,,,,,
varlasi01,2009,1,WAS,NHL,26,1527,15,4,6,0,2,65,718,6,349,3,3,,1,0,14,153
boycear01,1914,1,MOW,NHA,2,50,0,1,0,,0,6,,,,,,,,,,
dupuibo01,1979,1,EDM,NHL,1,60,0,1,0,1,0,4,,,,,,,,,,
edwarma01,1972,1,CLF,NHL,21,1207,4,14,2,0,1,87,,,,,,,,,,
sullida01,1973,1,VAB,WHA,1,60,0,1,0,0,0,7,38,,,,,,,,,
ellisda01,2010,2,AND,NHL,13,729,8,3,1,0,0,29,348,1,41,0,1,,0,0,4,24
barrato01,1985,1,BUF,NHL,60,3561,29,24,5,5,2,214,1778,,,,,,,,,
rivarfe01,1973,1,MNS,NHL,13,701,3,6,2,1,1,50,,,,,,,,,,
masonbo01,1986,1,WAS,NHL,45,2536,20,18,5,3,0,137,1247,4,309,2,2,,0,1,9,143
roachjo01,1932,1,DET,NHL,48,2970,25,15,8,,10,93,,4,240,2,2,0,,1,8,
mclenja01,2003,2,NYR,NHL,4,244,1,3,0,1,0,12,97,,,,,,,,,
hardijo01,2009,1,MIN,NHL,25,1300,9,12,0,3,1,66,692,,,,,,,,,
legacma01,2001,1,DET,NHL,20,1117,10,6,2,0,1,45,503,1,11,0,0,,0,0,1,2
howarji01,2011,1,DET,NHL,57,3360,35,17,4,5,6,119,1496,5,295,1,4,,0,0,13,116
schneco01,2009,1,VAN,NHL,2,79,0,1,0,0,0,5,59,,,,,,,,,
wakalda01,1994,1,DAL,NHL,15,754,4,8,0,1,2,40,341,1,20,0,0,,0,0,1,9
kerrda01,1937,1,NYR,NHL,48,2960,27,15,6,,8,96,,3,231,1,2,,,0,8,
sauveph01,2005,1,CAL,NHL,8,402,3,3,0,0,0,22,202,,,,,,,,,
larocmi01,1979,1,MTL,NHL,39,2259,17,13,8,0,3,125,,5,300,4,1,,0,1,11,
ranfobi01,1995,1,EDM,NHL,37,2015,13,18,5,2,1,128,1024,,,,,,,,,
savarjo01,1911,1,QU1,NHA,1,10,0,0,0,,0,1,,,,,,,,,,
theodjo01,1998,1,MTL,NHL,18,913,4,12,0,1,1,50,406,,,,,,,,,
cuttsdo01,1979,1,EDM,NHL,6,269,1,2,1,1,0,16,,,,,,,,,,
mcaulke01,1943,1,NYR,NHL,50,2980,6,39,5,,0,310,,,,,,,,,,
legacma01,2005,1,DET,NHL,51,2905,37,8,3,1,7,106,1244,6,408,2,4,,1,0,18,155
mitchmi01,1914,1,PO1,PCHA,18,1113,9,9,0,,0,83,,,,,,,,,,
mckayro01,1990,1,HAR,NHL,1,35,0,0,0,0,0,3,15,,,,,,,,,
nurmipa01,2001,1,ATL,NHL,9,465,2,5,0,1,0,28,275,,,,,,,,,
chadwed01,1961,1,BOS,NHL,4,240,0,3,1,,0,22,,,,,,,,,,
terrech01,1997,1,CHI,NHL,21,1222,8,10,2,4,2,49,519,,,,,,,,,
johnsed01,1966,1,BOS,NHL,34,1880,8,21,2,1,0,116,,,,,,,,,,
