coachid,award,year,lgid,note
bowmasc01c,Джек Адамс,1995,NHL,
huculsa01c,Смерц,1974,WHA,
rossar01c,Первая сборная звезд,1938,NHL,
irvindi01c,Команда всех звёзд второй команды,1932,NHL,
vigneal01c,Джек Адамс,2006,NHL,
demerja01c,Джек Адамс,1986,NHL,
rossar01c,Команда всех звёзд второй команды,1937,NHL,
patrile01c,Первая сборная звезд,1937,NHL,
tortojo01c,Джек Адамс,2003,NHL,
crawfma01c,Джек Адамс,1994,NHL,
hartce01c,Команда всех звёзд второй команды,1936,NHL,
rossar01c,Команда всех звёзд второй команды,1942,NHL,
kelleja01c,Бальдвин,1972,WHA,
krommbo01c,Джек Адамс,1977,NHL,
barbebi01c,Джек Адамс,2000,NHL,
weilaco01c,Первая сборная звезд,1940,NHL,
patrile01c,Первая сборная звезд,1935,NHL,
irvindi01c,Команда всех звёзд второй команды,1940,NHL,
gormato01c,Команда всех звёзд второй команды,1935,NHL,
patrile01c,Первая сборная звезд,1931,NHL,
sherofr01c,Джек Адамс,1973,NHL,
irvindi01c,Команда всех звёзд второй команды,1930,NHL,
bouchfr01c,Команда всех звёзд второй команды,1939,NHL,
irvindi01c,Команда всех звёзд второй команды,1934,NHL,
ruffli01c,Джек Адамс,2005,NHL,
thomppa01c,Команда всех звёзд второй команды,1941,NHL,
boudrbr01c,Джек Адамс,2007,NHL,
burnspa01c,Джек Адамс,1997,NHL,
dayha01c,Команда всех звёзд второй команды,1943,NHL,
irvindi01c,Первая сборная звезд,1943,NHL,
bylsmda01c,Джек Адамс,2010,NHL,
thomppa01c,Первая сборная звезд,1939,NHL,
martija02c,Джек Адамс,1998,NHL,
suttebr01c,Джек Адамс,1990,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
dineebi01c,Смерц,1976,WHA,
adamsja01c,Команда всех звёзд второй команды,1944,NHL,
wattto01c,Джек Адамс,1981,NHL,
francbo01c,Джек Адамс,2001,NHL,
quinnpa01c,Джек Адамс,1991,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
irvindi01c,Команда всех звёзд второй команды,1931,NHL,
hitchke01c,Джек Адамс,2011,NHL,
nolante01c,Джек Адамс,1996,NHL,
patrile01c,Первая сборная звезд,1932,NHL,
lemaija01c,Джек Адамс,2002,NHL,
krommbo01c,Смерц,1975,WHA,
harribi01c,Бальдвин,1973,WHA,
juliecl01c,Джек Адамс,2008,NHL,
adamsja01c,Первая сборная звезд,1936,NHL,
dineebi01c,Смерц,1977,WHA,
bouchfr01c,Первая сборная звезд,1941,NHL,
lemaija01c,Джек Адамс,1993,NHL,
burnspa01c,Джек Адамс,1988,NHL,
tessior01c,Джек Адамс,1982,NHL,
gottsjo01c,Команда всех звёзд второй команды,1945,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
irvindi01c,Первая сборная звезд,1944,NHL,
patrile01c,Первая сборная звезд,1930,NHL,
keenami01c,Джек Адамс,1984,NHL,
patrile01c,Первая сборная звезд,1934,NHL,
demerja01c,Джек Адамс,1987,NHL,
patrile01c,Первая сборная звезд,1933,NHL,
tippeda01c,Джек Адамс,2009,NHL,
berenre01c,Джек Адамс,1980,NHL,
hartce01c,Команда всех звёзд второй команды,1936,NHL,
keenami01c,Джек Адамс,1984,NHL,
ruffli01c,Джек Адамс,2005,NHL,
patrile01c,Первая сборная звезд,1933,NHL,
burnspa01c,Джек Адамс,1992,NHL,
vigneal01c,Джек Адамс,2006,NHL,
irvindi01c,Первая сборная звезд,1945,NHL,
irvindi01c,Команда всех звёзд второй команды,1932,NHL,
patrile01c,Первая сборная звезд,1937,NHL,
demerja01c,Джек Адамс,1986,NHL,
hitchke01c,Джек Адамс,2011,NHL,
patrile01c,Первая сборная звезд,1930,NHL,
dineebi01c,Смерц,1977,WHA,
brophjo01c,Смерц,1978,WHA,
irvindi01c,Первая сборная звезд,1943,NHL,
wattto01c,Джек Адамс,1981,NHL,
patrile01c,Первая сборная звезд,1935,NHL,
sathegl01c,Джек Адамс,1985,NHL,
thomppa01c,Первая сборная звезд,1939,NHL,
irvindi01c,Первая сборная звезд,1944,NHL,
murrabr01c,Джек Адамс,1983,NHL,
dineebi01c,Смерц,1976,WHA,
arboual01c,Джек Адамс,1978,NHL,
adamsja01c,Первая сборная звезд,1942,NHL,
crawfma01c,Джек Адамс,1994,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
tippeda01c,Джек Адамс,2009,NHL,
boudrbr01c,Джек Адамс,2007,NHL,
krommbo01c,Смерц,1975,WHA,
barbebi01c,Джек Адамс,2000,NHL,
berenre01c,Джек Адамс,1980,NHL,
bouchfr01c,Команда всех звёзд второй команды,1939,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
burnspa01c,Джек Адамс,1988,NHL,
patrile01c,Первая сборная звезд,1932,NHL,
burnspa01c,Джек Адамс,1997,NHL,
huculsa01c,Смерц,1974,WHA,
adamsja01c,Команда всех звёзд второй команды,1944,NHL,
dayha01c,Команда всех звёзд второй команды,1943,NHL,
sherofr01c,Джек Адамс,1973,NHL,
duttore01c,Команда всех звёзд второй команды,1938,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
nolante01c,Джек Адамс,1996,NHL,
bylsmda01c,Джек Адамс,2010,NHL,
francbo01c,Джек Адамс,2001,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
rossar01c,Команда всех звёзд второй команды,1937,NHL,
murdobo01c,Джек Адамс,1989,NHL,
weilaco01c,Первая сборная звезд,1940,NHL,
juliecl01c,Джек Адамс,2008,NHL,
lemaija01c,Джек Адамс,1993,NHL,
irvindi01c,Команда всех звёзд второй команды,1934,NHL,
bouchfr01c,Первая сборная звезд,1941,NHL,
suttebr01c,Джек Адамс,1990,NHL,
gottsjo01c,Команда всех звёзд второй команды,1945,NHL,
irvindi01c,Команда всех звёзд второй команды,1933,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
tessior01c,Джек Адамс,1982,NHL,
patrile01c,Первая сборная звезд,1934,NHL,
quennjo01c,Джек Адамс,1999,NHL,
harribi01c,Бальдвин,1973,WHA,
rossar01c,Команда всех звёзд второй команды,1942,NHL,
irvindi01c,Команда всех звёзд второй команды,1931,NHL,
kelleja01c,Бальдвин,1972,WHA,
quinnpa01c,Джек Адамс,1991,NHL,
patrile01c,Первая сборная звезд,1934,NHL,
dineebi01c,Смерц,1976,WHA,
irvindi01c,Первая сборная звезд,1945,NHL,
sherofr01c,Джек Адамс,1973,NHL,
boudrbr01c,Джек Адамс,2007,NHL,
patrile01c,Первая сборная звезд,1932,NHL,
irvindi01c,Первая сборная звезд,1943,NHL,
irvindi01c,Команда всех звёзд второй команды,1932,NHL,
rossar01c,Команда всех звёзд второй команды,1937,NHL,
thomppa01c,Команда всех звёзд второй команды,1941,NHL,
adamsja01c,Первая сборная звезд,1936,NHL,
ruffli01c,Джек Адамс,2005,NHL,
lemaija01c,Джек Адамс,1993,NHL,
irvindi01c,Команда всех звёзд второй команды,1933,NHL,
adamsja01c,Команда всех звёзд второй команды,1944,NHL,
arboual01c,Джек Адамс,1978,NHL,
martija02c,Джек Адамс,1998,NHL,
krommbo01c,Джек Адамс,1977,NHL,
wattto01c,Джек Адамс,1981,NHL,
quennjo01c,Джек Адамс,1999,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
kelleja01c,Бальдвин,1972,WHA,
pulfobo01c,Джек Адамс,1974,NHL,
patrile01c,Первая сборная звезд,1933,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
hitchke01c,Джек Адамс,2011,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
bouchfr01c,Первая сборная звезд,1941,NHL,
francbo01c,Джек Адамс,2001,NHL,
burnspa01c,Джек Адамс,1988,NHL,
bouchfr01c,Команда всех звёзд второй команды,1939,NHL,
dineebi01c,Смерц,1977,WHA,
duttore01c,Команда всех звёзд второй команды,1938,NHL,
bylsmda01c,Джек Адамс,2010,NHL,
martija02c,Джек Адамс,1998,NHL,
lemaija01c,Джек Адамс,2002,NHL,
rossar01c,Команда всех звёзд второй команды,1937,NHL,
tortojo01c,Джек Адамс,2003,NHL,
kelleja01c,Бальдвин,1972,WHA,
irvindi01c,Команда всех звёзд второй команды,1931,NHL,
irvindi01c,Команда всех звёзд второй команды,1930,NHL,
murrabr01c,Джек Адамс,1983,NHL,
tippeda01c,Джек Адамс,2009,NHL,
quennjo01c,Джек Адамс,1999,NHL,
nolante01c,Джек Адамс,1996,NHL,
ruffli01c,Джек Адамс,2005,NHL,
burnspa01c,Джек Адамс,1992,NHL,
arboual01c,Джек Адамс,1978,NHL,
burnspa01c,Джек Адамс,1988,NHL,
patrile01c,Первая сборная звезд,1930,NHL,
duttore01c,Команда всех звёзд второй команды,1938,NHL,
demerja01c,Джек Адамс,1987,NHL,
patrile01c,Первая сборная звезд,1935,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
juliecl01c,Джек Адамс,2008,NHL,
irvindi01c,Команда всех звёзд второй команды,1932,NHL,
patrile01c,Первая сборная звезд,1934,NHL,
burnspa01c,Джек Адамс,1997,NHL,
cherrdo01c,Джек Адамс,1975,NHL,
rossar01c,Команда всех звёзд второй команды,1942,NHL,
harribi01c,Бальдвин,1973,WHA,
demerja01c,Джек Адамс,1986,NHL,
adamsja01c,Первая сборная звезд,1942,NHL,
hitchke01c,Джек Адамс,2011,NHL,
lemaija01c,Джек Адамс,1993,NHL,
crawfma01c,Джек Адамс,1994,NHL,
murdobo01c,Джек Адамс,1989,NHL,
suttebr01c,Джек Адамс,1990,NHL,
gottsjo01c,Команда всех звёзд второй команды,1945,NHL,
quinnpa01c,Джек Адамс,1979,NHL,
krommbo01c,Смерц,1975,WHA,
rossar01c,Первая сборная звезд,1938,NHL,
irvindi01c,Первая сборная звезд,1945,NHL,
huculsa01c,Смерц,1974,WHA,
brophjo01c,Смерц,1978,WHA,
sathegl01c,Джек Адамс,1985,NHL,
thomppa01c,Команда всех звёзд второй команды,1941,NHL,
patrile01c,Первая сборная звезд,1937,NHL,
dineebi01c,Смерц,1977,WHA,
irvindi01c,Первая сборная звезд,1943,NHL,
berenre01c,Джек Адамс,1980,NHL,
tessior01c,Джек Адамс,1982,NHL,
irvindi01c,Первая сборная звезд,1944,NHL,
bouchfr01c,Команда всех звёзд второй команды,1939,NHL,
wattto01c,Джек Адамс,1981,NHL,
adamsja01c,Команда всех звёзд второй команды,1944,NHL,
francbo01c,Джек Адамс,2001,NHL,
sherofr01c,Джек Адамс,1973,NHL,
adamsja01c,Первая сборная звезд,1936,NHL,
patrile01c,Первая сборная звезд,1933,NHL,
weilaco01c,Первая сборная звезд,1940,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
boudrbr01c,Джек Адамс,2007,NHL,
keenami01c,Джек Адамс,1984,NHL,
dineebi01c,Смерц,1976,WHA,
bouchfr01c,Первая сборная звезд,1941,NHL,
irvindi01c,Команда всех звёзд второй команды,1940,NHL,
irvindi01c,Команда всех звёзд второй команды,1934,NHL,
barbebi01c,Джек Адамс,2000,NHL,
vigneal01c,Джек Адамс,2006,NHL,
dayha01c,Команда всех звёзд второй команды,1943,NHL,
thomppa01c,Первая сборная звезд,1939,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
patrile01c,Первая сборная звезд,1931,NHL,
quinnpa01c,Джек Адамс,1991,NHL,
krommbo01c,Джек Адамс,1977,NHL,
gormato01c,Команда всех звёзд второй команды,1935,NHL,
