,db_name,number,question,answer
0,pubs,10,"What is the phone number of the author who wrote the book with the code ""MC3021"" and whose work was sold at the store with the ID ""8042""? Just give me one result.",219 547-9982
1,pubs,5,"How much money did we make in total from all business book sales in 1993, after accounting for any store discounts?",283.8125
2,pubs,2,How much is the typical price of books published in Boston that offer authors a royalty rate higher than 10%?,7.192
3,pubs,3,"How much total money did we make from sales of books published by the company with ID 1389 in 1993, after applying any customer discounts?",937.8874999999999
4,pubs,4,How much do authors typically earn in royalties on average for books priced over $10 that are published in the USA?,63.1578947368421
5,pubs,1,What was the average amount of money earned from each sale in 1993 after applying the customer discount?,468.94374999999997
6,pubs,9,"What is the first name of the person who wrote the book with the ID ""PC1035""?",Cheryl
7,pubs,7,How can I find the average royalty percentage for business books published by companies based in the United States?,66.66666666666667
8,pubs,6,What is the average price of the books written by authors who live in Corvallis and published by the company with the ID 0877?,11.95
9,pubs,8,How much money did we make in total from sales in 1993 after applying the customer discounts to each purchase?,1875.7749999999999
10,northwind,10,How much money did we make from all seafood sales during the year 1997?,19.2
11,northwind,5,How much money has been made in total from all sales of sweets and confectionery items?,696.0
12,northwind,2,How many orders were placed during the year 1997?,78
13,northwind,3,How many unique orders were placed by customers from the USA and handled by employees who work in Seattle?,40
14,northwind,4,"How many orders were placed by customers in the USA in 1997, where the orders were handled by employees working in Seattle?",22
15,northwind,1,How many orders were placed during the year 1997?,73
16,northwind,9,How many orders were placed during the year 1997?,50
17,northwind,7,How many orders were placed in 1997 for products in category 3?,4
18,northwind,6,How many different orders were placed in 1997 for items in category 8?,3
19,northwind,8,"How much money did we make in total from sales in 1997, after accounting for any discounts, for all product categories?",851.2
20,NCAA,10,"What is the name of the team that was involved in the match labeled ""2012_1199_1382"" during the 2012 season?",Florida St
21,NCAA,5,"How many field goals, on average, has Duke made in their winning games throughout the tournament?",24.857142857142858
22,NCAA,2,How many assists on average do West Virginia's winning teams have in games that went into overtime?,20.0
23,NCAA,3,"How can I find the average number of personal fouls committed by winning teams that were seeded with a ""W"" in their tournament bracket and ended up scoring more points than their opponents?",17.0
24,NCAA,4,"What is the average predicted performance for teams in 2014, considering only their games where the winning team made more field goals than the losing team?",0.5
25,NCAA,1,"What is the name of the winning team from the game that took place on the 11th day of the 2011 season, where the team with ID 1145 won?",Canisius
26,NCAA,9,"What is the name of the winning team for the game identified by the code ""2011_1155_1452""?",Clemson
27,NCAA,7,How can I find the average score of the winning teams in the first round of tournaments held in the East region?,76.56923076923077
28,NCAA,6,How much do winning teams typically contribute to their teammates' scores on average?,15.67922874671341
29,NCAA,8,"What is the average number of personal fouls committed by winning teams in the 2014 tournament games, but only for teams that also won at least one regular season game in 2014 by scoring more points than they did in their tournament wins?",17.4
30,lahman_2014,10,"What is the first and last name of the player with the ID ""willite01"" who won an award in 1950 and also played in batting games that same year?",Ted Williams
31,lahman_2014,5,How many players are there who attended schools located in California?,46
32,lahman_2014,2,How much money do all the players from the USA who are on the Boston Red Sox team earn in total?,15360000
33,lahman_2014,3,How many different players who appeared in the All-Star game since 1990 have also won awards and earned more than one million dollars in the same year?,3
34,lahman_2014,4,How many times have players born in the USA appeared in All-Star games while playing as center fielders?,244
35,lahman_2014,1,How many people who have been officially recognized in the Hall of Fame have also received awards?,65
36,lahman_2014,9,What are the first and last names of a player who attended Stony Brook University?,Joe Nathan
37,lahman_2014,7,How many unique players have received awards in the same years they were selected as All-Stars?,6
38,lahman_2014,6,"How many points, on average, have the players who were named to the All-Star team won in the awards they received?",94.9090909090909
39,lahman_2014,8,What is the average number of points won by players who were both All-Stars and won the Most Valuable Player award in the same year?,347.0
40,sakila,10,"What is the full name of the person with ID number 380, and which city do they live in?",RUSSELL BRINSON
41,sakila,5,How much money did we make from renting out drama movies during May 2005?,8.98
42,sakila,2,How much money did we make from all Action movies rented during May 2005?,66.89
43,sakila,3,What is the average cost of rentals for movies in the Action category?,10.99
44,sakila,4,How much total money was made from all the movies in the first category that customers have already returned?,10.99
45,sakila,1,What is the email address of the customer who lives in the city associated with customer number 1?,MARY.SMITH@sakilacustomer.org
46,sakila,9,"What are the first name, last name, and phone number of one currently active customer who lives in San Bernardino?",PATRICIA JOHNSON 838635286649
47,sakila,7,What was the average amount customers paid for Action movies rented in July 2005?,4.156666666666667
48,sakila,6,What is the average cost of rentals for sports-related items during July 2005?,4.99
49,sakila,8,What was the average amount customers paid for Comedy movies rented during May 2005?,4.545555555555556
50,Hockey,10,"What are the first and last names of the player who won the ""All-Rookie"" award in 2007?",Tobias Enstrom
51,Hockey,5,"How many people have been recognized as Hall of Fame players, have received awards, and have also worked as coaches?", 1
52,Hockey,2,How many different coaches have ever received the Patrick award?, 2
53,Hockey,3,"What is the name of the Canadian-style team that has won the most games at home while also winning at least one championship, ranked by their home wins?",CAT
54,Hockey,4,What is the highest number of points ever scored by a player who was part of a team during the same year?, 42
55,Hockey,1,How many total wins have all the coaches who won the Jack Adams Award achieved?,7389
56,Hockey,9,"What is the name of the player who won the ""First Team All-Star"" award in 1937 while playing for the Montreal team?",Tiny Thompson
57,Hockey,7,"How many players have received the ""First Team All-Star"" award and also played in more than 50 games?",5
58,Hockey,6,How many players have won the Calder award and also played in more than 50 games?,1
59,Hockey,8,How many different players have received awards since the year 2000 and were also inducted into the Hall of Fame starting from 2000?,1
60,ErgastF1,10,What is the name of the race track where the winner of race number 112 finished in first place?,Circuit de Barcelona-Catalunya
61,ErgastF1,5,How many total points did all British drivers score in races during the year 2001?,6.0
62,ErgastF1,2,How many total points have Italian racing teams earned in their first race held in Italy?,15
63,ErgastF1,3,"How many points did each driver earn in every race during 2009, but only show me the cases where the total points for a driver in a race were more than 5?",10.0
64,ErgastF1,4,What is the most recent year when a race was held in Australia since 2000 where someone finished in first place?,2017
65,ErgastF1,1,What are the first and last names of the drivers who won first place at the Circuit de Monaco?, Lewis Hamilton
66,ErgastF1,9,What are the first and last names of the driver who started in first place at the race with ID 96?,Michael Schumacher
67,ErgastF1,7,How many total points were earned by all teams in races held in the USA during the year 2007?,39.0
68,ErgastF1,6,What is the average number of points earned by British drivers in all races during the year 2016?,6.283333333333333
69,ErgastF1,8,What is the average number of points scored by racing teams in all the races held in Germany between the years 2000 and 2020?,29.641025641025642
70,Credit,10,"What is the amount charged for the specific transaction numbered 1855040, and can you also tell me which person and category it belongs to?",3147.0
71,Credit,5,"What are the different areas where companies with ""Opera"" in their name operate, but only if those areas also have at least one service provider available? Please list them in alphabetical order.","Middle East, Western Europe"
72,Credit,2,How much money in total has been paid by all members from Western Europe?, 5108.0
73,Credit,3,How much money has been spent on meals from all providers located in regions that start with the letter M?,126994.0
74,Credit,4,"How much money in total has been paid by people who live in regions that start with the letter ""S""?",180831.0
75,Credit,1,How many different types of items have total costs that are higher than the average total cost across all types?,5
76,Credit,9,What is the amount charged for the specific transaction numbered 1974802?,
77,Credit,7,"How much money did all the members from ""Corp. Giant NeedleworkCorp."" spend in total during October 1999?",100960.0
78,Credit,6,What is the average amount spent by people from the Eastern Europe area across all their purchases?,1682.5
79,Credit,8,How much money was spent in total on entertainment expenses by people living in region number 9?,2861.0
80,Mondial,10,What is the name of the capital city for the country with the code 'TT'?,Trinidad and Tobago
81,Mondial,5,How can I find the average wealth (measured by GDP) of all independent countries that have this information available?,121090.48780487805
82,Mondial,2,How can I find the average wealth (measured by GDP) of countries in Europe that have more than 10 million people?,493400.0
83,Mondial,3,"How much total economic output do all the countries bordering Germany have, but only include those where their economic output is greater than 50,000?",301900.0
