targetid,raceid,driverid,win
1333,77,11,0
1386,80,32,0
1397,80,27,0
1442,82,30,0
1452,83,4,0
1548,87,21,0
3134,161,50,0
3175,163,49,0
3186,163,65,0
3352,171,25,0
4552,203,63,0
4613,206,76,0
5072,226,77,0
5269,235,77,0
5281,235,84,0
5379,239,21,0
6981,296,119,0
7012,297,100,0
7138,301,55,0
7173,302,91,0
7246,304,78,0
9377,275,104,0
9572,283,77,0
9632,285,112,0
9633,285,55,0
9704,287,83,0
10207,241,87,0
10310,245,69,0
10330,246,44,0
10494,252,30,0
10564,254,63,0
10604,255,49,0
10643,256,95,0
10764,212,55,0
10768,212,50,0
10903,218,77,0
10936,219,35,0
11029,222,58,0
11030,223,14,0
11179,182,49,0
11223,184,49,0
11436,144,2,0
11458,145,49,0
11540,148,59,0
11630,152,57,0
11640,153,30,1
11727,156,57,1
11848,129,31,0
12047,138,63,0
12067,139,56,0
12096,140,2,0
12116,108,35,0
12194,113,15,0
12232,115,8,0
12266,116,17,0
12303,118,52,0
12385,122,50,0
12533,96,22,0
12611,99,17,0
12743,105,43,0
12991,61,2,0
13027,63,30,1
13039,63,23,0
13099,66,30,0
13645,37,19,0
13722,41,23,0
13741,42,21,0
13905,49,13,0
13945,50,14,0
13949,51,4,0
13990,52,26,0
15854,321,137,0
15889,322,131,0
16102,327,151,0
16111,327,112,0
16143,328,81,0
16241,331,119,0
16297,332,151,0
16313,333,123,0
16337,333,140,0
16436,336,103,0
17167,308,138,0
17183,308,127,0
17189,308,133,0
17563,318,128,0
17659,2,16,0
17725,3,8,0
17887,7,12,0
18016,12,22,0
18506,364,133,0
18542,365,94,0
18576,366,157,0
18605,366,151,0
18643,367,92,0
18684,368,162,0
18730,369,162,0
18743,369,109,0
18954,371,94,0
19256,380,78,0
19262,381,77,0
19371,384,159,0
19567,390,84,0
19592,391,133,0
19818,399,160,0
19960,404,119,0
20030,407,123,0
20149,410,160,0
20159,411,172,0
20202,412,119,0
20232,413,156,0
20275,415,137,0
20316,416,105,0
20352,417,175,0
20372,418,163,0
20418,419,156,0
20744,428,105,1
20759,428,94,0
20871,432,163,0
20939,434,105,0
21230,442,179,0
21376,447,172,0
21465,449,110,0
21728,457,110,0
21916,463,187,0
21961,464,173,0
22004,465,182,0
22005,465,172,0
22092,467,118,0
22224,471,197,0
22233,471,208,0
22301,473,176,0
22422,477,105,0
22476,478,203,0
22829,486,137,1
22897,487,118,0
22921,488,173,0
43377,836,797,0
43576,839,654,0
43832,829,687,0
44059,832,723,0
44563,823,699,0
44603,823,709,0
44848,810,501,0
44979,812,581,0
45008,813,554,0
45026,813,679,0
45207,815,529,0
45303,816,656,0
46079,792,642,0
46191,794,533,0
46289,796,496,0
46341,797,579,0
46517,784,498,0
46552,786,482,0
46713,788,595,0
46898,790,806,0
46928,791,537,0
46932,791,592,0
46940,791,630,0
46962,791,609,0
47000,776,476,0
47076,778,614,0
47115,779,547,0
47233,781,578,0
47306,782,586,0
48182,742,476,1
48283,744,376,0
48406,730,394,0
48541,734,403,0
48584,735,403,0
48737,737,411,0
48926,697,397,0
49253,770,482,0
49274,771,456,0
49310,771,523,0
49331,771,549,0
49420,773,579,0
49588,775,501,0
49691,746,427,0
49767,748,516,0
49798,749,403,0
49828,749,512,0
49899,750,494,0
49946,751,439,0
50025,752,502,0
50069,752,535,0
50727,709,346,0
51043,699,358,0
51173,703,341,0
51351,706,424,0
51379,707,412,0
51426,708,358,0
51619,802,525,0
51645,802,509,0
51688,803,671,0
51719,803,556,0
51830,804,578,0
52012,806,663,0
52056,807,640,0
52107,807,663,0
52527,680,345,0
52845,689,328,0
53049,663,347,0
53355,639,207,0
53532,667,373,1
53735,674,373,0
53736,674,289,0
53881,677,365,0
53935,620,235,0
54099,625,250,0
54373,644,341,0
54404,645,243,0
54523,649,360,0
54685,653,327,0
54812,606,306,0
54836,607,199,0
54883,609,223,0
54907,610,224,0
54948,611,329,0
54952,611,238,0
54984,612,307,0
54994,612,222,0
55191,617,289,0
55201,617,298,0
55254,619,329,0
55255,619,197,0
55256,619,306,0
55262,619,250,0
55478,595,313,0
55695,600,293,0
55699,600,314,0
55853,603,308,0
56185,583,243,0
56240,584,294,0
56308,586,250,0
56425,588,282,0
56429,588,219,0
56467,589,293,0
56471,589,294,0
56692,566,223,0
56715,566,178,0
