raceid,driverid,lap,position,time,milliseconds
885,8,20,5,1:21.044,81044
185,21,16,3,1:22.009,82009
851,1,65,4,1:24.801,84801
952,815,24,7,1:32.120,92120
932,813,51,5,1:18.385,78385
42,19,64,13,1:16.886,76886
162,49,52,7,1:27.636,87636
144,23,12,1,1:27.202,87202
859,816,21,23,1:38.128,98128
979,832,40,10,1:23.038,83038
915,821,41,14,1:45.969,105969
83,13,36,14,1:26.691,86691
83,17,56,7,1:42.283,102283
355,13,22,14,1:45.754,105754
210,64,50,11,1:29.593,89593
93,18,38,2,1:22.712,82712
147,18,11,14,1:25.107,85107
341,155,61,13,1:26.667,86667
937,822,37,9,1:54.978,114978
191,56,5,8,1:37.953,97953
864,807,55,10,1:28.918,88918
217,71,26,2,1:41.096,101096
21,13,3,2,2:13.487,133487
930,18,33,17,1:32.995,92995
52,4,22,1,1:19.250,79250
169,63,65,10,1:23.844,83844
907,4,67,5,1:14.043,74043
120,4,39,1,1:23.249,83249
861,4,5,12,2:32.702,152702
931,154,47,10,1:21.021,81021
35,21,27,8,1:16.130,76130
877,20,33,2,1:46.690,106690
205,49,10,7,1:23.274,83274
169,14,8,3,1:21.845,81845
10,21,49,15,1:24.640,84640
859,10,7,23,1:21.871,81871
90,15,29,7,1:30.565,90565
190,68,5,18,1:46.429,106429
847,2,5,9,1:41.891,101891
192,55,43,10,1:44.099,104099
950,828,29,18,2:01.979,121979
879,37,9,12,1:31.350,91350
200,15,46,10,1:16.123,76123
874,37,9,17,1:43.772,103772
202,49,36,6,1:21.848,81848
82,33,10,15,1:18.346,78346
91,8,24,3,1:36.122,96122
184,57,14,1,1:48.677,108677
141,31,29,7,1:30.993,90993
975,828,7,15,1:19.734,79734
16,154,3,8,1:57.975,117975
927,831,52,12,1:44.447,104447
849,13,34,6,1:37.570,97570
842,18,4,4,1:45.203,105203
859,16,67,6,1:18.162,78162
131,59,16,20,3:11.101,191101
105,46,7,20,1:40.809,100809
968,835,52,17,1:47.907,107907
226,56,56,6,1:32.341,92341
874,155,1,2,1:59.454,119454
213,71,13,16,1:23.916,83916
51,18,38,4,1:39.248,99248
10,20,16,6,1:23.810,83810
899,807,11,7,1:19.778,79778
3,67,27,8,1:57.623,117623
70,13,16,1,1:14.262,74262
339,812,38,16,1:46.560,106560
929,20,56,5,1:39.756,99756
851,20,51,3,1:45.615,105615
153,58,2,21,1:24.712,84712
341,155,14,14,1:29.865,89865
887,814,9,13,1:38.298,98298
110,18,12,8,1:30.037,90037
130,21,29,9,1:20.924,80924
958,830,10,4,1:26.621,86621
220,77,27,17,1:13.810,73810
843,808,27,10,1:43.279,103279
970,835,44,14,1:38.437,98437
139,2,51,9,1:15.441,75441
87,21,54,5,1:14.405,74405
173,15,19,14,1:45.336,105336
909,807,9,5,1:23.646,83646
867,154,5,3,1:46.217,106217
353,153,33,15,1:59.547,119547
865,39,61,19,1:22.199,82199
126,37,61,10,1:19.386,79386
94,15,25,4,1:18.518,78518
873,819,52,14,1:57.395,117395
52,17,5,4,1:15.558,75558
344,17,67,5,1:21.299,81299
972,832,37,10,1:39.985,99985
85,8,13,11,1:23.725,83725
958,18,26,21,1:28.281,88281
911,4,39,6,1:55.142,115142
915,822,50,3,1:42.186,102186
917,18,3,5,1:16.384,76384
909,822,51,2,1:22.543,82543
41,9,19,8,1:17.529,77529
338,24,6,11,1:42.793,102793
855,18,22,2,1:38.498,98498
223,55,24,10,1:26.799,86799
222,35,10,2,1:40.825,100825
238,86,31,19,1:31.227,91227
79,30,73,1,1:14.600,74600
347,808,26,12,1:20.602,80602
99,2,30,16,1:18.745,78745
17,16,10,20,1:43.902,103902
348,810,23,20,1:30.646,90646
197,74,33,12,1:24.150,84150
194,71,19,11,1:31.639,91639
860,18,51,1,1:30.049,90049
915,821,52,15,1:44.145,104145
907,8,22,13,1:14.720,74720
41,3,49,15,1:40.332,100332
355,810,35,19,1:47.516,107516
95,46,1,17,1:38.781,98781
944,828,36,17,1:17.542,77542
860,817,57,12,1:31.584,91584
928,4,17,16,1:47.332,107332
886,1,64,3,1:17.713,77713
948,18,48,15,1:32.751,92751
208,78,5,16,1:21.030,81030
883,20,11,5,1:58.492,118492
958,830,20,6,1:26.993,86993
230,49,64,4,1:54.484,114484
182,25,11,16,1:32.217,92217
20,13,46,1,1:35.033,95033
939,3,46,4,1:51.492,111492
845,153,60,16,1:29.453,89453
122,23,3,2,1:13.507,73507
143,44,68,4,1:28.644,88644
191,71,22,12,1:36.831,96831
22,16,55,16,1:29.033,89033
54,18,23,3,1:36.705,96705
111,8,28,4,1:24.500,84500
28,12,23,3,1:22.466,82466
168,60,1,20,2:03.721,123721
961,815,13,6,1:28.819,88819
901,817,28,4,1:50.874,110874
27,7,9,12,1:18.320,78320
199,49,8,5,1:38.974,98974
860,811,11,18,1:35.358,95358
152,59,24,11,1:45.837,105837
912,1,14,2,1:28.948,88948
966,807,51,5,1:23.861,83861
59,22,71,5,1:17.439,77439
131,44,47,10,1:20.620,80620
15,16,24,16,1:34.400,94400
101,18,3,11,1:15.897,75897
870,30,10,24,1:29.508,89508
152,18,23,7,1:44.708,104708
87,31,35,1,1:13.829,73829
206,49,10,3,1:43.897,103897
855,808,51,9,1:37.271,97271
113,23,28,7,1:11.009,71009
217,14,24,4,1:25.859,85859
950,835,18,22,1:43.815,103815
227,14,34,3,1:23.580,83580
141,55,52,10,1:32.133,92133
1,9,3,4,1:30.779,90779
63,24,39,15,1:19.726,79726
932,18,12,18,1:20.997,80997
168,49,4,13,1:47.674,107674
194,23,57,8,1:34.724,94724
235,49,4,11,1:24.204,84204
190,56,11,4,1:44.012,104012
124,8,25,3,1:30.846,90846
56,3,48,10,1:27.769,87769
16,9,66,2,1:15.571,75571
942,830,2,8,1:59.138,119138
217,63,5,18,1:23.332,83332
936,828,27,15,1:29.584,89584
854,13,28,15,1:54.682,114682
171,25,8,7,2:26.784,146784
901,826,39,12,1:46.790,106790
50,19,27,13,1:31.803,91803
178,55,13,14,1:26.505,86505
165,21,39,6,1:20.702,80702
149,50,43,15,1:22.384,82384
893,807,19,12,1:52.453,112453
198,35,12,5,1:20.164,80164
170,48,20,15,1:57.608,117608
15,17,2,19,2:16.217,136217
976,825,2,11,1:50.183,110183
966,1,23,2,1:23.464,83464
978,807,32,7,1:33.470,93470
78,30,16,10,1:16.775,76775
353,15,21,18,2:10.683,130683
23,18,39,11,1:29.702,89702
30,9,37,8,1:49.035,109035
155,22,16,1,1:26.293,86293
94,21,36,6,1:20.284,80284
95,44,64,9,1:20.787,80787
10,3,5,5,1:24.141,84141
101,22,15,15,1:16.075,76075
170,23,37,3,1:56.087,116087
937,154,6,7,1:57.478,117478
49,17,29,7,1:50.087,110087
53,23,2,16,1:39.183,99183
21,18,60,6,1:24.328,84328
892,823,15,17,1:31.043,91043
862,30,1,2,1:46.359,106359
353,15,6,18,2:41.903,161903
129,62,6,19,1:14.972,74972
84,38,15,15,1:31.249,91249
954,822,6,6,1:18.779,78779
858,67,7,10,1:48.646,108646
959,832,23,15,1:23.912,83912
968,836,17,18,1:48.433,108433
143,21,33,10,1:18.915,78915
52,19,56,14,1:14.948,74948
896,3,12,9,1:32.436,92436
905,1,62,2,1:20.961,80961
841,20,44,1,1:29.844,89844
132,17,31,17,1:38.034,98034
193,56,53,3,1:30.190,90190
40,14,28,13,1:18.103,78103
905,824,19,14,1:22.602,82602
172,48,49,14,1:18.315,78315
125,66,50,7,1:41.724,101724
354,16,21,8,1:18.265,78265
893,821,19,13,1:53.597,113597
159,41,3,9,1:20.123,80123
847,3,25,10,2:05:01.488,7501488
202,75,64,16,1:24.707,84707
137,8,3,4,1:50.866,110866
950,832,48,11,1:43.932,103932
911,824,27,20,1:56.827,116827
874,813,48,8,1:38.025,98025
901,154,17,12,1:48.660,108660
25,3,19,19,1:19.790,79790
123,44,32,12,1:35.953,95953
964,821,9,10,1:40.887,100887
349,153,36,11,2:05.334,125334
898,821,14,16,1:45.303,105303
962,817,16,3,2:12.646,132646
898,817,8,10,1:45.791,105791
157,18,34,9,1:39.316,99316
953,13,45,10,1:22.409,82409
177,69,51,10,1:34.590,94590
948,837,15,20,1:33.847,93847
141,44,33,4,1:31.207,91207
222,35,3,2,1:43.734,103734
898,819,13,19,1:46.807,106807
43,13,10,1,1:16.745,76745
237,30,21,2,1:27.595,87595
23,15,56,15,1:26.743,86743
852,20,13,1,2:05.285,125285
6,18,64,1,1:17.156,77156
196,21,16,3,1:24.169,84169
6,16,44,16,1:19.293,79293
47,9,4,4,1:30.107,90107
21,1,37,3,1:22.701,82701
348,67,15,15,1:37.679,97679
35,8,42,1,1:14.320,74320
339,155,1,10,1:53.346,113346
73,40,35,13,1:37.332,97332
870,813,49,12,1:26.777,86777
131,8,32,3,1:17.940,77940
27,5,35,3,1:17.475,77475
953,13,24,12,1:33.930,93930
59,33,55,18,1:19.473,79473
52,13,10,1,1:13.969,73969
973,20,54,2,1:24.737,84737
958,822,43,8,1:30.278,90278
19,11,25,18,1:39.568,99568
214,14,20,6,1:20.420,80420
214,55,22,9,1:24.409,84409
907,155,13,10,1:16.199,76199
65,26,56,14,1:34.376,94376
6,21,77,9,1:17.443,77443
848,815,18,12,1:48.451,108451
189,70,50,10,1:42.131,102131
74,23,52,8,1:25.077,85077
218,71,13,8,2:09.407,129407
910,3,4,1,1:44.232,104232
38,3,19,9,1:38.405,98405
145,8,5,11,1:25.604,85604
864,808,2,19,1:34.573,94573
844,816,18,21,1:35.844,95844
890,819,22,19,1:30.074,90074
216,50,30,14,1:50.381,110381
965,822,50,15,1:46.438,106438
116,42,24,14,1:35.849,95849
130,13,12,13,1:22.937,82937
884,817,1,14,1:41.943,101943
108,35,16,7,1:30.858,90858
23,15,74,13,1:20.286,80286
849,808,47,12,1:36.936,96936
904,825,33,13,1:32.884,92884
932,829,5,19,1:22.888,82888
955,831,31,15,1:50.485,110485
130,49,50,6,1:21.290,81290
209,35,61,1,1:29.589,89589
909,815,10,7,1:24.752,84752
857,814,17,16,1:35.011,95011
347,1,48,4,1:17.593,77593
40,11,29,19,1:18.437,78437
892,13,39,4,1:27.896,87896
