year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
2009,NHL,PHO,7,3,4,0,18,26,81,0,6,33,0,8,34,1
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1931,NHL,MTL,4,1,3,0,9,13,48,,,,,,,
2002,NHL,TOR,7,3,4,0,16,24,89,2,3,25,1,5,33,2
1976,WHA,HOU,11,6,5,0,43,40,,,,,,,,
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
1974,WHA,MFS,12,6,6,0,44,42,,,,,,,,
1978,NHL,BUF,3,1,2,0,9,9,41,0,1,8,0,0,13,0
1992,NHL,VAN,12,6,6,0,46,43,188,2,12,56,2,12,56,0
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
1978,WHA,CIN,3,1,2,0,10,10,,,,,,,,
1987,NHL,BOS,23,12,10,1,85,72,813,6,20,131,,24,125,6
1939,NHL,TOR,10,6,4,0,21,19,123,,,,,,,
1983,NHL,PHI,3,0,3,0,5,15,126,0,1,7,0,3,11,0
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1924,WCHL,VIC,4,2,0,2,9,5,,,,,,,,
1974,NHL,PHI,17,12,5,0,53,34,335,0,11,65,0,14,89,1
1918,PCHA,SEA,2,1,1,0,7,5,,,,,,,,
1993,NHL,CAL,7,3,4,0,20,23,173,8,5,44,1,6,41,1
2009,NHL,PHI,23,14,9,0,76,61,253,10,23,105,2,14,95,1
1983,NHL,MTL,15,9,6,0,42,32,450,6,9,70,1,8,58,1
1999,NHL,FLO,4,0,4,0,6,12,54,0,1,14,1,2,16,0
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
2006,NHL,NYR,10,6,4,0,30,23,151,0,13,54,0,6,52,0
1969,NHL,OAK,4,0,4,0,6,13,50,,4,,0,2,,1
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
