year,lgid,tmid,oppid,w,l,t,otl
2000,NHL,STL,PIT,1,1,0.0,0
1965,NHL,BOS,DET,2,11,1.0,
2002,NHL,DAL,PHO,3,0,2.0,0
2007,NHL,NAS,BOS,0,1,,0
2006,NHL,NJD,SJS,0,1,,0
1992,NHL,MTL,WIN,2,0,0.0,
2000,NHL,PHI,BUF,4,0,0.0,0
1985,NHL,VAN,NYR,0,3,0.0,
2008,NHL,PHI,AND,1,0,,0
1995,NHL,CAL,FLO,1,1,0.0,
1986,NHL,CAL,MNS,1,1,1.0,
2001,NHL,DET,CAR,2,0,0.0,0
1989,NHL,TOR,EDM,2,1,0.0,
1992,NHL,VAN,WIN,6,1,0.0,
1993,NHL,CHI,FLO,1,0,1.0,
1995,NHL,PIT,TBL,3,1,0.0,
2010,NHL,MIN,AND,3,1,,0
1986,NHL,TOR,BUF,2,0,1.0,
2008,NHL,PIT,SJS,1,1,,0
1975,NHL,NYR,DET,3,1,0.0,
1991,NHL,NJD,EDM,1,1,1.0,
1928,NHL,CHI,PIP,2,3,1.0,
1991,NHL,BUF,QUE,3,3,2.0,
1982,NHL,PIT,STL,0,3,0.0,
2009,NHL,PHI,CHI,1,0,,0
1980,NHL,HAR,NYI,0,2,2.0,
1981,NHL,COR,HAR,2,0,1.0,
1991,NHL,QUE,NJD,0,3,0.0,
1999,NHL,ATL,ANA,0,1,0.0,0
2003,NHL,CHI,OTT,0,1,0.0,0
1974,NHL,CLF,TOR,1,3,2.0,
1995,NHL,DET,WAS,2,0,0.0,
1978,NHL,MTL,WAS,7,0,1.0,
1997,NHL,TOR,TBL,2,0,0.0,
2003,NHL,SJS,BUF,0,1,0.0,0
1981,NHL,NYI,MNS,2,0,1.0,
1982,NHL,EDM,WIN,6,2,0.0,
1997,NHL,MTL,OTT,3,2,1.0,
2010,NHL,DAL,LAK,2,4,,0
2001,NHL,DAL,PIT,0,1,0.0,0
1982,NHL,TOR,PIT,2,1,0.0,
1974,NHL,KCS,NYR,0,4,1.0,
1980,NHL,COR,MTL,0,4,0.0,
1999,NHL,TOR,NJD,3,0,1.0,0
2009,NHL,COL,DET,2,2,,0
1984,NHL,PIT,NYI,2,5,0.0,
1983,NHL,CAL,DET,1,2,0.0,
2010,NHL,NYR,PHO,1,0,,0
2001,NHL,VAN,CHI,1,2,1.0,0
1999,NHL,NYI,NJD,2,3,0.0,0
1981,NHL,NYR,DET,2,1,0.0,
2011,NHL,NYI,PHI,2,3,,1
2008,NHL,BUF,WAS,2,2,,0
1979,NHL,PIT,BOS,2,2,0.0,
1968,NHL,MTL,STL,5,0,1.0,
2007,NHL,SJS,COL,2,2,,0
1998,NHL,VAN,BUF,0,1,0.0,
2009,NHL,NYR,CHI,0,0,,1
1990,NHL,PIT,CHI,0,3,0.0,
1974,NHL,MNS,BOS,0,3,1.0,
1932,NHL,MTM,MTL,3,2,1.0,
2010,NHL,NJD,DAL,1,0,,1
1976,NHL,MTL,COR,3,0,1.0,
2003,NHL,CAL,TBL,0,1,0.0,0
1981,NHL,STL,PHI,0,3,0.0,
2000,NHL,ANA,COL,0,3,1.0,0
2003,NHL,MIN,DET,0,2,2.0,0
1983,NHL,PIT,WIN,1,2,0.0,
1988,NHL,STL,NJD,1,2,0.0,
2005,NHL,STL,NJD,0,1,,0
1999,NHL,PHI,PHO,2,0,0.0,0
2002,NHL,LAK,STL,1,2,0.0,1
1985,NHL,EDM,CAL,6,1,1.0,
1970,NHL,CLF,PHI,2,3,1.0,
2009,NHL,CAL,OTT,1,1,,0
1997,NHL,ANA,MTL,1,1,0.0,
1997,NHL,NJD,NYI,4,2,0.0,
1997,NHL,STL,PHO,2,3,0.0,
1972,WHA,ALB,MFS,4,4,0.0,
2006,NHL,CAR,AND,1,0,,0
1999,NHL,SJS,BUF,1,0,0.0,0
1997,NHL,SJS,DAL,2,2,0.0,
2007,NHL,VAN,SJS,0,4,,0
2011,NHL,WAS,LAK,0,1,,0
1973,WHA,CLC,QUN,3,4,1.0,
2003,NHL,NYI,MIN,1,0,0.0,0
1998,NHL,BUF,NYI,2,1,1.0,
1985,NHL,BUF,NJD,2,1,0.0,
1986,NHL,WIN,PHI,1,2,0.0,
2000,NHL,CBS,CAL,3,1,0.0,0
1993,NHL,WIN,BUF,1,1,0.0,
1986,NHL,PHI,WAS,5,1,1.0,
2002,NHL,TBL,NJD,1,1,2.0,0
2011,NHL,DET,TOR,0,1,,0
1991,NHL,CHI,BOS,2,1,0.0,
2002,NHL,FLO,MIN,0,2,0.0,0
1969,NHL,CHI,DET,4,4,0.0,
2008,NHL,PHI,DET,0,1,,0
2011,NHL,TOR,CHI,0,1,,0
1997,NHL,BUF,VAN,2,0,0.0,
2005,NHL,LAK,EDM,1,3,,0
1978,NHL,MNS,NYR,2,1,1.0,
1973,NHL,MTL,PIT,4,0,1.0,
1993,NHL,LAK,CAL,3,3,1.0,
