city,province,country,river,lake,sea
Baton Rouge,Louisiana,USA,Mississippi,,
Long Xuyen,Vietnam,VN,Mekong,,
Rostock,Mecklenburg Vorpommern,D,,,Baltic Sea
Shishou,Hubei,TJ,Jangtse,,
Newport News,Virginia,USA,,,Atlantic Ocean
Zamboanga,Philippines,RP,,,Sulawesi Sea
Chernivtsi,Chernivetska,UA,Pruth,,
Sanya,Hainan,TJ,,,South China Sea
Piraeus,Attiki,GR,,,Mediterranean Sea
Boma,Bas Zaire,ZRE,Zaire,,
New Orleans,Louisiana,USA,Mississippi,,
Pisa,Toscana,I,Arno,,
Koln,Nordrhein Westfalen,D,Rhein,,
Faro,Algarve,P,,,Atlantic Ocean
Alexandria,El Iskandariya,ET,,,Mediterranean Sea
Paramaribo,Suriname,SME,,,Atlantic Ocean
Jersey City,New Jersey,USA,Hudson River,,
Nizhniy Novgorod,Nizhegorodskaya oblast,R,Oka,,
Charlotte Amalie,Virgin Islands,VIRG,,,Caribbean Sea
Tripoli,Libya,LAR,,,Mediterranean Sea
Chita,Chitinskaya oblast,R,Schilka,,
Erie,Pennsylvania,USA,,Lake Erie,
Baku,Azerbaijan,AZ,,Caspian Sea,
Madras,Tamil Nadu,IND,,,Gulf of Bengal
Moroni,Comoros,COM,,,Indian Ocean
Magway,Magway,MYA,Irawaddy,,
Zaporizhzhya,Zaporizka,UA,Dnepr,,
Yosu,South Korea,ROK,,,East China Sea
Dzerzhinsk,Nizhegorodskaya oblast,R,Oka,,
Kampala,Uganda,EAU,,Lake Victoria,
Al Basrah,Al Basrah,IRQ,Schatt al Arab,,
Oslo,Oslo,N,,,Skagerrak
Poole,Dorset,GB,,,The Channel
Luzern,LU,CH,Reuss,Vierwaldstattersee,
Marsa Matruh,Matruh,ET,,,Mediterranean Sea
Balikpapan,Indonesia,RI,,,Sunda Sea
Saint Georges,Grenada,WG,,,Caribbean Sea
Patrai,Dhytiki Ellas,GR,,,Mediterranean Sea
Volos,Thessalia,GR,,,Mediterranean Sea
Steinkjer,Nord Trondelag,N,,,Norwegian Sea
Garoua,Nord,CAM,Benue,,
Puerto Inirida,Guainia,CO,Orinoco,,
Pucallpa,Ucayali,PE,Amazonas,,
Mariestad,Skaraborg,S,,Vaenern,
Akita,Akita,J,,,Sea of Japan
Yibin,Sichuan,TJ,Jangtse,,
Wurzburg,Bayern,D,Main,,
Padang,Indonesia,RI,,,Indian Ocean
Malakal,Aali an Nil,SUD,White Nile,,
Casablanca,Morocco,MA,,,Atlantic Ocean
Kaifeng,Henan,TJ,Hwangho,,
Salerno,Campania,I,,,Mediterranean Sea
Basel,BS,CH,Rhein,,
Santander,Cantabria,E,,,Atlantic Ocean
Oshawa,Ontario,CDN,,Lake Ontario,
Torre del Greco,Campania,I,,,Mediterranean Sea
Arendal,Aust Agder,N,,,Skagerrak
Koblenz,Rheinland Pfalz,D,Mosel,,
Orleans,Centre,F,Loire,,
Marigot,Saint Martin,SMAR,,,Caribbean Sea
Newcastle,New South Wales,AUS,,,Pacific Ocean
Kristiansand,Vest Agder,N,,,Skagerrak
Yinchuan,Ningxia Huizu,TJ,Hwangho,,
Haeju,North Korea,NOK,,,Yellow Sea
Brest,Bretagne,F,,,Atlantic Ocean
Tver,Tverskaya oblast,R,Volga,,
Santo Domingo,Dominican Republic,DOM,,,Caribbean Sea
Sanya,Hainan,TJ,,,South China Sea
Anqing,Anhui,TJ,Jangtse,,
Yaren,Nauru,NAU,,,Pacific Ocean
Sunshine Coast,New South Wales,AUS,,,Pacific Ocean
Sydney,New South Wales,AUS,,,Pacific Ocean
Nizhniy Novgorod,Nizhegorodskaya oblast,R,Oka,,
Grand Turk,Turks and Caicos Islands,TUCA,,,Atlantic Ocean
Detroit,Michigan,USA,Detroit River,,
Rimini,Emilia Romagna,I,,,Mediterranean Sea
Los Angeles,California,USA,,,Pacific Ocean
Kristiansand,Vest Agder,N,,,Skagerrak
Yellowknife,Northwest Territories,CDN,,Great Slave Lake,
Yantai,Shandong,TJ,,,Yellow Sea
El Minya,El Minya,ET,Nile,,
Moss,Oestfold,N,,,Skagerrak
Brisbane,Queensland,AUS,,,Pacific Ocean
Albany,New York,USA,Hudson River,,
Valletta,Malta,M,,,Mediterranean Sea
Namur,Namur,B,Maas,,
Osaka,Osaka,J,,,Pacific Ocean
Port-au-Prince,Haiti,RH,,,Caribbean Sea
Khorramshahr,Khuzestan,IR,Karun,,
Linz,Upper Austria,A,Donau,,
Victoria,Seychelles,SY,,,Indian Ocean
Jakarta,Indonesia,RI,,,Sunda Sea
Long Xuyen,Vietnam,VN,Mekong,,
An Najaf,An Najaf,IRQ,Euphrat,,
Napoli,Campania,I,,,Mediterranean Sea
Budapest,Budapest (munic.),H,Donau,,
Kirkwall,Orkneys,GB,,,North Sea
Wurzburg,Bayern,D,Main,,
ad Damir,ash Shamaliyah,SUD,Nile,,
Kherson,Khersonska,UA,Dnepr,,
Vientiane,Laos,LAO,Mekong,,
Kusong,North Korea,NOK,,,Sea of Japan
Jamnagar,Gujarat,IND,,,Arabian Sea
Yinchuan,Ningxia Huizu,TJ,Hwangho,,
Engels,Saratovskaya oblast,R,Volga,,
Biysk,Altayskiy kray,R,Katun,,
Aarau,AG,CH,Aare,,
Ulm,Baden Wurttemberg,D,Donau,,
Barcelona,Catalonia,E,,,Mediterranean Sea
Sao Luis,Maranhao,BR,,,Atlantic Ocean
Santarem,Santarem,P,Tajo,,
Corrientes,Corrientes,RA,Parana,,
Valparaiso,Chile,RCH,,,Pacific Ocean
Portland,Oregon,USA,Columbia River,,
Malaga,Andalusia,E,,,Mediterranean Sea
Ingolstadt,Bayern,D,Donau,,
Patna,Bihar,IND,Ganges,,
Al Kut,Wasit,IRQ,Tigris,,
Takamatsu,Kagawa,J,,,Pacific Ocean
Pangkal Pinang,Indonesia,RI,,,South China Sea
Chongjin,North Korea,NOK,,,Sea of Japan
Tokyo,Tokyo,J,,,Pacific Ocean
Cleveland,Ohio,USA,,Lake Erie,
Setubal,Setubal,P,,,Atlantic Ocean
Munich,Bayern,D,Isar,,
Libreville,Gabon,G,,,Atlantic Ocean
Hartford,Connecticut,USA,Connecticut River,,
Okhotsk,Magadanskaya oblast,R,,,Sea of Okhotsk
Yingkou,Liaoning,TJ,,,Yellow Sea
Innsbruck,Tyrol,A,Inn,,
Hamburg,Hamburg,D,Elbe,,
El Uqsur,Qena,ET,Nile,,
Kyzyl,Rep. of Tyva,R,Jenissej,,
Schaffhausen,SH,CH,Rhein,,
Brest,Bretagne,F,,,Atlantic Ocean
Cuzco,Cuzco,PE,Amazonas,,
Ciudad Juarez,Chihuahua,MEX,Rio Grande,,
Yueyang,Hunan,TJ,Jangtse,,
Cincinnati,Ohio,USA,Ohio River,,
Vaasa,Vaasa,SF,,,Baltic Sea
Saratov,Saratovskaya oblast,R,Volga,,
Trondheim,Soer Trondelag,N,,,Norwegian Sea
Iraklion,Kriti,GR,,,Mediterranean Sea
Wroclaw,Wroclawskie,PL,Oder,,
Lagos,Nigeria,WAN,,,Atlantic Ocean
Copenhagen,Denmark,DK,,,Baltic Sea
Komsomolsk na Amure,Khabarovskiy kray,R,Amur,,
Myitkyina,Kachin,MYA,Irawaddy,,
Dubai,Dubayy,UAE,,,Persian Gulf
Nassau,Bahamas,BS,,,Atlantic Ocean
Florianopolis,Santa Catarina,BR,,,Atlantic Ocean
Ryazan,Ryazanskaya oblast,R,Oka,,
Vila Velha,Espirito Santo,BR,,,Atlantic Ocean
Ryazan,Ryazanskaya oblast,R,Oka,,
Comodoro Rivadavia,Chubut,RA,,,Atlantic Ocean
Okayama,Okayama,J,,,Pacific Ocean
Cartagena,Murcia,E,,,Mediterranean Sea
Dover,Kent,GB,,,The Channel
Garoua,Nord,CAM,Benue,,
Chesapeake,Virginia,USA,,,Atlantic Ocean
Szczecin,Szczecinskie,PL,Oder,,
Puntarenas,Puntarenas,CR,,,Pacific Ocean
Albany,Western Australia,AUS,,,Indian Ocean
Lubeck,Schleswig Holstein,D,,,Baltic Sea
Banda Aceh,Indonesia,RI,,,Indian Ocean
Durres,Albania,AL,,,Mediterranean Sea
Mannheim,Baden Wurttemberg,D,Neckar,,
Paramaribo,Suriname,SME,,,Atlantic Ocean
Darwin,Northern Territory,AUS,,,Indian Ocean
Nantong,Jiangsu,TJ,Jangtse,,
Moss,Oestfold,N,,,Skagerrak
Tarawa,Kiribati,KIR,,,Pacific Ocean
Ulm,Baden Wurttemberg,D,Donau,,
Lappeenrenta,Kymi,SF,,Saimaa,
Krefeld,Nordrhein Westfalen,D,Rhein,,
London,Greater London,GB,Thames,,
Esbjerg,Denmark,DK,,,North Sea
Baghdad,Baghdad,IRQ,Tigris,,
Changzhou,Jiangsu,TJ,Jangtse,,
Rome,Lazio,I,Tiber,,
Bandundu,Bandundu,ZRE,Kwa,,
Tripoli,Libya,LAR,,,Mediterranean Sea
Nukualofa,Tonga,TO,,,Pacific Ocean
