name,country,population,area,capital,capprov
Torunskie,PL,662600,5348.0,Torun,Torunskie
Mauritania,RIM,2336048,,Nouakchott,Mauritania
Kuwait,KWT,1950047,,Kuwait,Kuwait
Aswan,ET,883000,679.0,Aswan,Aswan
Nord extreme,CAM,1855700,34246.0,Maroua,Nord extreme
Ciego de Avila,C,353000,6910.0,Ciego de Avila,Ciego de Avila
New Caledonia,NCA,227436,,Noumea,New Caledonia
Karachayevo Cherkessk Rep.,R,436300,14100.0,Cherkessk,Karachayevo Cherkessk Rep.
ZG,CH,92392,238.0,Zug,ZG
Jeleniogorskie,PL,519200,4379.0,Jelenia Gora,Jeleniogorskie
Sohag,ET,2689000,1547.0,Sohag,Sohag
Cluj,RO,743000,6650.0,Cluj Napoca,Cluj
Gifu,J,2100315,10596.0,Gifu,Gifu
Vale of Glamorgan,GB,119200,337.0,Barry,Vale of Glamorgan
Andaman and Nicobar Is.,IND,280661,8249.0,Port Blair,Andaman and Nicobar Is.
Niigata,J,2488364,12579.0,Niigata,Niigata
Fukui,J,826996,4192.0,Fukui,Fukui
Distr. Columbia,USA,528964,179.0,Washington,Distr. Columbia
Vestfold,N,191600,,Toensberg,Vestfold
Essex,GB,1548800,3672.0,Chelmsford,Essex
San Andres y Providencia,CO,35818,44.0,San Andres,San Andres y Providencia
Mecklenburg Vorpommern,D,1832298,23170.0,Schwerin,Mecklenburg Vorpommern
Kiribati,KIR,80919,,Tarawa,Kiribati
Maharashtra,IND,78937187,307713.0,Bombay,Maharashtra
Erzurum,TR,848201,25066.0,Erzurum,Erzurum
Canary Islands,E,1534897,7447.0,Santa Cruz de Tenerife,Canary Islands
Vanuatu,VU,177504,,Port-Vila,Vanuatu
Kafr el Sheikh,ET,1968000,3437.0,Kafr el Sheikh,Kafr el Sheikh
Vaslui,RO,468000,5297.0,Vaslui,Vaslui
New South Wales,AUS,6115100,801428.0,Sydney,New South Wales
Heredia,CR,256726,2656.0,Heredia,Heredia
Basilicata,I,611000,9992.0,Potenza,Basilicata
Sakhalinskaya oblast,R,647800,87100.0,Yuzhno Sakhalinsk,Sakhalinskaya oblast
Mendoza,RA,1412481,148827.0,Mendoza,Mendoza
Kyrgyzstan,KGZ,4529648,,Bishkek,Kyrgyzstan
Tete,MOC,734600,100724.0,Tete,Tete
Hertfordshire,GB,989500,1634.0,Hertford,Hertfordshire
Nowosadeckie,PL,709500,5576.0,Nowy Sacz,Nowosadeckie
El Buhayra,ET,3602000,10130.0,Damanhur,El Buhayra
Lothian,GB,758600,1770.0,Edinburgh,Lothian
Samarskaya oblast,R,3311500,53600.0,Samara,Samarskaya oblast
Huambo,ANG,1524000,34274.0,Huambo,Huambo
Abu Dhabi,UAE,670000,67350.0,,
Chernihivska,UA,938600,31900.0,Chernihiv,Chernihivska
Thuringen,D,2517776,16171.0,Erfurt,Thuringen
VS,CH,271291,5224.0,Sion,VS
Thailand,THA,58851357,,Bangkok,Thailand
Albania,AL,3249136,,Tirane,Albania
Kochi,J,816704,7107.0,Kochi,Kochi
Zhezkazghan,KAZ,484400,312600.0,Zhezkazghan,Zhezkazghan
San Luis,RA,286458,76748.0,San Luis,San Luis
Alsace,F,1624000,8280.0,Strasbourg,Alsace
Libya,LAR,5445436,,Tripoli,Libya
Panama,PA,1168500,11887.0,Panama City,Panama
Morogoro,EAT,1222700,70799.0,Morogoro,Morogoro
Chiriqui,PA,396800,8653.0,David,Chiriqui
Heilongjiang,TJ,36720000,469000.0,Harbin,Heilongjiang
La Pampa,RA,259996,143440.0,Santa Rosa,La Pampa
Rep. of Tatarstan,R,3760500,68000.0,Kazan,Rep. of Tatarstan
Brunei,BRU,299939,,Bandar Seri Begawan,Brunei
Lakshadweep Is.,IND,51707,32.0,Kavaratti,Lakshadweep Is.
Veszprem,H,378300,4689.0,Veszprem,Veszprem
OW,CH,31310,490.0,Sarnen,OW
Singida,EAT,791800,49341.0,Singida,Singida
Timis,RO,726000,8692.0,Timisoara,Timis
Ningxia Huizu,TJ,5040000,66400.0,Yinchuan,Ningxia Huizu
"Guajira, La",CO,299995,20848.0,Riohacha,"Guajira, La"
West Midlands,GB,2619000,899.0,Birmingham,West Midlands
Junin,PE,1132448,44409.0,Huancayo,Junin
Dominica,WD,82926,,Roseau,Dominica
Shanxi,TJ,30450000,156000.0,Taiyuan,Shanxi
Southern,Z,906900,85283.0,Livingstone,Southern
Hajdu Bihar,H,549700,6212.0,Debrecen,Debrecen (munic.)
Monaco,MC,31719,,Monaco,Monaco
BS,CH,195759,37.0,Basel,BS
British Columbia,CDN,3724500,948596.0,Victoria,British Columbia
Tekirdag,TR,468842,6218.0,Tekirdag,Tekirdag
South Korea,ROK,45482291,,Seoul,South Korea
Somogy,H,340000,6035.0,Kaposvar,Somogy
North Yorkshire,GB,720900,8309.0,Northallerton,North Yorkshire
Ucayali,PE,364596,102410.0,Pucallpa,Ucayali
Eskisehir,TR,641057,13652.0,Eskisehir,Eskisehir
Bekes,H,404000,5632.0,Bekescaba,Bekes
Dorset,GB,662900,2654.0,Dorchester,Dorset
Rio de Janeiro,BR,13316455,43909.0,Rio de Janeiro,Rio de Janeiro
Rajasthan,IND,44005990,342239.0,Jaipur,Rajasthan
Devon,GB,1040000,6711.0,Exeter,Devon
Salah ad Din,IRQ,723500,26175.0,Samarra,Salah ad Din
Risaralda,CO,652872,4140.0,Pereira,Risaralda
Ireland,IRL,3566833,,Dublin,Ireland
Bahamas,BS,259367,,Nassau,Bahamas
Grampian,GB,532500,8752.0,Aberdeen,Grampian
Bolivia,BOL,7165257,,La Paz,Bolivia
Norrbotten,S,264834,98913.0,Lulea,Norrbotten
Zimbabwe,ZW,11271314,,Harare,Zimbabwe
Washington,USA,5610362,176479.0,Olympia,Washington
Voreion Aiyaion,GR,189541,3836.0,Mytilini,Voreion Aiyaion
Arbil,IRQ,742538,14471.0,Arbil,Arbil
Bayern,D,11921944,70546.0,Munich,Bayern
Constanta,RO,737000,7055.0,Constanta,Constanta
Szolnok,H,420900,5608.0,Szolnok,Szolnok
Berlin,D,3472009,889.0,Berlin,Berlin
al Istiwaiyah,SUD,1406181,197969.0,Juba,al Istiwaiyah
Cornwall,GB,475200,3564.0,Truro,Cornwall
Lambayeque,PE,1009655,14231.0,Chiclayo,Lambayeque
Pohjols-Karjala,SF,177000,,Joensuu,Pohjols-Karjala
Equatorial Guinea,GQ,431282,,Malabo,Equatorial Guinea
