sea,country,province
Arabian Sea,IND,Goa
Gulf of Oman,IR,Hormozgan
Gulf of Mexico,USA,Florida
Kattegat,S,Halland
Indian Ocean,AUS,Western Australia
Sea of Japan,R,Primorsky kray
Pacific Ocean,KIR,Kiribati
Pacific Ocean,R,Kamchatskaya oblast
Pacific Ocean,PE,Arequipa
Indian Ocean,RSA,Eastern Cape
Atlantic Ocean,USA,Georgia
North Sea,NL,Friesland
Atlantic Ocean,BR,Amapa
Atlantic Ocean,NA,Netherlands Antilles
Norwegian Sea,IS,Iceland
Atlantic Ocean,E,Canary Islands
Indian Ocean,MOC,Maputo
Pacific Ocean,GCA,Guatemala
Indian Ocean,RI,Indonesia
Atlantic Ocean,CI,Cote dIvoire
Caribbean Sea,ARU,Aruba
Atlantic Ocean,BEN,Benin
South China Sea,MAL,Sabah
Yellow Sea,TJ,Liaoning
Sea of Japan,J,Akita
Indian Ocean,MAYO,Mayotte
Pacific Ocean,NORF,Norfolk Island
Baltic Sea,S,Ostergotland
North Sea,NL,Groningen
East China Sea,J,Kumamoto
Atlantic Ocean,RG,Guinea
North Sea,GB,Shetland
Pacific Ocean,MEX,Michoacan
Gulf of Mexico,USA,Louisiana
Atlantic Ocean,USA,South Carolina
Atlantic Ocean,SN,Ziguinchor
Pacific Ocean,PE,Ancash
Atlantic Ocean,GB,Cornwall
Pacific Ocean,RP,Philippines
Caribbean Sea,YV,Sucre
North Sea,DK,Denmark
Gulf of Bengal,MYA,Ayeyarwady
Baltic Sea,PL,Slupskie
Pacific Ocean,PE,Ica
Gulf of Bengal,IND,Andhra Pradesh
Indian Ocean,YE,Yemen
Pacific Ocean,J,Kagoshima
Atlantic Ocean,E,Galicia
Mediterranean Sea,TR,Aydin
Andaman Sea,MYA,Bago
Red Sea,JOR,Jordan
Mediterranean Sea,TR,Izmir
Atlantic Ocean,P,Lisbon
Caribbean Sea,GCA,Guatemala
Pacific Ocean,AUS,Tasmania
Andaman Sea,MYA,Mon
Indian Ocean,IND,Tamil Nadu
Baltic Sea,S,Sodermanland
Atlantic Ocean,F,Poitou Charentes
Atlantic Ocean,CDN,New Brunswick
Atlantic Ocean,WAG,Gambia
Pacific Ocean,ES,El Salvador
Baltic Sea,S,Kristianstad
Pacific Ocean,HCA,Choluteca
Pacific Ocean,R,Sakhalinskaya oblast
Mediterranean Sea,GR,Sterea Ellas
Atlantic Ocean,ANG,Luanda
South China Sea,HONX,Hong Kong
Gulf of Mexico,C,Pinar del Rio
Mediterranean Sea,ET,Ismailiya
Caribbean Sea,CO,Magdalena
Mediterranean Sea,AL,Albania
Caribbean Sea,CO,Choco
Pacific Ocean,WS,Samoa
Baltic Sea,SF,Turku-Pori
Caribbean Sea,C,Pinar del Rio
Indian Ocean,COCO,Cocos Islands
Mediterranean Sea,IL,North
Mediterranean Sea,TR,Balikesir
The Channel,GBJ,Jersey
Atlantic Ocean,WSA,Western Sahara
Caribbean Sea,PA,Colon
Atlantic Ocean,ANG,Namibe
North Sea,GB,Tyne and Wear
Caribbean Sea,YV,Distrito Federal
Pacific Ocean,USA,Hawaii
Pacific Ocean,PE,Lima
Pacific Ocean,VU,Vanuatu
Baltic Sea,DK,Denmark
Baltic Sea,PL,Elblaskie
Norwegian Sea,N,Nord Trondelag
Pacific Ocean,PITC,Pitcairn Islands
Black Sea,UA,Krym
Arabian Sea,PK,Pakistan
Atlantic Ocean,CDN,Northwest Territories
Malakka Strait,MAL,Kedah
Gulf of Mexico,USA,Mississippi
Red Sea,SA,Saudi Arabia
Caribbean Sea,WV,Saint Vincent and the Grenadines
North Sea,GB,Suffolk
Caribbean Sea,CR,Limon
Indian Ocean,RM,Antananarivo
Irish Sea,GB,Swansea
Red Sea,DJI,Djibouti
East China Sea,J,Okinawa
Atlantic Ocean,SN,Thies
Red Sea,YE,Yemen
Atlantic Ocean,PR,Puerto Rico
Malakka Strait,SGP,Singapore
Sibirian Sea,R,Krasnoyarskiy kray
Pacific Ocean,MEX,Baja California
Atlantic Ocean,BR,Sao Paulo
Arctic Ocean,USA,Alaska
Kattegat,S,Goteborg och Bohus
Caribbean Sea,CAYM,Cayman Islands
Persian Gulf,IR,Bushehr
Sulawesi Sea,RI,Indonesia
Caribbean Sea,YV,Falcon
Atlantic Ocean,BR,Para
Sibirian Sea,R,Magadanskaya oblast
Atlantic Ocean,GB,Outer Hebrides
Baltic Sea,S,Norrbotten
Norwegian Sea,N,Finnmark
Arctic Ocean,R,Magadanskaya oblast
Baltic Sea,R,Kaliningradskaya oblast
Indian Ocean,AUS,New South Wales
Atlantic Ocean,P,Leiria
Norwegian Sea,N,Sogn og Fjordane
North Sea,N,Hordaland
East China Sea,J,Kagoshima
Atlantic Ocean,E,Basque Country
Andaman Sea,THA,Thailand
North Sea,GB,Humberside
Persian Gulf,IR,Khuzestan
Red Sea,ER,Eritrea
Persian Gulf,UAE,Ajman
Mediterranean Sea,GR,Dhytiki Ellas
Atlantic Ocean,P,Setubal
Baltic Sea,SF,Lappia
Baltic Sea,PL,Szczecinskie
Baltic Sea,R,Sankt Peterburg
South China Sea,BRU,Brunei
Irish Sea,GB,Lancashire
Baltic Sea,SF,Uusimaa
Caribbean Sea,CO,Sucre
Pacific Ocean,EC,Ecuador
South China Sea,TJ,Guangdong
Caribbean Sea,CO,Atlantico
Indian Ocean,MOC,Sofala
Malakka Strait,MAL,Johor
Indian Ocean,PK,Pakistan
Irish Sea,GB,Northern Ireland
Pacific Ocean,NAU,Nauru
Sibirian Sea,R,Tyumenskaya oblast
Mediterranean Sea,ET,Matruh
Pacific Ocean,MEX,Colima
Caribbean Sea,PR,Puerto Rico
Indian Ocean,RM,Fianarantsoa
North Sea,GB,Essex
Gulf of Oman,UAE,Al Fujayrah
Atlantic Ocean,RA,Rio Negro
Atlantic Ocean,CDN,Prince Edward Island
Atlantic Ocean,MNTS,Montserrat
Baltic Sea,LT,Lithuania
Mediterranean Sea,I,Campania
Indian Ocean,EAT,Mtwara
North Sea,B,West Flanders
Mediterranean Sea,I,Sicilia
Black Sea,RO,Tulcea
Indian Ocean,EAT,Pwani
Pacific Ocean,AMSA,American Samoa
Mediterranean Sea,GR,Kedriki Makedhonia
Mediterranean Sea,LAR,Libya
