country,name,percentage
RMM,Christian,1.0
GNB,Christian,5.0
DK,Roman Catholic,2.0
TUCA,Baptist,40.0
ETH,Christian Orthodox,35.0
GUY,Hindu,33.0
MART,Hindu,5.0
RG,Muslim,85.0
L,Roman Catholic,97.0
AFG,Muslim,99.0
IND,Buddhist,0.7
RI,Buddhist,1.0
CY,Muslim,18.0
BEN,Christian,15.0
PNG,Presbyterian,8.0
TUCA,Church of God,12.0
VIRG,Roman Catholic,34.0
TUV,Church Tuvalu,97.0
MYA,Muslim,4.0
BG,Jewish,0.8
F,Roman Catholic,90.0
BVIR,Protestant,86.0
KAZ,Christian Orthodox,44.0
VU,Roman Catholic,15.0
TUV,Seventh-Day Adventist,1.4
MA,Jewish,0.2
TT,Muslim,6.0
FGU,Roman Catholic,100.0
DZ,Christian,0.5
TAD,Muslim,85.0
CY,Christian Orthodox,78.0
EAK,Protestant,38.0
IR,Muslim,99.0
BERM,Roman Catholic,15.0
SRB,Christian Orthodox,85.0
MW,Roman Catholic,20.0
NIUE,Ekalesia Niue,61.0
IRQ,Christian,3.0
DJI,Muslim,94.0
I,Roman Catholic,98.0
MK,Christian Orthodox,67.0
SK,Roman Catholic,60.3
HONX,Christian,10.0
NEP,Hindu,90.0
ZW,Christian,25.0
MC,Roman Catholic,95.0
AZ,Muslim,93.4
TL,Roman Catholic,98.0
ROK,Confucianism,3.0
GNB,Muslim,30.0
MNG,Muslim,4.0
ZRE,Roman Catholic,50.0
CZ,Roman Catholic,39.2
USA,Protestant,56.0
ROK,Christian,48.6
MACX,Buddhist,45.0
AND,Roman Catholic,100.0
M,Roman Catholic,98.0
THA,Hindu,0.1
CI,Christian,12.0
BZ,Protestant,30.0
IS,Roman Catholic,3.0
MART,Roman Catholic,95.0
WAN,Muslim,50.0
RI,Protestant,6.0
COCO,Muslim,80.0
HR,Christian Orthodox,11.1
NZ,Methodist,5.0
ARU,Roman Catholic,80.8
BS,Anglican,20.0
NL,Roman Catholic,34.0
G,Christian,55.0
PA,Roman Catholic,85.0
E,Roman Catholic,99.0
RCH,Protestant,11.0
PA,Protestant,15.0
BZ,Roman Catholic,62.0
TM,Muslim,87.0
BS,Baptist,32.0
ROK,Buddhist,47.4
TUCA,Anglican,18.0
RMM,Muslim,90.0
J,Buddhist,84.0
RP,Buddhist,3.0
BS,Church of God,6.0
ROK,Chondogyo,0.2
WL,Roman Catholic,90.0
PE,Roman Catholic,100.0
Z,Muslim,1.0
N,Roman Catholic,1.0
NIUE,Mormon,10.0
SY,Roman Catholic,90.0
BD,Muslim,83.0
PNG,Seventh-Day Adventist,1.0
USA,Jewish,2.0
DZ,Muslim,99.0
NZ,Roman Catholic,15.0
TUV,Bahai,1.0
IRL,Anglican,3.0
RP,Roman Catholic,83.0
A,Roman Catholic,85.0
BS,Protestant,12.0
BD,Hindu,16.0
MEX,Roman Catholic,89.0
THA,Buddhist,95.0
AMSA,Christian Congregationalist,50.0
NZ,Protestant,3.0
VU,Seventh-Day Adventist,6.2
WAG,Muslim,90.0
LB,Christian,10.0
NIC,Roman Catholic,95.0
CL,Muslim,8.0
SF,Protestant,89.0
KIR,Roman Catholic,52.6
N,Protestant,87.8
F,Jewish,1.0
JOR,Christian,8.0
RA,Jewish,2.0
EAU,Roman Catholic,33.0
MS,Christian,28.3
AXA,Anglican,29.0
CAM,Christian,33.0
FPOL,Protestant,54.0
GBZ,Jewish,2.0
BY,Christian Orthodox,60.0
RCA,Roman Catholic,25.0
PR,Roman Catholic,85.0
GE,Christian Orthodox,75.0
NZ,Presbyterian,18.0
DOM,Roman Catholic,95.0
TCH,Muslim,50.0
WD,Protestant,15.0
RP,Protestant,9.0
GE,Armenian Apostolic,8.0
FSM,Protestant,47.0
BERM,Anglican,23.0
KIR,Mormon,6.0
TCH,Christian,25.0
FJI,Christian,52.0
TL,Muslim,1.0
BR,Roman Catholic,70.0
BG,Christian Orthodox,85.0
ARU,Protestant,9.0
RI,Hindu,2.0
CAYM,Roman Catholic,11.0
THA,Christian,0.5
EAK,Roman Catholic,28.0
BF,Christian,10.0
NCA,Protestant,30.0
RB,Christian,50.0
RCB,Christian,50.0
JA,Roman Catholic,5.0
MACX,Protestant,1.0
IRL,Roman Catholic,93.0
SPMI,Roman Catholic,99.0
WAG,Christian,9.0
PR,Protestant,15.0
BS,Methodist,6.0
NL,Protestant,25.0
ET,Muslim,94.0
WEST,Jewish,17.0
L,Jewish,3.0
F,Protestant,2.0
ROU,Roman Catholic,66.0
RH,Roman Catholic,80.0
HR,Muslim,1.2
NEP,Muslim,3.0
SK,Christian Orthodox,4.1
GE,Muslim,11.0
EC,Roman Catholic,95.0
FSM,Roman Catholic,50.0
KAZ,Protestant,2.0
