desert,country,province
Great Victoria Desert,AUS,South Australia
Erg Ouarane,RIM,Mauritania
Libyan Desert,SUD,ash Shamaliyah
Azaouad,DZ,Algeria
Erg Isaouane,DZ,Algeria
Ust Urt,KAZ,Mangghystau
Sonora,MEX,Sonora
Nefud,SA,Saudi Arabia
Thar,PK,Pakistan
Dascht-e-Kavir,IR,Khorasan
Tenere,RN,Niger
Trarza,RIM,Mauritania
Rub Al Chali,UAE,Ras al Khaymah
Mojave,USA,Utah
Kalahari,ANG,Cuando Cubango
Rub Al Chali,UAE,Al Fujayrah
Libyan Desert,LAR,Libya
Libyan Desert,ET,El Wadi el Jadid
Mojave,USA,California
Great Sandy Desert,AUS,Western Australia
Sonora,USA,Arizona
Nullarbor Plain,AUS,Western Australia
Ordos,TJ,Ningxia Huizu
Ust Urt,KAZ,Aqtobe
Rub Al Chali,OM,Oman
Azaouad,RN,Niger
Dascht-e-Kavir,IR,Semnan
Dascht-e-Lut,IR,Yazd
Rub Al Chali,SA,Saudi Arabia
Syrian Desert,IRQ,Al Anbar
Simpson Desert,AUS,South Australia
Ordos,TJ,Nei Monggol
Simpson Desert,AUS,Northern Territory
Kalahari,NAM,Namibia
Simpson Desert,AUS,Queensland
Erg Igidi,RIM,Mauritania
Mojave,USA,Arizona
Mujunkum,KAZ,Qyzylorda
Ryn,KAZ,Batys Qazaqstan
Owyhee,USA,Oregon
Syrian Desert,JOR,Jordan
Talak,RN,Niger
Hamada du Draa,DZ,Algeria
Erg Chech,RMM,Mali
Colorado Plateau,USA,Utah
Great Salt Lake Desert,USA,Utah
Hamada al-Hamra,LAR,Libya
Syrian Desert,SYR,Syria
Kysylkum,KAZ,Qyzylorda
Gibson Desert,AUS,Western Australia
Thar,IND,Punjab
Ryn,KAZ,Atyrau
Gobi,TJ,Gansu
Libyan Desert,ET,El Minya
Kysylkum,UZB,Samarqand
Ryn,R,Rep. of Kalmykiya
Ust Urt,UZB,Qaraqalpoghiston
Kalahari,Z,Southern
Thar,IND,Rajasthan
Kalahari,RSA,North West
Dascht-e-Kavir,IR,Yazd
Grand Erg Ouest,DZ,Algeria
Colorado Plateau,USA,Arizona
Chihuahua,USA,Texas
Dascht-e-Lut,IR,Esfahan
Sonora,MEX,Chihuahua
Erg Igidi,DZ,Algeria
Gurbantunggut,TJ,Xinjiang Uygur
Ryn,R,Astrakhanskaya oblast
Tanezrouft,DZ,Algeria
Hamada du Draa,MA,Morocco
Erdi Ennedi,TCH,Chad
Kum Tagh,TJ,Xinjiang Uygur
Djourab,TCH,Chad
Qaidam,TJ,Qinghai
Red Centre,AUS,Northern Territory
Gobi,TJ,Ningxia Huizu
Karakum,TM,Leban
Great Basin,USA,Nevada
Nullarbor Plain,AUS,South Australia
Kalahari,ANG,Moxico
Chihuahua,USA,New Mexico
Rub Al Chali,UAE,Ash Shariqah
Ferlo,SN,Louga
Kalahari,RB,Botswana
Sonora,USA,California
Tanami,AUS,Northern Territory
Rub Al Chali,UAE,Umm al Qaywayn
Darfur,SUD,Darfur
Tenere,TCH,Chad
Libyan Desert,ET,Beni Suef
Great Victoria Desert,AUS,Western Australia
Libyan Desert,ET,Matruh
Libyan Desert,SUD,Darfur
Thar,IND,Haryana
Rub Al Chali,UAE,Dubayy
Atacama,RCH,Chile
Owyhee,USA,Idaho
Gobi,MNG,Mongolia
Dascht-e-Margoh,AFG,Afghanistan
Arabian Desert,ET,El Bahr el Ahmar
Tanezrouft,RMM,Mali
Karakum,TM,Mary
Dascht-e-Kavir,IR,Tehran
Karakum,TM,Ahal
Grand Erg Est,DZ,Algeria
Dascht-e-Kavir,IR,Esfahan
Syrian Desert,SA,Saudi Arabia
Karakum,UZB,Qaraqalpoghiston
Karakum,TM,Balkan
TaklaMakan,TJ,Xinjiang Uygur
Negev,IL,South
Gobi,TJ,Nei Monggol
Rigestan,AFG,Afghanistan
Saguia el-Hamra,WSA,Western Sahara
Red Centre,AUS,South Australia
Fesan,LAR,Libya
Dascht-e-Lut,IR,Sistan e Baluchestan
Erg Chech,DZ,Algeria
Colorado Plateau,USA,Colorado
Karakum,UZB,Samarqand
Dascht-e-Lut,IR,Kerman
Mujunkum,KAZ,Zhambyl
Rub Al Chali,YE,Yemen
Dascht-e-Lut,IR,Khorasan
Mojave,USA,Nevada
Red Centre,AUS,Western Australia
Great Basin,USA,Utah
Ferlo,SN,Tambacounda
Sturt Desert,AUS,Queensland
Rub Al Chali,UAE,Abu Dhabi
Ordos,TJ,Shaanxi
Owyhee,USA,Nevada
Nubian Desert,SUD,ash Sharqiyah
Rigestan,PK,Pakistan
Great Basin,USA,California
Colorado Plateau,USA,New Mexico
Erg Maqteir,RIM,Mauritania
Erg Igidi,RMM,Mali
Chihuahua,USA,Arizona
Sturt Desert,AUS,Northern Territory
