island,country,province
Ellesmere Island,CDN,Northwest Territories
West Falkland,FALK,Falkland Islands
Great Britain,GB,Gloucestershire
Great Britain,GB,Grampian
Ambon,RI,Indonesia
Tasmania,AUS,Tasmania
Savaii,WS,Samoa
Male,MV,Maldives
Kauai,USA,Hawaii
Grand Cayman,CAYM,Cayman Islands
Bohol,RP,Philippines
Great Britain,GB,Central
Great Britain,GB,Cardiff
Terceira,P,Azores
Rarotonga,COOK,Cook Islands
Sachalin,R,Sakhalinskaya oblast
Great Britain,GB,Derbyshire
Madagaskar,RM,Toliara
Honshu,J,Aichi
Juist,D,Niedersachsen
Tutuila,AMSA,American Samoa
Sardegna,I,Sardegna
Khark,IR,Fars
Shikoku,J,Kochi
Kyushu,J,Miyazaki
Pico,P,Azores
Taiwan,RC,Taiwan
Lanai,USA,Hawaii
Lundy,GB,Devon
Fuerteventura,E,Canary Islands
Miquelon-Langlade,SPMI,Saint Pierre and Miquelon
Honshu,J,Akita
Great Britain,GB,Berkshire
Honshu,J,Chiba
Great Britain,GB,Borders
Tongatapu,TO,Tonga
Hainan,TJ,Hainan
Mohilla,COM,Comoros
Isla da Ometepe,NIC,Nicaragua
Grand Turk,TUCA,Turks and Caicos Islands
Prince of Wales Island,CDN,Northwest Territories
Grande-Terre,GUAD,Guadeloupe
Kavaratti,IND,Lakshadweep Is.
Benbecula,GB,Outer Hebrides
Great Britain,GB,Northumberland
Great Britain,GB,Monmouthshire
Westray,GB,Orkneys
Saint Pierre,SPMI,Saint Pierre and Miquelon
New Guinea,PNG,Papua New Guinea
Great Britain,GB,Buckinghamshire
Isle of Wight,GB,Isle of Wight
Cyprus,CY,Cyprus
Corse,F,Corse
Spiekeroog,D,Niedersachsen
Great Britain,GB,Greater London
Great Britain,GB,Bridgend
Saipan,NMIS,Northern Mariana Islands
Flores,P,Azores
Great Britain,GB,Neath and Port Talbot
Honshu,J,Wakayama
Madagaskar,RM,Antsiranana
Cuba,C,Ciego de Avila
Futuna,WAFU,Wallis and Futuna
Honshu,J,Hyogo
Great Britain,GB,Leicestershire
Korfu,GR,Ionioi Nisoi
Great Britain,GB,Cambridgeshire
Kyushu,J,Kagoshima
Madagaskar,RM,Mahajanga
Principe,STP,Sao Tome and Principe
Tahiti,FPOL,French Polynesia
Great Britain,GB,Essex
Isle of Man,GBM,Man
Hispaniola,DOM,Dominican Republic
Sao Jorge,P,Azores
Puerto Rico,PR,Puerto Rico
Curacao,NA,Netherlands Antilles
Great Britain,GB,Northamptonshire
Kyushu,J,Kumamoto
Great Britain,GB,Aberconwy and Colwyn
Great Britain,GB,Vale of Glamorgan
Cuba,C,Sancti Spiritus
Norderney,D,Niedersachsen
New Guinea,RI,Indonesia
La Palma,E,Canary Islands
Negros,RP,Philippines
Lombok,RI,Indonesia
Lanzarote,E,Canary Islands
Samosir,RI,Indonesia
Jamaica,JA,Jamaica
Sansibar,EAT,Mjini Magharibi
Krakatau,RI,Indonesia
Honshu,J,Shiga
Great Britain,GB,Cheshire
Rugen,D,Mecklenburg Vorpommern
Alicudi,I,Calabria
Barbados,BDS,Barbados
Honshu,J,Osaka
Fongafale,TUV,Tuvalu
Mahe,SY,Seychelles
Usedom,D,Mecklenburg Vorpommern
