mountain,country,province
Mt Redoubt,USA,Alaska
Asahi-Dake,J,Hokkaido
Pik Pobeda,TJ,Xinjiang Uygur
Tahan,MAL,Pahang
Tsiafajavona,RM,Antananarivo
Monte Rosa,I,Lombardia
Gasherbrum II,TJ,Xinjiang Uygur
Mt Columbia,CDN,Alberta
Puy de Sancy,F,Auvergne
Nanda Devi,IND,Uttar Pradesh
Huascaran,PE,Ancash
Clingmans Dome,USA,Tennessee
Gunung Binaiya,RI,Indonesia
Sulitjelma,S,Norrbotten
Humphreys Peak,USA,Arizona
Granite Peak,USA,Montana
Piz Bernina,CH,GR
Kailash,TJ,Tibet
Ojos del Salado,RA,Tucuman
Moldoveanu,RO,Arges
Grand Ballon,F,Alsace
Kangchendzonga,IND,Sikkim
Sarektjokko,S,Norrbotten
Queen Marys Peak,HELX,Saint Helena
Llullaillaco,RCH,Chile
Vignemale,F,Midi Pyrenees
Narodnaja,R,Rep. of Komi
Tatamailau,TL,Timor-Leste
Mt. Balbi,PNG,Papua New Guinea
Portefjaellen,S,Norrbotten
Mt Bona,CDN,Saskatchewan
Moncayo,E,Aragon
Popocatepetl,MEX,Morelos
Mt McKinley,USA,Alaska
Tamgak,RN,Niger
Damavand,IR,Mazandaran
Mount Everest,NEP,Nepal
Dodabetta,IND,Tamil Nadu
Finsteraarhorn,CH,VS
Torre de Cerredo,E,Castile and Leon
Mont Orohena,FPOL,French Polynesia
Makalu,NEP,Nepal
Pik Lenina,TAD,Badakhshoni Kuni
Popocatepetl,MEX,"Mexico, Estado de"
Licancabur,RCH,Chile
Elbrus,R,Kabardino Balkar Rep.
Nevado del Ruiz,CO,Risaralda
Finsteraarhorn,CH,BE
GrandCombin,CH,VS
Illampu,BOL,Bolivia
Mantalingajan,RP,Philippines
Nevado del Huila,CO,Huila
Kinabalu,MAL,Sabah
Pico de Sao Tome,STP,Sao Tome and Principe
Ruapehu,NZ,New Zealand
Yu Shan,RC,Taiwan
GranParadiso,I,Piemonte
Pico Turquino,C,Granma
K2,TJ,Xinjiang Uygur
Pico de los Nieves,E,Canary Islands
Borah Peak,USA,Idaho
Concepcion,NIC,Nicaragua
Shishapangma,TJ,Tibet
Mt Adams,USA,Washington
Monte Rosa,CH,VS
Pico Bolivar,YV,Merida
Etna,I,Sicilia
Monte Pissis,RA,Tucuman
