city,province,country,island
London,Greater London,GB,Great Britain
Port Louis,Mauritius,MS,Mauritius
Oita,Oita,J,Kyushu
Hsintien,Taiwan,RC,Taiwan
Nagoya,Aichi,J,Honshu
Basingstoke,Hampshire,GB,Great Britain
Antsiranana,Antsiranana,RM,Madagaskar
Tegal,Indonesia,RI,Java
Papeete,French Polynesia,FPOL,Tahiti
Stroud,Gloucestershire,GB,Great Britain
Kota Kinabalu,Sabah,MAL,Borneo
Keflavik,Iceland,IS,Iceland
Manchester,Greater Manchester,GB,Great Britain
Fukuoka,Fukuoka,J,Kyushu
Taunton,Somerset,GB,Great Britain
Praia,Cape Verde,CV,Santiago
Rhondda,Rhondda Cynon Taff,GB,Great Britain
Basseterre,Saint Kitts and Nevis,KN,Saint Kitts
Balikpapan,Indonesia,RI,Borneo
Trafford,Greater Manchester,GB,Great Britain
Fengyuan,Taiwan,RC,Taiwan
Torshavn,Faroe Islands,FARX,Streymoy
Antsirabe,Antananarivo,RM,Madagaskar
Hafnarfjoerdur,Iceland,IS,Iceland
Hull,Humberside,GB,Great Britain
Salford,Greater Manchester,GB,Great Britain
Singapore,Singapore,SGP,Singapore
Chester,Cheshire,GB,Great Britain
Portsmouth,Hampshire,GB,Great Britain
Cheltenham,Gloucestershire,GB,Great Britain
Jamestown,Saint Helena,HELX,Saint Helena
Tokyo,Tokyo,J,Honshu
Otsu,Shiga,J,Honshu
Wigan,Greater Manchester,GB,Great Britain
Antananarivo,Antananarivo,RM,Madagaskar
Bridgend,Bridgend,GB,Great Britain
Edinburgh,Lothian,GB,Great Britain
Agana,Guam,GUAM,Guam
Kingston,Jamaica,JA,Jamaica
Tanjung Balai,Indonesia,RI,Sumatra
Blitar,Indonesia,RI,Java
Wycombe,Buckinghamshire,GB,Great Britain
Cagliari,Sardegna,I,Sardegna
Plymouth,Montserrat,MNTS,Montserrat
Takamatsu,Kagawa,J,Shikoku
Glenrothes,Fife,GB,Great Britain
Dover,Kent,GB,Great Britain
Plymouth,Devon,GB,Great Britain
Lewes,East Sussex,GB,Great Britain
Wokingham,Berkshire,GB,Great Britain
Southend on Sea,Essex,GB,Great Britain
Semarang,Indonesia,RI,Java
Stratford on Avon,Warwickshire,GB,Great Britain
Kofu,Yamanashi,J,Honshu
Sibu,Sarawak,MAL,Borneo
Willemstad,Netherlands Antilles,,Curacao
Dublin,Ireland,IRL,Ireland
Flying Fish Cove,Christmas Island,XMAS,Christmas Island
Pasuruan,Indonesia,RI,Java
Hsinchu,Taiwan,RC,Taiwan
Chesterfield,Derbyshire,GB,Great Britain
Lancaster,Lancashire,GB,Great Britain
Yamagata,Yamagata,J,Honshu
Chiba,Chiba,J,Honshu
Gateshead,Tyne and Wear,GB,Great Britain
Pasay,Philippines,RP,Luzon
Victoria de las Tunas,Las Tunas,C,Cuba
Binjai,Indonesia,RI,Sumatra
Saint Peter Port,Guernsey,GBG,Guernsey
Exeter,Devon,GB,Great Britain
Pontianak,Indonesia,RI,Borneo
Port-Vila,Vanuatu,VU,Efate
Saint Johns,Newfoundland,CDN,Newfoundland
Wellington,New Zealand,NZ,Te Ika-a-Maui (North Island)
Preston,Lancashire,GB,Great Britain
Rotherham,South Yorkshire,GB,Great Britain
Tainan,Taiwan,RC,Taiwan
Aylesbury,Buckinghamshire,GB,Great Britain
Colchester,Essex,GB,Great Britain
Aberdeen,Grampian,GB,Great Britain
Warrington,Cheshire,GB,Great Britain
Saint Johns,Antigua and Barbuda,AG,Antigua
Liverpool,Merseyside,GB,Great Britain
Oranjestad,Aruba,ARU,Aruba
Pago Pago,American Samoa,AMSA,Tutuila
Northallerton,North Yorkshire,GB,Great Britain
Colombo,Sri Lanka,CL,Sri Lanka
Canterbury,Kent,GB,Great Britain
Kavaratti,Lakshadweep Is.,IND,Kavaratti
Fort-de-France,Martinique,MART,Martinique
Maidstone,Kent,GB,Great Britain
Mata-Utu,Wallis and Futuna,WAFU,Uvea
Makati,Philippines,RP,Luzon
Bradford,West Yorkshire,GB,Great Britain
Lerwick,Shetland,GB,Shetland Mainland
Nuuk,Greenland,GROX,Greenland
Cebu,Philippines,RP,Cebu
Moroni,Comoros,COM,Grand Comoro
Saint Helier,Jersey,GBJ,Jersey
Ponta Delgada,Azores,P,Sao Miguel
Dorchester,Dorset,GB,Great Britain
Kingston upon Hull,Humberside,GB,Great Britain
Santo Domingo,Dominican Republic,DOM,Hispaniola
Sassari,Sardegna,I,Sardegna
Manila,Philippines,RP,Luzon
La Laguna,Canary Islands,E,Teneriffa
Kuching,Sarawak,MAL,Borneo
Tamatave,Toamasina,RM,Madagaskar
Haverfordwest,Pembrokeshire,GB,Great Britain
Reigate,Surrey,GB,Great Britain
Nicosia,Cyprus,CY,Cyprus
Swale,Kent,GB,Great Britain
Kirklees,West Yorkshire,GB,Great Britain
San Juan,Puerto Rico,PR,Puerto Rico
Merthyr Tydfil,Merthyr Tydfil,GB,Great Britain
Guantanamo,Guantanamo,C,Cuba
Eastleigh,Hampshire,GB,Great Britain
Blackpool,Lancashire,GB,Great Britain
Batam,Indonesia,RI,Batam
Avarua,Cook Islands,COOK,Rarotonga
Majunga,Mahajanga,RM,Madagaskar
Port-of-Spain,Trinidad and Tobago,TT,Trinidad
Scarborough,North Yorkshire,GB,Great Britain
Ystrad Fawr,Caerphilly,GB,Great Britain
Akureyri,Iceland,IS,Iceland
Kyoto,Kyoto,J,Honshu
Wiral,Merseyside,GB,Great Britain
Tameside,Greater Manchester,GB,Great Britain
Sandwell,West Midlands,GB,Great Britain
Harrogate,North Yorkshire,GB,Great Britain
Durham,Durham,GB,Great Britain
Pontypool,Torfaen,GB,Great Britain
Crewe,Cheshire,GB,Great Britain
Wakefield,West Yorkshire,GB,Great Britain
Palermo,Sicilia,I,Sicilia
Horsham,West Sussex,GB,Great Britain
Manama,Bahrain,BRN,Bahrain
Honiara,Solomon Islands,SLB,Guadalcanal
Ambon,Indonesia,RI,Ambon
Port Blair,Andaman and Nicobar Is.,IND,South Andaman Island
Manzanillo,Granma,C,Cuba
Worcester,Hereford and Worcester,GB,Great Britain
Stafford,Staffordshire,GB,Great Britain
Nottingham,Nottinghamshire,GB,Great Britain
Solihull,West Midlands,GB,Great Britain
Leichester,Leicestershire,GB,Great Britain
Zamboanga,Philippines,RP,Mindanao
Pekalongan,Indonesia,RI,Java
Valletta,Malta,M,Malta
Malabo,Equatorial Guinea,GQ,Bioko
Dundee,Tayside,GB,Great Britain
Chichester,West Sussex,GB,Great Britain
Holguin,Holguin,C,Cuba
Port-au-Prince,Haiti,RH,Hispaniola
Cwmbran,Monmouthshire,GB,Great Britain
Majuro,Marshall Islands,MH,Majuro
Toliara,Toliara,RM,Madagaskar
Sendai,Miyagi,J,Honshu
Rochester upon Medway,Kent,GB,Great Britain
Wakayama,Wakayama,J,Honshu
Messina,Sicilia,I,Sicilia
Chungli,Taiwan,RC,Taiwan
Bengkulu,Indonesia,RI,Sumatra
Hakodate,Hokkaido,J,Hokkaido
Probolinggo,Indonesia,RI,Java
Port Moresby,Papua New Guinea,PNG,New Guinea
Santiago de Cuba,Santiago de Cuba,C,Cuba
Kagoshima,Kagoshima,J,Kyushu
Quezon,Philippines,RP,Luzon
Kediri,Indonesia,RI,Java
Saint-Pierre,Saint Pierre and Miquelon,SPMI,Saint Pierre
West Island,Cocos Islands,COCO,Pulau Panjang
Knowsley,Merseyside,GB,Great Britain
Kings Lynn,Norfolk,GB,Great Britain
Bayamo,Granma,C,Cuba
Sao Tome,Sao Tome and Principe,STP,Sao Tome
Sevenoaks,Kent,GB,Great Britain
Bournemouth,Dorset,GB,Great Britain
