country,target
RA,Christian
PK,non-Christian
CDN,Christian
NL,Christian
UZB,non-Christian
IRQ,non-Christian
AMSA,Christian
RH,Christian
RIM,non-Christian
AND,Christian
NAM,Christian
B,Christian
XMAS,non-Christian
CR,Christian
COOK,Christian
NZ,Christian
CV,Christian
BOL,Christian
TN,non-Christian
WAL,non-Christian
FGU,Christian
FARX,Christian
BVIR,Christian
COM,non-Christian
E,Christian
SA,non-Christian
MH,Christian
IL,non-Christian
FPOL,Christian
KWT,non-Christian
BR,Christian
ANG,Christian
TUCA,Christian
VU,Christian
GR,Christian
ROU,Christian
C,Christian
WAN,non-Christian
EC,Christian
GAZA,non-Christian
RT,Christian
IRL,Christian
RI,non-Christian
SD,Christian
GH,non-Christian
MK,Christian
SLO,Christian
GQ,Christian
MA,non-Christian
TJ,non-Christian
BRN,non-Christian
Q,non-Christian
MS,non-Christian
IS,Christian
ET,non-Christian
DZ,non-Christian
LS,Christian
SRB,Christian
MNE,Christian
V,Christian
ARU,Christian
SYR,non-Christian
F,Christian
J,non-Christian
AUS,Christian
MART,Christian
TCH,non-Christian
WS,Christian
CH,Christian
RO,Christian
HCA,Christian
WAG,non-Christian
RL,non-Christian
GUY,Christian
BI,Christian
GUAD,Christian
GNB,non-Christian
COCO,non-Christian
BDS,Christian
RB,Christian
MD,Christian
MYA,non-Christian
M,Christian
REUN,Christian
LAO,non-Christian
CI,non-Christian
IND,non-Christian
MACX,non-Christian
KAZ,non-Christian
JA,Christian
SY,Christian
RN,non-Christian
GROX,Christian
MOC,Christian
H,Christian
SK,Christian
TAD,non-Christian
P,Christian
D,Christian
DJI,non-Christian
VIRG,Christian
RC,non-Christian
RWA,Christian
NORF,Christian
BG,Christian
CZ,Christian
THA,non-Christian
G,Christian
CY,Christian
DK,Christian
K,non-Christian
GBZ,Christian
UAE,non-Christian
ETH,non-Christian
BY,Christian
BF,non-Christian
ES,Christian
NEP,non-Christian
CAM,Christian
PE,Christian
JOR,non-Christian
NAU,Christian
BS,Christian
MEX,Christian
RM,Christian
ARM,Christian
CL,non-Christian
RSM,Christian
AL,non-Christian
BZ,Christian
TUV,non-Christian
AZ,non-Christian
RG,non-Christian
L,Christian
PY,Christian
RSA,non-Christian
TR,non-Christian
PR,Christian
SPMI,Christian
KIR,Christian
AFG,non-Christian
SN,non-Christian
BD,non-Christian
HONX,Christian
FL,Christian
SF,Christian
BHT,non-Christian
