sea1,sea2
Sulawesi Sea,Sunda Sea
Sea of Japan,Sea of Okhotsk
Black Sea,Sea of Azov
Indian Ocean,Pacific Ocean
Malakka Strait,South China Sea
East China Sea,South China Sea
Gulf of Aden,Red Sea
Andaman Sea,Indian Ocean
Arabian Sea,Gulf of Oman
Gulf of Oman,Indian Ocean
Atlantic Ocean,North Sea
North Sea,The Channel
Pacific Ocean,Sea of Japan
Atlantic Ocean,Irish Sea
Sea of Japan,Yellow Sea
North Sea,Norwegian Sea
East China Sea,Sea of Japan
East China Sea,Yellow Sea
Barents Sea,Norwegian Sea
Barents Sea,Sibirian Sea
Atlantic Ocean,Pacific Ocean
Arctic Ocean,Norwegian Sea
Atlantic Ocean,Mediterranean Sea
Arabian Sea,Indian Ocean
Gulf of Bengal,Sunda Sea
Gulf of Oman,Persian Gulf
Baltic Sea,North Sea
Caribbean Sea,Gulf of Mexico
Atlantic Ocean,Gulf of Mexico
Arctic Ocean,Bering Sea
Black Sea,Mediterranean Sea
Pacific Ocean,Sulawesi Sea
East China Sea,Pacific Ocean
Arctic Ocean,Sibirian Sea
South China Sea,Sunda Sea
Gulf of Aden,Indian Ocean
Kattegat,Skagerrak
Atlantic Ocean,Caribbean Sea
North Sea,Skagerrak
Pacific Ocean,South China Sea
Andaman Sea,Malakka Strait
South China Sea,Sulawesi Sea
Indian Ocean,Sunda Sea
Atlantic Ocean,The Channel
Andaman Sea,Gulf of Bengal
Gulf of Bengal,Pacific Ocean
Atlantic Ocean,Indian Ocean
Arctic Ocean,Barents Sea
Atlantic Ocean,Norwegian Sea
Arabian Sea,Gulf of Aden
Arctic Ocean,Atlantic Ocean
Pacific Ocean,Sea of Okhotsk
Pacific Ocean,Sunda Sea
Bering Sea,Pacific Ocean
