name,islands,area,height,type,longitude,latitude
Mull,Inner Hebrides,910.0,,,6.0,56.3
Tortola,Lesser Antilles,55.0,521.0,volcanic,-64.37,18.27
Bougainville,Solomon Islands,8800.0,2715.0,,155.25,-6.2
Mohilla,Comores,290.0,,,43.75,-12.25
Jersey,Channel Islands,117.0,,,-2.1,49.2
Grenada,Lesser Antilles,344.0,840.0,volcanic,-62.0,12.0
Martinique,Lesser Antilles,1128.0,1397.0,volcanic,-61.0,14.6
Norfolk Island,,34.0,318.0,volcanic,168.0,-29.0
Batam,Sunda Islands,415.0,,,104.05,1.1
Sicilia,,25462.0,3323.0,,14.0,37.0
Tasmania,,67800.0,1617.0,,145.0,-42.0
Santiago,Cape Verdes,991.0,1394.0,volcanic,-23.6,15.1
Jura,Inner Hebrides,367.0,785.0,,-6.0,56.0
Krakatau,Sunda Islands,,813.0,volcanic,105.6,-6.1
Graciosa,Azores,61.0,402.0,volcanic,-28.0,39.0
Seeland,,7439.0,,,12.0,55.3
Baffin Island,Canadian Arctic Islands,507451.0,2147.0,,72.0,69.0
Norderney,Ostfriesische Inseln,26.3,5.0,,7.9,53.7
Isabela,Galapagos,5436.0,1707.0,volcanic,-91.3,-1.0
Nantucket,,125.0,,,-70.1,41.5
Bishop Rock,Scilly Islands,,,,-6.3,50.0
Ascension,,91.0,,volcanic,-14.4,-7.9
Providenciales,Turks and Caicos Islands,,,,-72.3,22.0
Sri Lanka,,65610.0,,,80.0,7.0
Madeira,Madeira,794.0,1861.0,volcanic,-16.0,31.0
Lundy,,4.24,,,-4.5,51.0
Jeju,,1845.0,1950.0,volcanic,126.5,33.4
Flores,Azores,143.0,914.0,volcanic,-31.2,39.5
Great Britain,British Isles,229850.0,1344.0,,-1.5,53.0
Palawan,Phillipines,11785.0,2085.0,,118.4,9.5
Pulau Panjang,Cocos Islands,6.23,9.0,atoll,96.9,-12.2
South Uist,Outer Hebrides,320.0,,,-7.2,57.2
Isle of Wight,British Isles,381.0,,,-1.3,50.6
Te Waka-a-Maui (South Island),New Zealand,151757.0,3754.0,,170.4,-44.0
Oahu,Hawaii Islands,1557.0,1225.0,,-158.0,21.5
Korfu,Ionic Islands,593.0,906.0,,19.8,39.6
Hokkaido,Japan,83456.0,2290.0,volcanic,143.0,43.3
Santa Catalina Island,Californian Channel Islands,194.0,648.0,,-118.2,33.2
Reunion,,2510.0,3069.0,volcanic,55.5,-20.9
Formentera,Baleares,83.0,192.0,,1.5,38.0
Grand Bermuda,Bermuda Islands,53.3,79.0,coral,-64.47,32.17
Chios,Sporades,843.0,1297.0,,26.2,38.4
Nevis,Lesser Antilles,93.0,985.0,volcanic,-62.3,17.0
Saint Lucia,Lesser Antilles,616.0,950.0,volcanic,-60.5,14.0
Schiermonnikoog,Westfriesische Inseln,40.0,,,6.2,53.5
Java,Sunda Islands,126650.0,3676.0,,111.25,-7.5
Langeland,,284.0,,,10.5,55.0
Saint Kitts,Lesser Antilles,164.0,1156.0,volcanic,-62.75,17.3
Sokotra,,3579.0,1525.0,,53.9,12.5
Panay,Phillipines,12297.0,2117.0,,122.5,11.15
Oeland,,1344.0,,,17.0,57.0
Gomera,Canares,369.0,1487.0,volcanic,-17.3,28.1
Madagaskar,,587041.0,2876.0,,46.0,-20.0
Linosa,,5.0,195.0,volcanic,13.85,35.85
Uvea,Wallis Islands,90.0,,,-176.2,-13.16
Miquelon-Langlade,,205.0,240.0,,-56.3,47.1
Southampton Island,Canadian Arctic Islands,41214.0,625.0,,-84.5,64.5
Isla da Ometepe,,270.0,1700.0,,-85.6,11.5
Tobago,Lesser Antilles,301.0,576.0,,-60.7,11.25
Martha s Vineyard,,232.0,,,-70.6,41.4
East Falkland,Falkland Islands,6605.0,705.0,,-58.8,-51.8
Lombok,Sunda Islands,4725.0,3726.0,volcanic,116.5,-8.4
Manitoulin,,2766.0,,,-82.2,45.75
Panarea,Lipari Islands,3.4,421.0,volcanic,15.05,38.65
Fogo,Cape Verdes,476.0,2829.0,volcanic,-24.4,17.95
Barbados,Lesser Antilles,430.0,336.0,lime,-59.3,13.0
Saint Helena,,122.0,,volcanic,-5.44,-15.56
Prince Edward Island,,5660.0,142.0,,-63.4,46.3
Samosir,,852.0,,volcanic,98.85,2.6
Khark,,20.5,,,50.2,29.1
Faial,Azores,172.0,1043.0,volcanic,-28.7,38.6
Kauai,Hawaii Islands,1433.0,1598.0,,-159.5,22.0
Sansibar,,1658.0,135.0,,39.3,-6.1
Koror,Carolines,8.0,100.0,volcanic,134.5,7.3
New Guinea,,786000.0,4884.0,,142.0,-5.0
Aland,Aland Islands,650.0,,,20.0,60.1
Tutuila,Samoan Islands,135.0,,volcanic,-170.42,-14.16
West Falkland,Falkland Islands,4532.0,700.0,,-60.1,-51.8
Pemba,,984.0,,,39.7,-5.2
Te Ika-a-Maui (North Island),New Zealand,114597.0,2797.0,,175.7,-38.4
Hoy,Orkney Islands,143.0,,,-3.2,59.1
Gozo,Malta,67.0,176.0,,14.3,36.05
Helgoland,,1.7,61.3,,7.9,54.2
Borkum,Ostfriesische Inseln,31.0,6.0,,6.7,53.6
Corse,,8680.0,2706.0,,8.4,41.4
Shikoku,Japan,18000.0,1965.0,volcanic,134.0,34.0
Zakinthos,Ionic Islands,406.0,756.0,,20.75,37.8
Lewis and Harris,Outer Hebrides,2170.0,,,-6.8,57.9
Osterinsel,,163.0,,volcanic,-109.35,-27.1
Cangaroo Island,,4405.0,307.0,,137.3,-35.8
Ceram,Moluccan Islands,17100.0,3027.0,,128.0,-2.0
Niue,,260.0,67.0,coral,-169.55,-19.01
Banks Island,Canadian Arctic Islands,70028.0,,,-122.1,72.85
Kefallinia,Ionic Islands,689.0,1628.0,,20.6,38.2
Menorca,Baleares,760.0,358.0,,4.0,40.0
Viti Levu,Fiji Islands,10429.0,,volcanic,178.0,-17.8
Kavaratti,Laccadives,6.0,2.0,,72.6,10.6
Sao Tome,,859.0,2024.0,volcanic,6.6,0.2
Samos,Sporades,478.0,1434.0,,26.8,37.7
Lanzarote,Canares,846.0,671.0,volcanic,-13.6,29.0
Sulawesi,Sunda Islands,189216.0,3455.0,volcanic,120.3,-2.1
Streymoy,Faroe Islands,373.0,789.0,,-7.0,62.0
Basse-Terre,Lesser Antilles,848.0,1467.0,volcanic,-61.8,16.15
Aruba,Lesser Antilles,193.0,188.0,,-70.02,12.31
North Uist,Outer Hebrides,303.0,,,-7.1,57.4
Savaii,Samoan Islands,1707.0,1858.0,volcanic,-172.4,-13.6
Gran Canaria,Canares,1560.0,1949.0,volcanic,-15.6,28.0
Bornholm,,588.0,162.0,,14.9,55.1
Cebu,Phillipines,5088.0,1000.0,,123.8,10.4
Upolu,Samoan Islands,1125.0,1158.0,volcanic,-171.75,-13.9
Newfoundland,,108860.0,814.0,,-55.8,48.6
Rhodos,Sporades,1401.0,1215.0,,28.0,36.2
Molokai,Hawaii Islands,676.0,1512.0,,-157.0,21.1
Okinawa,Japan,2255.0,,volcanic,128.0,26.0
Bangka,Sunda Islands,11942.0,700.0,,106.0,2.25
Negros,Phillipines,13328.0,2435.0,,123.0,10.0
Lanai,Hawaii Islands,364.0,1027.0,,-157.0,20.5
Lipari,Lipari Islands,37.5,602.0,volcanic,14.95,38.5
Montserrat,Lesser Antilles,102.0,1050.0,volcanic,-62.13,16.42
Ameland,Westfriesische Inseln,57.6,,,5.75,53.5
Bohol,Phillipines,4117.0,,,124.2,9.9
Santa Cruz Island,Californian Channel Islands,245.0,747.0,,-119.7,34.0
St. Martin,Lesser Antilles,87.0,411.0,,-63.1,18.1
Terceira,Azores,400.0,1022.0,volcanic,-27.2,38.7
Ibiza,Baleares,572.0,476.0,,1.5,38.5
Rugen,,926.0,161.0,,13.4,54.5
Rarotonga,Cook Islands,67.0,653.0,volcanic,-159.46,-21.12
Hierro,Canares,268.0,1500.0,volcanic,-18.0,27.7
Singapore,,632.6,176.0,,103.833,1.3
Saipan,Mariana Islands,115.0,474.0,volcanic,145.75,15.2
Bali,Sunda Islands,5561.0,3142.0,volcanic,115.1,-8.4
Fongafale,Ellice Islands,2.8,,atoll,179.1,-8.5
Vanua Levu,Fiji Islands,5500.0,,volcanic,179.25,-16.35
Tahiti,Polynesian Islands,1045.0,2241.0,volcanic,-149.34,-17.32
Porto Santo,Madeira,42.0,517.0,volcanic,-16.35,33.0
Westray,Orkney Islands,47.0,,,-3.0,59.4
Lolland,,1241.0,,,11.5,54.4
Hispaniola,Greater Antilles,76192.0,3098.0,,-70.7,19.0
Falster,,514.0,,,12.0,54.8
Melville Island,,5800.0,,,131.0,-12.0
Arran,Inner Hebrides,430.0,874.0,,-5.5,55.3
Kreta,,8331.0,2456.0,,25.0,37.0
Grande-Terre,Lesser Antilles,589.0,,volcanic,-61.4,16.3
Pitcairn,Pitcairn Islands,4.5,347.0,volcanic,-130.05,-25.04
Mauritius,,1860.0,828.0,volcanic,57.0,-20.0
Teneriffa,Canares,2034.0,3718.0,volcanic,-16.6,28.3
Fuerteventura,Canares,1660.0,807.0,volcanic,-14.0,28.4
Lesbos,Sporades,1636.0,968.0,,26.3,39.2
Mahe,Seychelles,154.0,905.0,,55.5,-4.65
Filicudi,Lipari Islands,9.5,774.0,volcanic,14.55,38.6
Sachalin,,76400.0,1609.0,volcanic,143.0,50.0
Olkhon,,730.0,1276.0,,107.4,53.15
Barbuda,Lesser Antilles,161.0,,,-61.4,17.3
Pico,Azores,442.0,2351.0,volcanic,-28.4,38.5
Skye,Inner Hebrides,1385.0,993.0,,-6.3,57.3
Cuba,Greater Antilles,105806.0,1974.0,,-79.0,22.0
Curacao,Lesser Antilles,444.0,,,-69.0,12.2
South Andaman Island,Andaman Islands,1210.0,366.0,,92.5,11.4
Hainan,,34380.0,1897.0,,109.6,19.1
Sumbawa,Sunda Islands,15448.0,2850.0,,116.1,-8.8
Principe,,142.0,927.0,volcanic,7.4,1.6
Niihau,Hawaii Islands,178.0,381.0,,-160.1,21.9
Aust-Vagoey,Lofotes,526.0,1146.0,,14.6,68.3
Usedom,,445.0,,,14.1,53.9
