country,organization,type
EAU,IFAD,Category III
UA,EBRD,member
N,IFC,member
RL,ICC,member
SGP,WHO,member
SLB,Intelsat,nonsignatory user
EAU,ILO,member
TT,IOC,National Olympic Committee
IRL,WHO,member
MW,IFAD,Category III
MAL,UNPROFOR,member
CAM,ACP,member
ROU,UNIDO,member
LB,ICAO,member
NAM,CCC,member
ZW,ECA,member
REUN,WFTU,member
KN,UNMIH,member
LAO,ESCAP,member
SA,WHO,member
ZRE,AfDB,regional member
C,ITU,member
SF,BIS,member
SF,NSG,member
SK,WIPO,member
MA,AMU,member
HR,ICAO,member
RL,ABEDA,member
BOL,UNESCO,member
WAG,UNESCO,member
ZW,ISO,member
RL,WMO,member
IRL,ZC,member
RIM,Intelsat,member
MC,IOC,National Olympic Committee
ZW,WIPO,member
JOR,ISO,correspondent member
GE,IFAD,Category III
RH,WHO,member
M,Intelsat,member
YV,WIPO,member
FGU,WCL,member
EAU,Intelsat,member
RA,WFTU,member
CH,CERN,member
CR,Interpol,member
RT,IDA,Part II
MYA,IBRD,member
GNB,UNAVEM III,member
G,WMO,member
PA,ICRM,National Society
L,MTCR,member
NIUE,UNESCO,member
MEX,ICC,member
UZB,WHO,member
B,WToO,member
GR,WFTU,member
WAG,UNIDO,member
BDS,CDB,regional member
UZB,ILO,member
PY,IFAD,Category III
BG,IOC,National Olympic Committee
ARM,IFRCS,member
PL,WEU,associate partner
CDN,OAS,member
GH,IFRCS,member
BRU,ICAO,member
ES,FAO,member
BEN,FZ,member
F,WCL,member
AG,ECLAC,member
EAT,WHO,member
RL,PCA,member
TM,UNESCO,member
RMM,ITU,member
S,UNPREDEP,member
WS,FAO,member
YV,G-3,member
MNG,WFTU,member
IND,NAM,member
SRB,G-9,member
GH,ACP,member
HR,CE,guest
TN,Interpol,member
BIH,IFAD,Category III
LS,WTrO,member
ZW,NAM,member
EAT,ICRM,National Society
STP,ILO,member
CAYM,Caricom,observer
CAM,IBRD,member
NZ,IEA,member
IL,OAS,observer
N,UNPROFOR,member
RT,ICRM,National Society
AUS,UNESCO,member
STP,FAO,member
PA,UN,member
H,MTCR,member
WS,IMF,member
JA,UNITAR,member
M,ITU,member
TM,FAO,member
A,G-9,member
YE,WMO,member
ET,EBRD,member
MK,WMO,member
Z,WMO,member
R,ITU,member
GCA,PCA,member
FJI,UNIKOM,member
MK,IDA,Part II
BY,CCC,member
F,ECA,associate member
R,IDA,Part I
RWA,CEPGL,member
N,ZC,member
RG,ACP,member
BDS,ICAO,member
COM,UNESCO,member
TAD,ECE,member
MA,CCC,member
NCA,UPU,member
IND,SAARC,member
WD,WTrO,member
CDN,C,member
G,UNESCO,member
MAL,IFC,member
S,UNESCO,member
F,IMF,member
RSA,ZC,member
TO,IMF,member
PK,PCA,member
Z,UNAVEM III,member
LB,WHO,member
BG,ZC,member
MV,IMO,member
NAM,ECA,member
G,ECA,member
J,WToO,member
TT,WFTU,member
STP,IOM,observer
IRL,WMO,member
YE,WIPO,member
RH,PCA,member
CZ,ITU,member
JA,WMO,member
PK,ICAO,member
PA,UNESCO,member
MW,OAU,member
MNG,IBRD,member
TT,UNMIH,member
TT,Intelsat,member
I,NAM,guest
L,ILO,member
TJ,WMO,member
N,UPU,member
NL,WTrO,member
NIC,OPANAL,member
S,PFP,member
AL,IFAD,Category III
RM,IBRD,member
A,WToO,member
M,FAO,member
OM,IBRD,member
USA,IMO,member
BEN,ICAO,member
LAO,ILO,member
BRU,WMO,member
EAT,G-6,member
RH,IOC,National Olympic Committee
WAN,UNESCO,member
BRN,IMO,member
KGZ,OSCE,member
CL,ICC,member
BDS,ACP,member
Q,AMF,member
E,WToO,member
MNE,WMO,member
KIR,IFC,member
RIM,UPU,member
CV,IFC,member
MC,OSCE,member
STP,ECA,member
RO,WIPO,member
WS,WHO,member
TN,WIPO,member
RCA,WIPO,member
MYA,AsDB,regional member
WL,C,member
BS,WMO,member
EAK,MINURSO,member
PK,IBRD,member
CZ,IBRD,member
WL,UN,member
PK,CP,member
UA,IFC,member
RCH,IOM,member
SK,OSCE,member
NIC,WMO,member
GCA,Interpol,member
GR,UNIKOM,member
MOC,IFAD,Category III
WAL,ITU,member
KAZ,AsDB,regional member
