lake,country,province
Lake Abaya,ETH,Ethiopia
Caspian Sea,R,Rep. of Dagestan
Ozero Baikal,R,Rep. of Buryatiya
Ozero Tschany,R,Novosibirskaya oblast
Lake Michigan,USA,Michigan
Caspian Sea,R,Rep. of Kalmykiya
Vaettern,S,Skaraborg
Lago di Bracciano,I,Lazio
Ozero Balchash,KAZ,Zhezkazghan
Lake Managua,NIC,Nicaragua
Dead Sea,IL,South
Vaenern,S,Skaraborg
Ozero Ladoga,R,Rep. of Karelia
Lac Leman,F,Rhone Alpes
Lake Champlain,USA,Vermont
Lake Natron,EAT,Arusha
Lake Nyos,CAM,Nordoueste
Caspian Sea,R,Astrakhanskaya oblast
Lake Malawi,MOC,Niassa
Lake Keban,TR,Tunceli
Lago di Como,I,Lombardia
Laguna Mar Chiquita,RA,Santa Fe
Great Salt Lake,USA,Utah
Licancabur Crater Lake,BOL,Bolivia
Vierwaldstattersee,CH,NW
Lake Erie,USA,New York
Lake Erie,CDN,Ontario
Lake Superior,USA,Wisconsin
Rutanzige/Eduardsee,EAU,Uganda
Lake Chilwa,MOC,Niassa
Qinghai Lake,TJ,Qinghai
Maelaren,S,Uppsala
Ozero Aral,UZB,Qaraqalpoghiston
Lake Turkana,EAK,Rift Valley
Ozero Taimyr,R,Krasnoyarskiy kray
Lake Turkana,EAK,Eastern
Lake Mweru,Z,Luapula
Lake Maracaibo,YV,Trujillo
Ozero Chanka,TJ,Heilongjiang
Lake Malawi,MW,Malawi
Lake Titicaca,BOL,Bolivia
Lake Keban,TR,Malatya
Lake Abbe,ETH,Ethiopia
Lake Manitou,CDN,Ontario
Lake Genezareth,SYR,Syria
Ozero Onega,R,Rep. of Karelia
Atlin Lake,CDN,British Columbia
Issyk-Kul,KGZ,Kyrgyzstan
Lake Champlain,CDN,Quebec
Dead Sea,WEST,West Bank
Dead Sea,JOR,Jordan
Balaton,H,Zala
Lake Tahoe,USA,Nevada
Lake Michigan,USA,Indiana
Lago Trasimeno,I,Toscana
Lake Volta,GH,Ghana
Lake Victoria,EAT,Mara
Lake Tahoe,USA,California
Chiemsee,D,Bayern
Lake Van,TR,Bitlis
Lake Oahe,USA,North Dakota
Lac Leman,CH,VS
Lake Michigan,USA,Illinois
Lac Leman,CH,VD
Laguna Mar Chiquita,RA,Cordoba
Lake Nicaragua,CR,Alajuela
Lake Nasser,ET,Aswan
Lake Keban,TR,Elazig
Lake Mead,USA,Nevada
Laacher Maar,D,Rheinland Pfalz
Caspian Sea,IR,Mazandaran
Caspian Sea,KAZ,Mangghystau
Caspian Sea,AZ,Azerbaijan
Zurichsee,CH,ZH
Chad Lake,RN,Niger
Lac Leman,CH,GE
Starnberger See,D,Bayern
Ozero Onega,R,Vologodskaya oblast
Lake Tanganjika,EAT,Mbeya
Lake Superior,USA,Minnesota
Chew Bahir,EAK,Eastern
Bodensee,CH,TG
Lake Tana,ETH,Ethiopia
Lake Victoria,EAU,Uganda
Lake Tanganjika,EAT,Kigoma
Lake Kivu,ZRE,Kivu
Lake Kivu,RWA,Rwanda
Hamun e Jaz Murian,IR,Kerman
Laguna Mar Chiquita,RA,Santiago de Estero
Lago Maggiore,CH,TI
Oulujaervi,SF,Oulu
Lake Superior,USA,Michigan
Makarikari Salt Pan,RB,Botswana
Lake Huron,USA,Michigan
Lake Victoria,EAK,Nyanza
Ozero Balchash,KAZ,Zhambyl
Lake Mai Ndombe,ZRE,Bandundu
Crater Lake,USA,Oregon
Chew Bahir,ETH,Ethiopia
Bodensee,A,Vorarlberg
Ozero Aral,KAZ,Qyzylorda
Lago Maggiore,I,Lombardia
Lake Ohrid,MK,Macedonia
Siljan,S,Dalarna
Lake Abbe,DJI,Djibouti
Balaton,H,Fejer
Lake Bosumtwi,GH,Ghana
Lake Urmia,IR,Azarbayian e Gharbt
Lac Assal,DJI,Djibouti
Lake Sese Seko/Albertsee,EAU,Uganda
Lake Sese Seko/Albertsee,ZRE,Haut Zaire
Lake Ontario,USA,New York
Vierwaldstattersee,CH,LU
Lake Champlain,USA,New York
Lake Mweru,ZRE,Shaba/Katanga
Lake Winnipesaukee,USA,New Hampshire
Vaettern,S,Jonkoping
Lake Tanganjika,ZRE,Kivu
Balaton,H,Veszprem
Lake Okeechobee,USA,Florida
Lake Manicouagan,CDN,Quebec
Neusiedlersee,A,Burgenland
Franklin. D. Roosevelt Lake,USA,Washington
Lake Malawi,EAT,Ruvuma
Loch Ness,GB,Strathclyde
Lake Skutari,MNE,Montenegro
Bodensee,CH,SG
Lake Mead,USA,Arizona
Etoscha Salt Pan,NAM,Namibia
Loch Ness,GB,Central
Ozero Pskovskoje,EW,Estonia
Paeijaenne,SF,Haeme
Lake Maracaibo,YV,Zulia
Lake Kariba,Z,Southern
Lake Eyasi,EAT,Arusha
Lake Powell,USA,Utah
Great Slave Lake,CDN,Northwest Territories
Lake Sakakawea,USA,Montana
Arresoe,DK,Denmark
Chad Lake,CAM,Nord extreme
Lake Ngami,RB,Botswana
Lake Malawi,EAT,Iringa
Thunersee,CH,BE
Lago de Chapala,MEX,Jalisco
Lake Victoria,EAK,Western
Maelaren,S,Sodermanland
Lake Superior,CDN,Ontario
Lake Maracaibo,YV,Merida
Lake Nasser,SUD,ash Shamaliyah
Chickamauga Lake,USA,Tennessee
Lake Nicaragua,NIC,Nicaragua
Mjoesa-See,N,Hedmark
Mjoesa-See,N,Oppland
Storuman,S,Vasterbotten
