island,sea,lake,river
Santa Maria,Atlantic Ocean,,
Usedom,Baltic Sea,,
Bishop Rock,Atlantic Ocean,,
Java,Sunda Sea,,
Saint Helena,Atlantic Ocean,,
Saint Kitts,Caribbean Sea,,
St. Martin,Atlantic Ocean,,
Montserrat,Caribbean Sea,,
Lampedusa,Mediterranean Sea,,
Grand Turk,Atlantic Ocean,,
Tobago,Atlantic Ocean,,
La Palma,Atlantic Ocean,,
Grande-Terre,Caribbean Sea,,
Reunion,Indian Ocean,,
Streymoy,Norwegian Sea,,
Lombok,Sunda Sea,,
Khark,Persian Gulf,,
Mahe,Indian Ocean,,
Fogo,Atlantic Ocean,,
Sumatra,Sunda Sea,,
Santa Cruz Island,Pacific Ocean,,
Kauai,Pacific Ocean,,
Jamaica,Caribbean Sea,,
Anglesey,Irish Sea,,
Teneriffa,Atlantic Ocean,,
Bangka,Sunda Sea,,
Luzon,South China Sea,,
Mindoro,South China Sea,,
Manitoulin,,Lake Huron,
Banks Island,Arctic Ocean,,
Langeoog,North Sea,,
Cuba,Gulf of Mexico,,
Mindanao,Sulawesi Sea,,
Formentera,Mediterranean Sea,,
Mayotte,Indian Ocean,,
Anguilla,Atlantic Ocean,,
Streymoy,Atlantic Ocean,,
Guam,Pacific Ocean,,
Schiermonnikoog,North Sea,,
Rhodos,Mediterranean Sea,,
Tinian,Pacific Ocean,,
Aruba,Caribbean Sea,,
Rarotonga,Pacific Ocean,,
Great Britain,Irish Sea,,
Tristan Da Cunha,Atlantic Ocean,,
Savaii,Pacific Ocean,,
South Ronaldsay,North Sea,,
Reunion,Indian Ocean,,
Hokkaido,Pacific Ocean,,
Wangerooge,North Sea,,
Terschelling,North Sea,,
Lefkas,Mediterranean Sea,,
Saint Helena,Atlantic Ocean,,
Santiago,Atlantic Ocean,,
New Guinea,Pacific Ocean,,
Samar,Pacific Ocean,,
Saint Thomas,Atlantic Ocean,,
Leyte,Sulawesi Sea,,
Ireland,Atlantic Ocean,,
Khark,Arabian Sea,,
Molokai,Pacific Ocean,,
East Falkland,Atlantic Ocean,,
St. Martin,Atlantic Ocean,,
Bornholm,Baltic Sea,,
Borneo,Sulawesi Sea,,
Gheschm,Arabian Sea,,
Samar,Sulawesi Sea,,
Lampedusa,Mediterranean Sea,,
Oahu,Pacific Ocean,,
Lanai,Pacific Ocean,,
Grand Bermuda,Atlantic Ocean,,
Greenland,Atlantic Ocean,,
Guadalcanal,Pacific Ocean,,
Montserrat,Caribbean Sea,,
Bahrain,Persian Gulf,,
Kos,Mediterranean Sea,,
Victoria Island,Arctic Ocean,,
Hainan,South China Sea,,
Streymoy,Atlantic Ocean,,
Babelthuap,Pacific Ocean,,
Prince Edward Island,Atlantic Ocean,,
Borneo,Sunda Sea,,
Puerto Rico,Atlantic Ocean,,
North Caicos,Atlantic Ocean,,
Fongafale,Pacific Ocean,,
Koror,Pacific Ocean,,
Tortola,Caribbean Sea,,
Mindoro,South China Sea,,
Miquelon-Langlade,Atlantic Ocean,,
Sumatra,Malakka Strait,,
Sardegna,Mediterranean Sea,,
Menorca,Mediterranean Sea,,
Barbuda,Atlantic Ocean,,
Sri Lanka,Gulf of Bengal,,
Tobago,Atlantic Ocean,,
Filicudi,Mediterranean Sea,,
Sumatra,Sunda Sea,,
Ambon,Sunda Sea,,
Guernsey,The Channel,,
Dominica,Atlantic Ocean,,
Isle of Man,Irish Sea,,
Usedom,Baltic Sea,,
Gran Canaria,Atlantic Ocean,,
Upolu,Pacific Ocean,,
Mayotte,Indian Ocean,,
Dagoe,Baltic Sea,,
Niue,Pacific Ocean,,
Kotelny Island,Sibirian Sea,,
Newfoundland,Atlantic Ocean,,
Timor,Sunda Sea,,
Pulau Panjang,Indian Ocean,,
Martha s Vineyard,Atlantic Ocean,,
Martinique,Atlantic Ocean,,
Batam,South China Sea,,
Fohr,North Sea,,
Wangerooge,North Sea,,
St. Martin,Atlantic Ocean,,
Aruba,Caribbean Sea,,
Bishop Rock,Atlantic Ocean,,
Saint Vincent,Atlantic Ocean,,
Isle of Man,Irish Sea,,
Rhum,Atlantic Ocean,,
Kotelny Island,Sibirian Sea,,
Trinidad,Atlantic Ocean,,
Okinawa,East China Sea,,
Cangaroo Island,Indian Ocean,,
Saint Lucia,Caribbean Sea,,
South Ronaldsay,North Sea,,
Honshu,Pacific Ocean,,
Alicudi,Mediterranean Sea,,
Saint Lucia,Atlantic Ocean,,
Ireland,Atlantic Ocean,,
Dominica,Caribbean Sea,,
Hierro,Atlantic Ocean,,
Palawan,Sulawesi Sea,,
Wangerooge,North Sea,,
Usedom,Baltic Sea,,
Tobago,Atlantic Ocean,,
East Falkland,Atlantic Ocean,,
Efate,Pacific Ocean,,
Rugen,North Sea,,
Guam,Pacific Ocean,,
Seeland,Baltic Sea,,
Providenciales,Atlantic Ocean,,
Manitoulin,,Lake Huron,
