name,country,province,population,longitude,latitude
Thimphu,BHT,Bhutan,20000.0,90.0,27.0
Gaborone,RB,Botswana,,25.6,-24.5
Reutlingen,D,Baden Wurttemberg,107782.0,,
Leshan,TJ,Sichuan,341128.0,,
Roatan,HCA,Islas de la Bahia,,,
Penang,MAL,Pulau Pinang,219376.0,,
Dourados,BR,Mato Grosso do Sul,153165.0,,
Bahawalpur,PK,Pakistan,180263.0,,
Quebec,CDN,Quebec,167517.0,-71.3833,46.8
Maroua,CAM,Nord extreme,143000.0,,
Novokuznetsk,R,Kemerovskaya oblast,572000.0,,
Tekirdag,TR,Tekirdag,,,
Newtown St. Boswells,GB,Borders,,,
Harrisburg,USA,Pennsylvania,53264.0,-76.7667,40.2
Le Mans,F,Pays de la Loire,145502.0,,
Kota Baharu,MAL,Kelantan,219713.0,,
Sirnak,TR,Sirnak,,,
Jingdezhen,TJ,Jiangxi,281183.0,,
Novosibirsk,R,Novosibirskaya oblast,1369000.0,,
Surabaya,RI,Indonesia,2483871.0,112.717,-7.21667
Frankfort,USA,Kentucky,25973.0,-84.5,38.1
Keflavik,IS,Iceland,6600.0,-22.5,64.0
Criciuma,BR,Santa Catarina,159033.0,,
Matala,MOC,Maputo,337239.0,,
Chesterfield,GB,Derbyshire,101200.0,,
Duisburg,D,Nordrhein Westfalen,536106.0,,
Fukushima,J,Fukushima,,,
Meerut,IND,Uttar Pradesh,753778.0,,
Danyang,TJ,Jiangsu,169603.0,,
Ribeirao Pires,BR,Sao Paulo,100335.0,,
Clermont Ferrand,F,Auvergne,136181.0,3.4,45.5
Ciudad Bolivar,YV,Bolivar,225340.0,,
Trujillo,YV,Trujillo,,,
Ciudad Victoria,MEX,Tamaulipas,194996.0,-99.1,23.4
Yaounde,CAM,Centre,750000.0,12.0,3.5
Quilmes,RA,Buenos Aires,509445.0,,
Kurgan,R,Kurganskaya oblast,363000.0,,
Windhoek,NAM,Namibia,,17.2,-22.3
Marseille,F,Provence Cote dAzur,800550.0,5.2,43.2
La Rioja,RA,La Rioja,103727.0,-67.0,-29.3
Dordrecht,NL,Zuid Holland,213963.0,,
Changzhou,TJ,Jiangsu,531470.0,,
Laredo,USA,Texas,122899.0,-99.45,27.5333
Zhambyl,KAZ,Zhambyl,,,
Marigot,SMAR,Saint Martin,5700.0,-63.1,18.1
Saint Georges,WG,Grenada,30000.0,-61.4,12.4
Maracaibo,YV,Zulia,1249670.0,-71.6,10.65
Jinzhou,TJ,Liaoning,569518.0,,
Nova Friburgo,BR,Rio de Janeiro,169218.0,,
Lome,RT,Togo,,1.1,6.1
Dusseldorf,D,Nordrhein Westfalen,572638.0,6.8,51.2
Richmond,USA,Virginia,202798.0,-77.3333,37.5
Itanagar,IND,Arunachal Pradesh,,93.4,27.1
Karamay,TJ,Xinjiang Uygur,197602.0,,
Tirane,AL,Albania,192000.0,19.8,41.3
Santander,E,Cantabria,194822.0,,
Bolzano,I,Trentino Alto Adige,100380.0,11.5,46.0
Araraquara,BR,Sao Paulo,163831.0,,
al Qadarif,SUD,ash Sharqiyah,189384.0,,
Changsha,TJ,Hunan,1330000.0,113.5,28.1
Daman,IND,Daman and Diu,,,
Samarinda,RI,Indonesia,407339.0,,
Hubli,IND,Karnataka,648298.0,,
Offenbach am Main,D,Hessen,116482.0,,
Pasuruan,RI,Indonesia,152409.0,,
Nepean,CDN,Ontario,107627.0,,
Santiago de Compostella,E,Galicia,,,
Ado Ekiti,WAN,Nigeria,317000.0,,
Kherson,UA,Khersonska,361000.0,,
El Uqsur,ET,Qena,148000.0,,
Jinxi,TJ,Liaoning,357052.0,,
Lianyungang,TJ,Jiangsu,354139.0,,
Ravenna,I,Emilia Romagna,136724.0,,
Elazig,TR,Elazig,222800.0,,
Veszprem,H,Veszprem,,,
Pingdingshan,TJ,Henan,410775.0,,
Fareham,GB,Hampshire,101000.0,,
Puerto Carreno,CO,Vichada,,,
El Porvenir,PA,Comarca de San Blas,,,
Sinpo,NOK,North Korea,158000.0,,
Taejon,ROK,South Korea,1272143.0,,
Ujjain,IND,Madhya Pradesh,362633.0,,
Vatican City,V,Holy See,392.0,12.3,41.5
Dorchester,GB,Dorset,,,
Saint Helens,GB,Merseyside,180200.0,,
Maoming,TJ,Guangdong,178683.0,,
Van,TR,Van,194600.0,,
Petropavlovsk Kamchatsky,R,Kamchatskaya oblast,210000.0,,
Sheffield,GB,South Yorkshire,530100.0,,
Biel,CH,BE,53308.0,,
Bie,ANG,Bie,,,
Meixian,TJ,Guangdong,132156.0,,
Itaquaquecetuba,BR,Sao Paulo,228533.0,,
Tabora,EAT,Tabora,,,
Hakodate,J,Hokkaido,287691.0,140.7,41.8
Ann Arbor,USA,Michigan,109608.0,,
Daan,TJ,Jilin,138963.0,,
Sao Luis,BR,Maranhao,781068.0,-44.1,-2.3
Hami,TJ,Xinjiang Uygur,161315.0,,
Wakrah,Q,Qatar,23682.0,50.7,25.2
Szolnok,H,Szolnok,,,
Zanjan,IR,Zanjan,280691.0,,
Dzhambul,KAZ,Zhambyl,130600.0,,
Angarsk,R,Irkutskaya oblast,267000.0,,
Benoni,RSA,Gauteng,114000.0,,
Inhambane,MOC,Inhambane,,,
Puntarenas,CR,Puntarenas,92400.0,-84.8,10.0
Utsonomiya,J,Tochigi,,,
Liberec,CZ,Severocesky,160000.0,,
Zigong,TJ,Sichuan,393184.0,,
Cheltenham,GB,Gloucestershire,106700.0,,
Chandigarh,IND,Chandigarh,510565.0,76.5,30.5
Bida,WAN,Nigeria,111000.0,,
Halmstad,S,Halland,77601.0,13.0,56.4
Huancavelica,PE,Huancavelica,,,
Miami,USA,Florida,358648.0,-80.1,25.4
Lowell,USA,Massachusetts,103439.0,-71.3167,42.65
Arusha,EAT,Arusha,134708.0,,
Elbasan,AL,Albania,53000.0,20.1,41.1
Chaoyang,TJ,Liaoning,222394.0,,
Uppsala,S,Uppsala,183472.0,17.4,59.5
Gary,USA,Indiana,116646.0,,
Iraklion,GR,Kriti,102398.0,,
Suqian,TJ,Jiangsu,105021.0,,
Hollywood,USA,Florida,121720.0,,
Turbo,CO,Antioquia,127045.0,,
Khartoum,SUD,al Khartum,924505.0,32.55,15.6167
Heroica Nogales,MEX,Sonora,105873.0,,
Ostersund,S,Jamtland,56662.0,14.3,63.2
Leeuwarden,NL,Friesland,,,
Zlatoust,R,Chelyabinskaya oblast,203000.0,,
Bern,CH,BE,134393.0,7.3,46.6
Valencia,E,Valencia,764293.0,-0.383333,39.4667
Camacari,BR,Bahia,134768.0,,
Xichang,TJ,Sichuan,134419.0,,
Cirebon,RI,Indonesia,254878.0,,
Vicente Lopez,RA,Buenos Aires,289142.0,,
Jiaozuo,TJ,Henan,409100.0,,
Bhopal,IND,Madhya Pradesh,1062771.0,77.4,23.1
Loudi,TJ,Hunan,128418.0,,
Makhachkala,R,Rep. of Dagestan,339000.0,,
San Isidro,RA,Buenos Aires,299022.0,,
Zamboanga,RP,Philippines,511000.0,,
Nacala,MOC,Maputo,125208.0,,
Mazatlan,MEX,Sinaloa,262705.0,,
Nyiregyhaza,H,Szabolcs Szatmar,115000.0,,
Jhang,PK,Pakistan,195558.0,,
Chiclayo,PE,Lambayeque,411536.0,,
Salvador,BR,Bahia,2209465.0,-38.5,-13.0
Venice,I,Veneto,317837.0,12.2,45.27
Simbirsk,R,Ulyanovskaya oblast,678000.0,,
Shinyanga,EAT,Shinyanga,100724.0,,
Victoria,SY,Seychelles,24570.0,55.5,-4.65
Saipan,NMIS,Northern Mariana Islands,,145.45,15.12
Torre del Greco,I,Campania,102647.0,,
Macclesfield,GB,Cheshire,151400.0,,
