river,country,province
Drin,AL,Albania
Goetaaelv,S,Alvsborg
Syrdarja,TAD,Khujand
Guadiana,E,Castile La Mancha
Western Morava,SRB,Serbia
Olt,RO,Harghita
Luvua,ZRE,Shaba/Katanga
Atbara,ETH,Ethiopia
Volta,BF,Burkina Faso
Fulda,D,Hessen
Tennessee,USA,North Carolina
Ohio River,USA,Pennsylvania
Manicouagan,CDN,Quebec
Vuoksi,SF,Kymi
Rhein,CH,GR
Reuss,CH,UR
Irawaddy,TJ,Tibet
Tiber,I,Umbria
Busira,ZRE,Equateur
Mur,A,Salzburg
Kwa,ZRE,Bandundu
Western Dwina,R,Smolenskaya oblast
Indus,TJ,Tibet
Dnepr,R,Smolenskaya oblast
Moldau,CZ,Jihocesky
Benue,CAM,Nord
Ticino,CH,TI
Ganges,TJ,Tibet
Breg,D,Baden Wurttemberg
Amazonas,PE,Cuzco
Zaire,ZRE,Haut Zaire
Niagara River,USA,New York
Inn,CH,GR
Victoria Nile,EAU,Uganda
Marne,F,Champagne Ardenne
Oulujoki,SF,Oulu
Chire,MW,Malawi
Newa,R,Leningradskaya oblast
Klaraelv,N,Hedmark
Tajo,E,Castile La Mancha
Hwangho,TJ,Qinghai
Ruzizi,RWA,Rwanda
Loire,F,Rhone Alpes
Vaal,RSA,Mpumalanga
Neckar,D,Baden Wurttemberg
Nelson River,CDN,Manitoba
Parana,BR,Minas Gerais
Oder,CZ,Severomoravsky
Enns,A,Lower Austria
Alz,D,Bayern
Etsch,I,Trentino Alto Adige
Connecticut River,USA,New Hampshire
Donau,D,Baden Wurttemberg
Cuango,ANG,Malanje
Theiss,UA,Chernivetska
Murrumbidgee River,AUS,New South Wales
Save,SLO,Slovenia
Riviere Richelieu,CDN,Quebec
Zambezi,Z,Luapula
Murat,TR,Agri
Salzach,A,Salzburg
Irtysch,KAZ,Shyghys Qazaqstan
Karasu,TR,Erzurum
Bomu,ZRE,Haut Zaire
Iller,A,Vorarlberg
Main,D,Bayern
Rhone,CH,VS
Niagara River,CDN,Ontario
Ruki,ZRE,Equateur
Allegheny River,USA,Pennsylvania
Ruzizi,ZRE,Kivu
Asahan,RI,Indonesia
Argun,TJ,Heilongjiang
Brigach,D,Baden Wurttemberg
Southern Morava,MK,Macedonia
Ounasjoki,SF,Lappia
Aruwimi,ZRE,Haut Zaire
Doubs,F,Franche Comte
Yukon River,CDN,Yukon Territory
Pjandsh,TAD,Badakhshoni Kuni
Tobol,R,Orenburgskaya oblast
Paraguay,BR,Mato Grosso
Akagera,RWA,Rwanda
Luapula,Z,Luapula
Ammer,D,Bayern
Detroit River,CDN,Ontario
Petschora,R,Rep. of Komi
Truckee River,USA,California
Karun,IR,Esfahan
Chatanga,R,Krasnoyarskiy kray
Rio Negro,CO,Guainia
Raab,A,Styria
Rio Desaguadero,BOL,Bolivia
Niger,RG,Guinea
Darling River,AUS,Queensland
Werra,D,Thuringen
Maas,F,Champagne Ardenne
Naryn,KGZ,Kyrgyzstan
Murray River,AUS,Victoria
Limmat,CH,ZH
Rio Madeira,BOL,Bolivia
Arkansas,USA,Colorado
Lukenie,ZRE,Kasai Oriental
Drau,I,Trentino Alto Adige
Kokemaeenjoki,SF,Turku-Pori
Northern Dwina,R,Vologodskaya oblast
Lulua,ZRE,Shaba/Katanga
Dnjestr,UA,Lvivska
Rio Grande,USA,Colorado
Hudson River,USA,New York
Weser,D,Niedersachsen
Jangtse,TJ,Qinghai
Angara,R,Rep. of Buryatiya
Brahmaputra,TJ,Tibet
Mosel,F,Lorraine
Lukuga,ZRE,Shaba/Katanga
Rio Magdalena,CO,Huila
Gambia,RG,Guinea
Sanga,RCA,Central African Republic
Bani,CI,Cote dIvoire
Oesterdalaelv,S,Dalarna
Elbe,CZ,Vychodocesky
Amudarja,TAD,Khatlon
Enns,A,Upper Austria
Seine,F,Bourgogne
Morava,SRB,Serbia
Schari,RCA,Central African Republic
Douro,E,Castile and Leon
Aller,D,Niedersachsen
Joekulsa a Fjoellum,IS,Iceland
Oranje,LS,Lesotho
Lena,R,Irkutskaya oblast
Rio Mamore,BOL,Bolivia
Colorado,USA,Colorado
Mackenzie River,CDN,Northwest Territories
Glomma,N,Soer Trondelag
Semliki,ZRE,Kivu
Volga,R,Tverskaya oblast
Mincio,I,Veneto
Lech,A,Vorarlberg
Limpopo,RSA,Gauteng
Saskatchewan River,CDN,Alberta
Po,I,Piemonte
Schilka,R,Chitinskaya oblast
Cuilo,ANG,Lunda Sul
Uelle,ZRE,Haut Zaire
Black Drin,MK,Macedonia
Kolyma,R,Magadanskaya oblast
Amudarja,AFG,Afghanistan
Mekong,TJ,Tibet
Euphrat,TR,Malatya
Garonne,E,Catalonia
Tocantins,BR,Goias
Jordan,RL,Lebanon
Saone,F,Lorraine
Weichsel,PL,Bielskie
Ural,R,Rep. of Bashkortostan
Saluen,TJ,Tibet
Don,R,Tulskaya oblast
Cuango,ANG,Lunda Sul
Aare,CH,BE
Fimi,ZRE,Bandundu
Rio San Juan,NIC,Nicaragua
