country,gdp,agriculture,service,industry,inflation
GB,1138400.0,1.7,27.7,70.6,3.1
SP,3600.0,,,,
IL,80100.0,3.5,22.0,74.5,10.1
SME,1300.0,21.6,23.7,54.7,62.0
AND,1000.0,,,,
TCH,3300.0,49.0,17.0,34.0,41.0
NA,2800.0,1.0,15.0,84.0,2.1
SRB,52180.0,12.3,24.2,63.5,6.8
PK,274200.0,24.0,27.0,49.0,13.0
SVAX,,,,,
GR,101700.0,11.8,22.2,66.0,8.1
C,14700.0,7.0,30.0,63.0,
EAT,23100.0,58.0,8.0,34.0,25.0
CAM,16500.0,29.0,24.0,47.0,48.0
MOC,12200.0,33.0,12.0,55.0,50.0
LAO,5200.0,50.0,17.0,33.0,20.0
R,796000.0,6.0,41.0,53.0,7.0
ROK,590700.0,8.0,45.0,47.0,4.3
RWA,3800.0,52.0,13.0,35.0,64.0
XMAS,,,,,
KWT,30800.0,0.0,55.0,45.0,5.0
HELX,18.0,,,,
NIC,7100.0,,,,11.4
HONX,307600.0,0.0,7.9,92.0,2.1
NORF,,,,,
SA,189300.0,9.0,50.0,41.0,5.0
DK,112800.0,3.0,23.5,73.5,2.4
SD,3600.0,25.0,40.0,35.0,14.7
CAYM,1939.0,1.4,3.2,95.4,4.4
BI,4000.0,54.1,16.8,29.1,10.0
WL,640.0,13.8,17.4,68.8,0.8
LV,14700.0,9.0,31.0,60.0,20.0
BR,976800.0,16.0,25.0,59.0,23.0
SN,14500.0,,,,6.1
PR,88000.0,1.0,45.0,54.0,6.5
GROX,892.0,,,,1.3
AZ,11500.0,,,,85.0
USA,7247700.0,2.0,23.0,75.0,2.5
NCA,3158.0,15.0,8.8,76.2,1.4
LB,2300.0,,,,50.0
Q,10700.0,1.0,50.0,49.0,3.0
J,2679200.0,2.1,40.2,57.7,-0.1
RSA,215000.0,,,,8.7
RB,4500.0,5.0,,,10.0
CV,440.0,13.0,17.0,70.0,5.0
GUAM,2500.0,,,,2.5
ANG,7400.0,12.0,56.0,32.0,20.0
RO,105700.0,19.6,36.3,44.1,25.0
GNB,1000.0,44.0,8.0,48.0,15.0
PAL,81.8,,,,
BG,43200.0,12.0,36.0,52.0,35.0
KIR,68.0,,,,5.5
V,,,,,
REUN,2900.0,,,,
KN,220.0,6.2,35.7,58.1,-0.9
SYR,91200.0,30.0,25.0,45.0,15.1
EW,12300.0,10.0,37.0,53.0,29.0
NMIS,633.4,,,,-0.8
NOK,21500.0,25.0,60.0,15.0,
GBG,,,,,7.0
MW,6900.0,31.0,14.0,55.0,83.3
MH,94.0,,,,4.0
CO,192500.0,21.5,29.0,49.5,19.5
COM,370.0,,,,15.0
BF,7400.0,32.0,24.0,44.0,5.0
RL,18300.0,13.0,28.0,59.0,9.0
IS,5000.0,9.6,22.1,68.3,2.5
NAM,5800.0,,,,11.0
BEN,7600.0,36.8,12.6,50.6,55.0
MC,788.0,,,,
I,1088600.0,2.9,31.6,65.5,5.4
FJI,4700.0,22.0,17.0,61.0,2.0
BIH,1000.0,,,,
COCO,,,,,
ARU,2258.0,,,,3.4
BD,144500.0,,,,4.5
KAZ,46900.0,28.5,41.5,30.0,60.3
GCA,36700.0,25.0,20.0,55.0,9.0
GBJ,,,,,
BZ,575.0,30.0,,,2.3
ETH,24200.0,48.0,15.0,37.0,10.0
TM,11500.0,32.5,33.4,34.1,25.0
CZ,106200.0,5.8,40.7,53.5,9.1
PL,226700.0,7.0,38.0,55.0,21.6
CR,18400.0,,,,22.5
ET,171000.0,,,,9.4
BOL,20000.0,,,,12.0
DJI,500.0,3.0,21.0,76.0,6.0
YV,195500.0,5.0,41.0,54.0,57.0
RCH,113200.0,7.4,36.4,56.2,8.1
GAZA,1700.0,,,,5.7
HCA,10800.0,30.0,20.0,50.0,30.0
AMSA,462.2,,,,
TUV,7.8,,,,2.9
NAU,100.0,,,,-3.6
BRU,4600.0,3.0,42.0,55.0,2.4
TUCA,216.0,,,,4.0
ES,11400.0,,,,11.4
RI,710900.0,17.0,32.6,50.4,8.6
MEX,721400.0,8.5,28.4,63.1,52.0
MART,3950.0,6.0,11.0,83.0,3.9
RCB,7700.0,11.4,35.2,53.4,61.0
BVIR,133.0,,,,2.5
WAFU,60.0,,,,
WD,200.0,26.0,,,0.4
WV,240.0,24.0,33.1,42.9,-0.2
TN,37100.0,15.0,30.0,55.0,5.5
FL,630.0,,,,5.4
TT,16200.0,4.8,44.5,50.7,5.4
RSM,380.0,,,,5.5
H,72500.0,7.3,37.5,55.2,28.3
ER,2000.0,,,,10.0
PE,87000.0,,,,10.2
K,7000.0,52.0,13.5,34.5,6.0
LS,2800.0,10.4,48.8,40.8,9.5
RG,6500.0,24.0,31.0,45.0,4.1
UA,174600.0,31.0,43.0,26.0,9.0
NZ,62300.0,7.3,25.9,66.8,2.0
RCA,2500.0,50.0,14.0,36.0,45.0
NL,301900.0,3.4,26.9,69.7,2.25
D,1452200.0,1.0,34.2,64.8,
M,4400.0,,,,5.0
ARM,9100.0,57.0,36.0,7.0,32.2
DOM,26800.0,13.0,32.0,55.0,9.5
VU,210.0,,,,7.0
B,197000.0,2.0,28.0,70.0,1.6
BY,49200.0,21.0,49.0,30.0,244.0
E,565000.0,3.6,33.6,62.8,4.3
F,1173000.0,2.4,26.5,71.1,1.7
TR,345700.0,15.5,33.2,51.3,94.0
WAG,1100.0,27.0,15.0,58.0,1.7
PY,17000.0,25.7,25.8,48.5,10.5
EC,44600.0,13.0,39.0,48.0,25.0
NIUE,10.01,23.5,26.9,49.5,4.0
MD,10400.0,33.0,36.0,31.0,24.0
AG,425.0,3.5,19.3,77.2,3.5
AXA,53.0,,,,4.0
N,106200.0,2.9,34.7,62.4,2.5
SK,39000.0,6.7,47.6,45.7,7.5
PA,13600.0,10.0,16.0,74.0,1.1
FALK,105.1,,,,
RH,6500.0,34.8,23.0,42.2,14.5
GQ,325.0,47.0,26.0,27.0,41.0
WEST,3700.0,33.0,7.0,60.0,14.0
RT,4100.0,49.2,17.7,33.1,8.8
YE,37100.0,21.0,24.0,55.0,71.3
IRQ,41100.0,,,,
FARX,733.0,,,,6.8
PNG,10200.0,,,,15.0
KGZ,5400.0,,,,32.0
Z,8900.0,32.0,22.0,46.0,55.0
MACX,220400.0,0.1,2.8,97.1,6.2
A,152000.0,2.0,34.0,64.0,2.3
G,6000.0,8.2,44.7,47.1,15.0
JA,8200.0,7.9,28.1,64.0,25.5
RN,5500.0,38.5,17.9,43.6,35.6
