country,population_growth,infant_mortality
NORF,,
HELX,0.45,17.63
HONX,0.51,2.9
MACX,1.15,5.3
HR,0.58,10.2
PK,2.24,96.8
WS,2.37,34.3
NCA,1.14,7.05
A,0.41,6.2
PR,0.34,8.42
ROK,1.02,8.2
ZW,1.41,72.8
I,0.13,6.9
GUY,-0.9,51.4
ROU,0.7,15.4
TO,0.82,40.26
TL,2.03,40.65
KIR,1.89,52.9
CI,2.92,82.4
WV,0.64,16.8
,0.73,9.09
OM,3.53,27.3
MART,1.1,7.1
XMAS,,
RL,2.16,36.7
TUCA,2.56,13.89
GNB,2.35,115.8
GAZA,4.55,30.6
P,0.02,7.6
RB,1.63,54.2
Q,2.39,19.6
FPOL,1.39,7.55
JA,0.8,15.6
ET,1.91,72.8
CAYM,2.39,6.94
RP,2.18,35.9
RCH,1.24,13.6
MNE,-0.851,
TN,1.81,35.1
DJI,1.5,106.7
TCH,2.68,120.4
SLO,-0.27,7.3
IL,2.11,8.5
NOK,1.74,25.9
CV,2.93,54.3
SY,0.76,12.5
YE,3.56,71.5
ANG,2.68,138.9
SRB,-0.47,6.75
WAFU,0.35,5.02
SF,0.1,4.9
ETH,2.72,122.8
MEX,1.87,25.0
S,0.56,4.5
BHT,2.32,116.3
WG,0.55,11.9
SA,3.45,46.4
Z,2.11,96.1
NL,0.56,4.9
RG,1.85,134.1
RA,1.1,28.3
TM,1.82,81.6
SGP,1.9,4.7
BI,1.54,102.2
RCB,2.19,108.1
MYA,1.84,80.7
AZ,0.78,74.5
BS,1.05,23.3
FJI,1.28,17.4
CAM,2.89,78.7
RT,3.56,84.3
AFG,4.78,149.7
MC,0.59,6.9
BG,0.46,15.7
SMAR,,
GBG,1.28,9.2
KOS,,
AXA,2.27,3.52
BVIR,1.84,14.65
COCO,,
HCA,2.6,41.8
UZB,1.87,79.6
SPMI,0.77,9.95
RIM,3.17,81.7
D,0.67,6.0
MS,1.23,17.2
LV,-1.39,21.2
BR,1.16,55.3
FGU,3.86,14.6
GUAD,1.2,8.3
TT,0.08,18.2
BZ,2.42,33.9
KWT,6.65,11.1
ZRE,1.67,108.0
IND,1.64,71.1
BERM,0.65,2.46
BDS,0.26,18.7
LB,2.13,108.1
PL,0.14,12.4
RH,1.77,103.8
SME,1.6,29.3
SYR,3.37,40.0
BRU,2.56,24.2
RC,0.89,7.0
MV,3.52,47.0
CZ,-0.03,8.4
AND,2.96,2.2
GBZ,0.54,6.9
IRL,-0.22,6.4
KN,0.98,18.9
NAM,2.93,47.2
WSA,2.46,145.82
EW,-1.13,17.4
MOC,2.65,125.6
LAO,2.81,96.8
MAYO,3.32,56.29
RWA,16.49,118.8
IS,0.83,4.3
IR,2.21,52.7
MK,0.46,29.7
SUD,3.48,76.0
N,0.48,4.9
JOR,2.65,31.5
SVAX,-0.02,
ER,2.79,118.9
COOK,-3.3,16.9
FALK,,
TJ,0.98,39.6
SD,3.24,88.4
VIRG,-0.06,12.54
LS,1.9,81.6
GH,2.29,80.3
AMSA,1.22,10.18
TUV,1.51,27.6
C,0.44,9.0
K,2.77,107.8
GBJ,0.77,2.7
RI,1.53,63.1
THA,1.03,33.4
F,0.34,5.3
CO,1.66,25.8
GBM,0.94,2.4
NEP,2.45,79.0
STP,2.58,61.1
KGZ,0.07,77.8
SN,3.37,64.0
SLB,3.35,25.8
LT,-0.35,17.0
ARM,0.02,38.9
BEN,3.32,105.1
BIH,-2.84,43.2
E,0.16,6.3
H,-0.68,12.3
G,1.47,90.1
WEST,4.99,28.6
IRQ,3.69,60.0
USA,0.91,6.7
BF,2.53,117.8
EC,1.96,34.8
B,0.33,6.4
AG,0.76,17.2
GUAM,1.37,6.05
MW,1.71,139.9
M,1.01,6.9
WD,0.38,9.6
PITC,,
J,0.21,4.4
RSM,0.82,5.5
WAG,3.55,80.5
MAL,2.07,24.0
NZ,1.12,6.7
GE,-1.02,22.5
DZ,2.21,48.7
