river,country,province
Tennessee,USA,North Carolina
Mekong,K,Cambodia
Indus,IND,Jammu and Kashmir
Theiss,H,Hajdu Bihar
Rhein,CH,SH
Mississippi,USA,Iowa
Volga,R,Samarskaya oblast
Enns,A,Salzburg
Zambezi,MOC,Manica
Jangtse,TJ,Qinghai
Donau,H,Pest
Jordan,SYR,Syria
Volta,BF,Burkina Faso
Sanga,CAM,Est
Rio Magdalena,CO,Boyaca
Volga,R,Rep. of Tatarstan
Brahmaputra,IND,Assam
Missouri,USA,North Dakota
Jangtse,TJ,Anhui
Irtysch,R,Tyumenskaya oblast
Southern Morava,KOS,Kosovo
Amur,R,Amurskaya oblast
Argun,R,Chitinskaya oblast
Kasai,ZRE,Shaba/Katanga
Drau,I,Trentino Alto Adige
Thames,GB,Berkshire
Klaraelv,N,Hedmark
Dnjestr,UA,Odeska
Oder,PL,Legnickie
Drau,SLO,Slovenia
Western Dwina,LV,Latvia
Dnepr,UA,Kyyivska
Weichsel,PL,Kieleckie
Parana,BR,Goias
Syrdarja,UZB,Namangan
Mekong,VN,Vietnam
Amazonas,PE,Cuzco
Volga,R,Tverskaya oblast
Elbe,D,Hamburg
Thames,GB,Oxfordshire
Ganges,IND,Bihar
Thames,GB,Greater London
Cuango,ANG,Malanje
Amazonas,BR,Amazonas
Sanaga,CAM,Centre
Nile,ET,Sohag
Oder,D,Brandenburg
Lagen,N,Hedmark
Nile,ET,El Qahira
Lomami,ZRE,Haut Zaire
Limpopo,RSA,Limpopo
Saluen,MYA,Shan
Kasai,ANG,Lunda Sul
Po,I,Piemonte
Cuango,ZRE,Bandundu
Western Dwina,BY,Belarus
Bahr el-Djebel/Albert-Nil,SUD,Bahr al Ghazal
Drau,A,Carinthia
Blue Nile,ETH,Ethiopia
Iller,A,Vorarlberg
Shabelle,SP,Somalia
Aruwimi,ZRE,Haut Zaire
Oder,D,Mecklenburg Vorpommern
Allegheny River,USA,New York
Euphrat,SYR,Syria
Reuss,CH,LU
Syrdarja,KAZ,Ongtustik Qazaqstan
Orinoco,CO,Vichada
Elbe,CZ,Praha
Rhein,A,Vorarlberg
Weichsel,PL,Bielskie
Save,HR,Croatia
Goetaaelv,S,Goteborg och Bohus
Mississippi,USA,Minnesota
Paraguay,BOL,Bolivia
Morava,SRB,Serbia
Elbe,D,Mecklenburg Vorpommern
Drau,H,Baranya
Rhein,NL,Gelderland
Aare,CH,BE
Karasu,TR,Erzincan
Dnepr,UA,Dnipropetrovska
Black Drin,AL,Albania
Fulda,D,Hessen
Glomma,N,Hedmark
Rio San Juan,CR,Alajuela
Glomma,N,Oestfold
Mississippi,USA,Louisiana
Amazonas,BR,Para
Kymijoki,SF,Mikkeli
Uruguay,RA,Misiones
Ubangi,ZRE,Equateur
Niger,RG,Guinea
Olt,RO,Harghita
Zambezi,Z,Western
Nile,ET,El Minya
Weichsel,PL,Siedleckie
Vaal,RSA,Northern Cape
Inn,D,Bayern
Theiss,UA,Chernivetska
Aller,D,Niedersachsen
Akagera,EAT,Mwanza
Indus,TJ,Tibet
Hudson River,USA,New York
Hudson River,USA,New Jersey
Naryn,UZB,Toshkent
Parana,RA,Corrientes
Volga,R,Yaroslavskaya oblast
Busira,ZRE,Equateur
Rio Negro,BR,Roraima
Tshuapa,ZRE,Kasai Oriental
Weser,D,Niedersachsen
Syrdarja,TAD,Khujand
Indus,PK,Pakistan
Colorado,USA,Colorado
Pjandsh,TAD,Kulob
Parana,RA,Entre Rios
Zaire,ZRE,Haut Zaire
Ebro,E,Rioja
Olt,RO,Covasna
Saint Lawrence River,CDN,Quebec
Weichsel,PL,Warszwaskie
Euphrat,IRQ,Al Basrah
Raab,A,Styria
Pjandsh,TAD,Badakhshoni Kuni
Narva,EW,Estonia
Mekong,TJ,Yunnan
Amur,R,Khabarovskiy kray
Lech,D,Bayern
Bani,CI,Cote dIvoire
Nelson River,CDN,Manitoba
Nile,ET,Kafr el Sheikh
Orinoco,YV,Guarico
Aare,CH,SO
Rio San Juan,CR,Heredia
Amazonas,PE,Ucayali
Ganges,BD,Bangladesh
Oder,CZ,Severomoravsky
Inn,CH,GR
Dnjestr,UA,Vinnytska
Donau,D,Bayern
Ural,KAZ,Atyrau
Hwangho,TJ,Nei Monggol
Seine,F,Ile de France
Volta,GH,Ghana
Rio Magdalena,CO,Norte de Santander
Saluen,TJ,Tibet
Tigris,IRQ,Ad Tamim
Zaire,ZRE,Equateur
Karun,IR,Khuzestan
Black Drin,MK,Macedonia
Argun,TJ,Heilongjiang
Pruth,UA,Chernivetska
Cuilo,ANG,Moxico
Irawaddy,MYA,Sagaing
Jangtse,TJ,Hunan
Loire,F,Pays de la Loire
Dnjestr,UA,Ivano Frankivska
Donau,A,Vienna
Tobol,R,Kurganskaya oblast
Parana,RA,Buenos Aires
Pibor,SUD,Aali an Nil
Isere,F,Rhone Alpes
Salzach,D,Bayern
Theiss,SRB,Serbia
Senegal,RMM,Mali
Mississippi,USA,Illinois
Jenissej,R,Rep. of Khakassiya
Euphrat,IRQ,Al Muthanna
Elbe,D,Sachsen
Saskatchewan River,CDN,Manitoba
Dnepr,UA,Poltavska
