country1,country2,length
ARM,AZ,787.0
A,CH,164.0
A,CZ,362.0
A,D,784.0
B,D,167.0
CH,D,334.0
CZ,D,646.0
D,DK,68.0
AND,E,65.0
AND,F,60.0
B,F,620.0
CH,F,573.0
D,F,451.0
E,F,623.0
A,FL,37.0
CH,FL,41.0
E,GBZ,1.2
ARM,GE,164.0
AZ,GE,322.0
AL,GR,282.0
BG,GR,494.0
A,H,366.0
BIH,HR,932.0
H,HR,329.0
A,I,430.0
CH,I,740.0
F,I,488.0
AFG,IR,936.0
ARM,IR,35.0
AZ,IR,611.0
GB,IRL,360.0
IR,IRQ,1458.0
AL,KOS,112.0
BIH,KOS,225.0
B,L,148.0
IRQ,SA,814.0
CZ,PL,658.0
IL,WEST,307.0
I,RSM,39.0
GH,RT,877.0
BOL,RA,832.0
CR,NIC,309.0
R,TJ,3645.0
K,LAO,541.0
BR,GUY,1119.0
MA,WSA,443.0
BF,RT,126.0
BEN,BF,306.0
MK,SRB,62.0
BF,CI,584.0
N,S,1619.0
DOM,RH,275.0
NEP,TJ,1236.0
BOL,BR,3400.0
GNB,RG,386.0
G,RCB,1903.0
N,SF,729.0
N,R,167.0
GE,R,723.0
PE,RCH,160.0
H,SLO,102.0
RN,TCH,1175.0
DJI,ETH,337.0
KAZ,KGZ,1051.0
IND,NEP,1690.0
MYA,TJ,2185.0
BOL,RCH,861.0
BZ,MEX,250.0
D,PL,456.0
AL,MNE,172.0
CI,LB,716.0
ANG,ZRE,2511.0
JOR,SYR,375.0
RWA,ZRE,217.0
IRQ,SYR,605.0
RO,UA,531.0
CR,PA,330.0
LAR,TCH,1055.0
HR,SRB,241.0
BY,PL,605.0
BEN,WAN,773.0
H,UA,103.0
RA,RCH,5150.0
BY,UA,891.0
ET,GAZA,11.0
ET,IL,255.0
GAZA,IL,51.0
BD,IND,4053.0
BHT,IND,605.0
IL,JOR,238.0
IRQ,JOR,181.0
IRQ,KWT,242.0
BRU,MAL,381.0
BD,MYA,193.0
IND,MYA,1463.0
LAO,MYA,235.0
AFG,PK,2430.0
SA,YE,1458.0
LT,PL,91.0
CAM,WAN,1690.0
CI,RG,610.0
Z,ZRE,1930.0
RB,ZW,813.0
RMM,RN,821.0
CO,YV,2050.0
HCA,NIC,922.0
ET,SUD,1273.0
LS,RSA,909.0
RCB,ZRE,2410.0
MW,Z,837.0
K,THA,803.0
SA,UAE,457.0
RIM,WSA,1561.0
I,SLO,235.0
SUD,ZRE,628.0
BY,LV,141.0
CO,EC,590.0
RG,SN,330.0
D,NL,577.0
DZ,RN,956.0
S,SF,586.0
BIH,SRB,302.0
EAU,SUD,435.0
KOS,MNE,79.0
PL,R,206.0
MOC,ZW,1231.0
KGZ,TAD,870.0
H,RO,443.0
JOR,SA,728.0
BR,SME,597.0
AZ,TR,9.0
IR,TR,499.0
PL,SK,444.0
IR,PK,909.0
AL,MK,151.0
BI,ZRE,233.0
A,SK,91.0
H,SK,515.0
DJI,SP,58.0
RIM,SN,813.0
CZ,SK,215.0
