mountain,island
La Soufriere,Basse-Terre
Mt. Wilhelm,New Guinea
Tsiafajavona,Madagaskar
Mont Orohena,Tahiti
Morne Diablotins,Dominica
Leuser,Sumatra
Pico,Pico
Soufriere Hills,Montserrat
Yu Shan,Taiwan
Pico de Teide,Teneriffa
Barbeau Peak,Ellesmere Island
Semeru,Java
Queen Marys Peak,Tristan Da Cunha
Pico de los Nieves,Gran Canaria
Kinabalu,Borneo
Piton de la Fournaise,Reunion
Haleakala,Maui
Pulog,Luzon
Oraefajokull,Iceland
Fogo,Fogo
Mantalingajan,Palawan
Krakatau,Krakatau
Soufriere,Saint Vincent
Mauna Kea,Hawaii
Pico Duarte,Hispaniola
Mt. Balbi,Bougainville
Rantekombola,Sulawesi
Mt. Giluwe,New Guinea
Tambora,Sumbawa
Zhima,Olkhon
Monte Cinto,Corse
Mt. Babel,Rene Levasseur Island
Psiloritis,Kreta
Mt.Victoria,Viti Levu
Gunung Agung,Bali
Kerinci,Sumatra
Snaefell,Iceland
Olympos,Cyprus
Pelee,Martinique
Merapi,Java
Rinjani,Lombok
Asahi-Dake,Hokkaido
Pico Ruivo,Madeira
Blue Mountain Peak,Jamaica
Ruapehu,Te Ika-a-Maui (North Island)
Piton des Neiges,Reunion
Roque de los Muchachos,La Palma
Tsaratanana,Madagaskar
Pico Basile,Bioko
Popomanaseu,Guadalcanal
Pico de Sao Tome,Sao Tome
Mt. Cook,Te Waka-a-Maui (South Island)
Cerro de Punta,Puerto Rico
Gunung Binaiya,Ceram
Puncak Jaya,New Guinea
Tatamailau,Timor
Silisili,Savaii
Ben Nevis,Great Britain
Pinatubo,Luzon
Mount Apo,Mindanao
Pico Turquino,Cuba
Kanlaon,Negros
Mt. Odin,Baffin Island
Andringitra,Madagaskar
Etna,Sicilia
Concepcion,Isla da Ometepe
Mauna Loa,Hawaii
