orderid,productid,unitprice,quantity,discount
10370,1,14.4,15,0.0
10407,71,17.2,15,0.0
10478,10,24.8,20,0.0
10872,65,21.05,21,0.0
10604,48,12.75,6,0.0
10536,60,34.0,35,0.0
10383,56,30.4,20,0.0
10934,6,25.0,20,0.0
11025,1,18.0,10,0.0
10411,44,15.5,40,0.0
10677,26,31.23,30,0.0
10951,33,2.5,15,0.0
10753,74,10.0,5,0.0
10875,49,20.0,15,0.0
10403,48,10.2,70,0.0
10939,67,14.0,40,0.0
10303,65,16.8,30,0.0
10307,68,10.0,3,0.0
10720,71,21.5,8,0.0
11065,30,25.89,4,0.0
10935,18,62.5,4,0.0
10295,56,30.4,4,0.0
10963,60,34.0,2,0.0
10812,77,13.0,20,0.0
10512,47,9.5,6,0.0
10486,51,42.4,25,0.0
10723,26,31.23,15,0.0
11032,36,19.0,35,0.0
11062,53,32.8,10,0.0
10541,38,263.5,4,0.0
10787,29,123.79,20,0.0
10321,35,14.4,10,0.0
10249,51,42.4,40,0.0
10810,70,15.0,5,0.0
10362,51,42.4,20,0.0
10603,49,20.0,25,0.0
10969,46,12.0,9,0.0
10909,41,9.65,5,0.0
11077,60,34.0,2,0.0
10265,70,12.0,20,0.0
10691,43,46.0,40,0.0
10571,42,14.0,28,0.0
10458,28,36.4,30,0.0
10703,73,15.0,35,0.0
10566,76,18.0,10,0.0
10455,71,17.2,30,0.0
10712,56,38.0,30,0.0
10793,41,9.65,14,0.0
10618,6,25.0,70,0.0
10402,63,35.1,65,0.0
10355,24,3.6,25,0.0
10623,24,4.5,3,0.0
10408,62,39.4,35,0.0
10536,12,38.0,15,0.0
11015,30,25.89,15,0.0
10340,41,7.7,12,0.0
10923,43,46.0,10,0.0
11022,19,9.2,35,0.0
10698,11,21.0,15,0.0
11017,59,55.0,110,0.0
11064,68,12.5,55,0.0
10779,62,49.3,20,0.0
10738,16,17.45,3,0.0
10337,72,27.8,25,0.0
10995,60,34.0,4,0.0
10336,4,17.6,18,0.0
11077,20,81.0,1,0.0
10834,30,25.89,20,0.0
10687,36,19.0,6,0.0
10566,18,62.5,18,0.0
10252,33,2.0,25,0.0
10340,43,36.8,40,0.0
10264,2,15.2,35,0.0
10445,39,14.4,6,0.0
10451,55,19.2,120,0.0
10833,7,30.0,20,0.0
10462,23,7.2,21,0.0
10553,31,12.5,30,0.0
10973,26,31.23,5,0.0
10467,25,11.2,12,0.0
10788,75,7.75,40,0.0
10307,62,39.4,10,0.0
10262,5,17.0,12,0.0
10363,31,10.0,20,0.0
10625,60,34.0,10,0.0
10609,10,31.0,10,0.0
11033,69,36.0,36,0.0
10968,12,38.0,30,0.0
10263,24,3.6,28,0.0
11072,64,33.25,130,0.0
10517,70,15.0,6,0.0
10248,72,34.8,5,0.0
10489,11,16.8,15,0.0
10393,26,24.9,70,0.0
10436,46,9.6,5,0.0
10854,10,31.0,100,0.0
10994,59,55.0,18,0.0
10555,19,9.2,35,0.0
11064,55,24.0,4,0.0
10694,59,55.0,25,0.0
10575,72,34.8,30,0.0
10748,23,9.0,44,0.0
11077,75,7.75,4,0.0
10383,50,13.0,15,0.0
10748,40,18.4,40,0.0
