name,mountains,height,type,longitude,latitude
Пуи-де-Коме,Севенны,1465.0,вулканическое,3.0,45.8
Саректжокко,,2090.0,,17.4,67.3
Серро-де-Пунта,,1338.0,,-66.6,18.2
Мауна Луа,Гавайи,4170.0,вулкан,-155.6,19.5
Зугспитц,Альпы,2963.0,,11.1,47.3
Короли пик,Скалистые горы,4123.0,,-110.4,40.5
Grosser Arber,Байришер Уолд,1456.0,,13.0,49.1
Mt Hood,Диапазон каскадов,3424.0,вулкан,-121.5,45.2
Lhotsse,Гималаи,8516.0,,86.9,28.0
Мулхасен,Кордильера Бетика,3482.0,,3.3,37.0
Монкайо,Кордильера Иберика,2313.0,,1.85,41.8
Пулог,,2928.0,вулканическое,121.0,17.0
K2,Каракорум,8611.0,,76.5,35.9
Пико Руиво,Мадейра,1861.0,вулканическое,-16.0,31.0
Пик Чан-Тенгри,Тянь Шан,6995.0,,80.0,43.0
Гваннадальшнюкур,,2110.0,вулканическое,-16.7,64.1
Суфриер,,1220.0,вулкан,-61.2,13.35
Керинчи,,3805.0,вулкан,101.45,-1.7
Leuser,,3466.0,вулканическое,98.0,3.0
Pico de los Nieves,Канарские острова,1949.0,вулкан,-15.6,25.95
Мармолата,Альпы,3343.0,,11.85,46.4
Пико де Ането,Пиренеи,3404.0,,0.65,42.6
Катла,,1450.0,вулкан,-19.0,63.6
Mt Blackburn,Горы Вранжелла,4996.0,вулкан,-143.4,61.7
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Котопакси,Анды,5897.0,вулкан,-78.4,-0.7
Канлаон,,2435.0,вулкан,123.1,10.4
Канчендзонга,Гималаи,8586.0,,88.1,27.7
Мт МакКинли,Диапазон Аляски,6193.0,,-151.0,63.1
Гросслокнер,Альпы,3797.0,,12.5,47.0
Мт Сент-Элиас,Диапазон Элайаса,5489.0,,-140.9,60.3
Семеру,,3676.0,вулкан,112.9,-8.1
Виньмейл,Пиренеи,3298.0,,0.15,42.8
Пик Карл-Маркс,Памир,6726.0,,71.3,38.0
Мт Ваддингтон,Прибрежные горы,4019.0,,-125.26,51.4
Пико де Сан-Томе,,2024.0,вулканическое,6.6,0.2
Монте Роза,Альпы,4634.0,,7.9,45.9
Чо Ою,Гималаи,8188.0,,86.65,28.35
Рантекомбола,,3455.0,вулканическое,120.0,-3.6
Диаблотины морна,,1447.0,вулкан,-61.4,15.5
Широкий пик,Каракорум,8051.0,,76.6,35.8
Tatamailau,,2963.0,,125.5,-8.9
