city,province,country,river,lake,sea
Вальядолид,Кастиль и Леон,E,Доуро,,
Долина,Ангилья,AXA,,,Атлантический океан
Бастер,Сент-Китс и Невис,KN,,,Карибское море
Висбаден,Гессен,D,Главное,,
Эль-Гиза,Эль-Гиза,ЕТ,Нил,,
Скикда,Алжир,DZ,,,Средиземное море
Фарем,Гэмпшир,ГБ,,,Канал
Тромсоэ,Тромы,Н,,,Норвежское море
Галифакс,Новая Шотландия,КН,,,Атлантический океан
Торшавн,Фарерские острова,FARX,,,Норвежское море
Охотск,Магаданская область,Р,,,Охотское море
Сафи,Марокко,МЭТ,,,Атлантический океан
Сан-Томе,Сан-Томе и Принсипи,ПДТ,,,Атлантический океан
Вила Велья,Духовный дух Санто,КР,,,Атлантический океан
Сарагоза,Арагон,E,Эбро,,
Каваратти,Лаксхадвип - это.,СИН,,,Арабское море
Тунис,Тунис,TN,,,Средиземное море
Чонгцинь,Сычуань,ТДж,Янгце,,
Кобе,Хиого,J,,,Тихоокеанский океан
Залив Колвин,Аберконви и Колвин,ГБ,,,Ирландское море
Паго-Паго,Американское Самоа,АМСА,,,Тихоокеанский океан
Кастри,Сент-Люсия,WL,,,Карибское море
Панама,Панама,ПА,,,Тихоокеанский океан
Омск,Омская область,Р,Иртыш,,
Независимость,Миссури,США,Миссури,,
Буффало,Нью-Йорк,США,,Озеро Эри,
Нукуалофа,Тонга,К,,,Тихоокеанский океан
Маристад,Skaraborg,И,,Валенерн,
Замбоанга,Филиппины,РП,,,Море Сулавеси
Петропавль,Солтустик Казакстан,KAZ,Ишим,,
Ла Коруна,Галисия,E,,,Атлантический океан
Кастельон де ла Плана,Валенсия,E,,,Средиземное море
Мамуцу,Майотта,Мэйо,,,Индийский океан
Архангелск,Архангельская область,Р,Северная Двина,,Море Баренцев
Вааса,Вааса,SF,,,Балтийское море
Хайфа,Хайфа,Ил,,,Средиземное море
Инсбрук,Тирол,A,Интенсивность,,
Кенитра,Марокко,МЭТ,,,Атлантический океан
Варанаси,Уттар-Прадеш,СИН,Габариты,,
Турку,Турку-Пори,SF,,,Балтийское море
Лиллегаммер,Оппленд,Н,,Мьоза-Смотри.,
Порт Святого Петра,Гернси,ГБГ,,,Канал
Доностия,Страна Басков,E,,,Атлантический океан
Дубай,Дюбай,ОАЭ,,,Персидский залив
Бужумбура,Бурунди,БИ,,Озеро Танганджика,
Кременчук,Полтавска,UA,Днепр,,
Тронхайм,Тронделаг,Н,,,Норвежское море
Порту-Алегри,Рио-Гранди-ду-Сул,КР,,,Атлантический океан
Стинкер,Норд Тронделаг,Н,,,Норвежское море
Джордж Таун,Каймановы острова,Кейм,,,Карибское море
Буффало,Нью-Йорк,США,,Озеро Эри,
Пори,Турку-Пори,SF,Кокемаенейоки,,
Турин,Пьемонт,I,Po,,
Дедедо,Гуам,ГУАМ,,,Тихоокеанский океан
Сантос,Сан-Паулу,КР,,,Атлантический океан
Ибин,Сычуань,ТДж,Янгце,,
Курган,Курганская область,Р,Тобол,,
Краков,Краковски,PL,Вейксель,,
Саутенд в море,Эссекс,ГБ,Темба,,Северное море
Гамбург,Гамбург,D,Эльба,,
Абу-Даби,Абу-Даби,ОАЭ,,,Персидский залив
Верона,Венето,I,Etsch,,
Хоррамшахр,Хузестан,IR,Карун,,
Рованиеми,Лаппия,SF,Унасджоки,,
Кагосима,Кагосима,J,,,Восточно-Китайское море
Санта-Фе,Санта-Фе,РЭ,Парана,,
