island,sea,lake,river
Хонсю,Японское море,,
Сашалин,Охотское море,,
Джерси,Канал,,
Озель,Балтийское море,,
Мартиника,Атлантический океан,,
Паней,Море Сулавеси,,
Лузон,Южно-Китайское море,,
Антигуа,Атлантический океан,,
Доминика,Атлантический океан,,
Остров Кангару,Индийский океан,,
Вулкан,Средиземное море,,
Лефкас,Средиземное море,,
Корво,Атлантический океан,,
Бахрейн,Персидский залив,,
Ла-Пальма,Атлантический океан,,
Индонезия,Атлантический океан,,
Бали,Сундское море,,
Маврикий,Индийский океан,,
Борнео,Южно-Китайское море,,
Куба,Мексиканский залив,,
Анжуан,Индийский океан,,
Арран,Атлантический океан,,
Гран Канариа,Атлантический океан,,
Остров Виктория,Северный Ледовитый океан,,
Большой Кайман,Карибское море,,
Стреймой,Норвежское море,,
Самар,Море Сулавеси,,
Вестрей,Северное море,,
Сент-Люсия,Атлантический океан,,
Суматра,Малаккский пролив,,
Порту Санто,Атлантический океан,,
Остров Сан-Мигель,Тихоокеанский океан,,
Тринидад,Атлантический океан,,
Скай,Атлантический океан,,
Бишоп Рок,Атлантический океан,,
Суматра,Андаманское море,,
Гешм,Арабское море,,
Олкхон,,Ozero Baykal,
Сент-Люсия,Карибское море,,
Вангерож,Северное море,,
Остров Котельни,Северный Ледовитый океан,,
Новая Гвинея,Тихоокеанский океан,,
Остров Бэнкс,Северный Ледовитый океан,,
Сайпан,Тихоокеанский океан,,
Воссоединение,Индийский океан,,
Ниихау,Тихоокеанский океан,,
Миндоро,Южно-Китайское море,,
Аруба,Карибское море,,
Питкэрн,Тихоокеанский океан,,
Суматра,Сундское море,,
Эфат,Тихоокеанский океан,,
Микелон-Ланглайд,Атлантический океан,,
Ньюфаундленд,Атлантический океан,,
Кюсю,Тихоокеанский океан,,
Пемба,Индийский океан,,
Науру,Тихоокеанский океан,,
Сансибар,Индийский океан,,
Монтсеррат,Карибское море,,
Окинава,Тихоокеанский океан,,
Юра,Атлантический океан,,
Принсипи,Атлантический океан,,
Сан-Томе,Атлантический океан,,
Кипр,Средиземное море,,
Остров Ванкувер,Тихоокеанский океан,,
Льюис и Харрис,Атлантический океан,,
Оаху,Тихоокеанский океан,,
Большие Бермудские острова,Атлантический океан,,
Гренландия,Норвежское море,,
Вити Леву,Тихоокеанский океан,,
Мужской,Индийский океан,,
Сашалин,Японское море,,
Сулавеси,Сундское море,,
Сингапур,Южно-Китайское море,,
Сокотра,Аденский залив,,
Те Вака-а-Мауи (Южный остров),Тихоокеанский океан,,
Пулау Панжанг,Индийский океан,,
Корфу,Средиземное море,,
Ангилья,Карибское море,,
Ниуэ,Тихоокеанский океан,,
Фого,Атлантический океан,,
Айла да Ометепе,,озеро Никарагуа,
Санта-Мария,Атлантический океан,,
Хоккайдо,Охотское море,,
Минданао,Море Сулавеси,,
Бенбекула,Атлантический океан,,
Великобритании,Канал,,
Тайвань,Южно-Китайское море,,
Гелголенд,Северное море,,
Италия,Атлантический океан,,
Кефалиния,Средиземное море,,
Парамушчир,Охотское море,,
Боркум,Северное море,,
Сашалин,Японское море,,
Углы,Ирландское море,,
Остров Св. Елены,Атлантический океан,,
Остров Сан-Мигель,Тихоокеанский океан,,
Косс,Средиземное море,,
Батам,Южно-Китайское море,,
Руген,Северное море,,
Куба,Атлантический океан,,
Липари,Средиземное море,,
Стреймой,Норвежское море,,
Лаван,Арабское море,,
Ломбок,Индийский океан,,
Молокай,Тихоокеанский океан,,
Себу,Море Сулавеси,,
Гешм,Арабское море,,
Гран-Терре,Атлантический океан,,
Остров Санта-Каталина,Тихоокеанский океан,,
Сент-Томас,Карибское море,,
Вангерож,Северное море,,
Мартиника,Атлантический океан,,
Негры,Море Сулавеси,,
Панорама,Средиземное море,,
Бенбекула,Атлантический океан,,
Сокотра,Индийский океан,,
Гозо,Средиземное море,,
Свальбард,Северный Ледовитый океан,,
Тенерифа,Атлантический океан,,
Суматра,Индийский океан,,
Изабель,Тихоокеанский океан,,
Иерро,Атлантический океан,,
Борнео,Сундское море,,
Бангка,Южно-Китайское море,,
Басс-Терре,Карибское море,,
Бальтрум,Северное море,,
Корво,Атлантический океан,,
Сент-Мартин,Атлантический океан,,
Харк,Арабское море,,
Испаньола,Карибское море,,
Закинтос,Средиземное море,,
Бахрейн,Персидский залив,,
Хонсю,Тихоокеанский океан,,
Корс,Средиземное море,,
Самос,Средиземное море,,
Хой,Северное море,,
Скай,Атлантический океан,,
Тайвань,Восточно-Китайское море,,
Фальстер,Балтийское море,,
Басс-Терре,Атлантический океан,,
Тимор,Сундское море,,
Льюис и Харрис,Атлантический океан,,
Сицилия,Средиземное море,,
Лансароте,Атлантический океан,,
Вознесения,Атлантический океан,,
Мужской,Индийский океан,,
Уполу,Тихоокеанский океан,,
Большой Кайман,Карибское море,,
Мах,Индийский океан,,
Джерси,Канал,,
Сайпан,Тихоокеанский океан,,
Остров Бэнкс,Северный Ледовитый океан,,
Монтсеррат,Атлантический океан,,
Филикуди,Средиземное море,,
Хоккайдо,Охотское море,,
Аландская,Балтийское море,,
Хонсю,Японское море,,
Сент-Томас,Атлантический океан,,
Сашалин,Охотское море,,
Микелон-Ланглайд,Атлантический океан,,
Авст-Вагои,Норвежское море,,
Вестрей,Северное море,,
Ангилья,Карибское море,,
Сулавеси,Море Сулавеси,,
Майотта,Индийский океан,,
Западный Фолкленд,Атлантический океан,,
Тайвань,Тихоокеанский океан,,
Шетландский материк,Норвежское море,,
Пико,Атлантический океан,,
Фого,Атлантический океан,,
Площадь,Каттегат,,
Сокотра,Индийский океан,,
Дагое,Балтийское море,,
Кюсю,Японское море,,
Остров Котельни,Сибирианское море,,
Кауай,Тихоокеанский океан,,
Лампедуза,Средиземное море,,
Кефалиния,Средиземное море,,
Рота,Тихоокеанский океан,,
Рум,Атлантический океан,,
Кипр,Средиземное море,,
Гран Канариа,Атлантический океан,,
Лейт,Море Сулавеси,,
Новая Гвинея,Тихоокеанский океан,,
Шри-Ланка,Индийский океан,,
Гран-Терре,Карибское море,,
Вестрей,Северное море,,
Антигуа,Атлантический океан,,
Харк,Арабское море,,
Чиос,Средиземное море,,
Остров Св. Елены,Атлантический океан,,
Гуам,Тихоокеанский океан,,
Шетландский материк,Норвежское море,,
Мартиника,Атлантический океан,,
Свальбард,Норвежское море,,
Мауи,Тихоокеанский океан,,
Борнео,Южно-Китайское море,,
Корс,Средиземное море,,
Новая Гвинея,Сундское море,,
Организация &lt; &lt; Новая Каледония &gt; &gt;,Тихоокеанский океан,,
Остров Котельни,Северный Ледовитый океан,,
Сент-Китс,Карибское море,,
Остров Сан-Клементе,Тихоокеанский океан,,
Ниихау,Тихоокеанский океан,,
Остров Виктория,Северный Ледовитый океан,,
Корор,Тихоокеанский океан,,
Воссоединение,Индийский океан,,
Лейт,Тихоокеанский океан,,
Ангилья,Атлантический океан,,
Паней,Море Сулавеси,,
Самосир,,Озеро Тоба,
Фехмарн,Северное море,,
Льюис и Харрис,Атлантический океан,,
Гранд-Тёрк,Атлантический океан,,
Сашалин,Охотское море,,
Корво,Атлантический океан,,
Форментера,Средиземное море,,
Бали,Индийский океан,,
Доминика,Карибское море,,
Полезность,Балтийское море,,
Шикоку,Тихоокеанский океан,,
Корфу,Средиземное море,,
Басс-Терре,Карибское море,,
Остров Санта-Каталина,Тихоокеанский океан,,
Линоза,Средиземное море,,
Остров Эллесмир,Северный Ледовитый океан,,
Доминика,Карибское море,,
Паней,Море Сулавеси,,
Антигуа,Атлантический океан,,
Льюис и Харрис,Атлантический океан,,
Бенбекула,Атлантический океан,,
Аландская,Балтийское море,,
Липари,Средиземное море,,
Тексель,Северное море,,
Новая Гвинея,Сундское море,,
Новое Провидение,Атлантический океан,,
Филикуди,Средиземное море,,
Сент-Винсент,Атлантический океан,,
Остров Сан-Мигель,Тихоокеанский океан,,
Хоккайдо,Тихоокеанский океан,,
Гозо,Средиземное море,,
Палаван,Море Сулавеси,,
Сумбава,Сундское море,,
Салина,Средиземное море,,
Фейлиал,Атлантический океан,,
Гренландия,Норвежское море,,
Остров Котельни,Северный Ледовитый океан,,
Лузон,Тихоокеанский океан,,
Увеа,Тихоокеанский океан,,
Невис,Атлантический океан,,
Италия,Норвежское море,,
Ангилья,Карибское море,,
Оаху,Тихоокеанский океан,,
Окинава,Тихоокеанский океан,,
"Оркни, материковая область",Северное море,,
Сокотра,Аденский залив,,
Крета,Средиземное море,,
Амрум,Северное море,,
Кюсю,Японское море,,
Новое Провидение,Атлантический океан,,
Остров Мэн,Ирландское море,,
Гренландия,Северный Ледовитый океан,,
Баламхуап,Тихоокеанский океан,,
Южный Рональдси,Северное море,,
Гран-Терре,Атлантический океан,,
Паней,Море Сулавеси,,
Вознесения,Атлантический океан,,
Самос,Средиземное море,,
Норт-Уист,Атлантический океан,,
Ломбок,Индийский океан,,
Тонгатапу,Тихоокеанский океан,,
Остров Рене Левассеур,,Озеро Маникуаган,
Ниихау,Тихоокеанский океан,,
Микелон-Ланглайд,Атлантический океан,,
Бангка,Сундское море,,
Суматра,Индийский океан,,
Грязный червь,Северное море,,
Южное Уист,Атлантический океан,,
Майотта,Индийский океан,,
Бишоп Рок,Атлантический океан,,
Тобаго,Атлантический океан,,
Борнео,Южно-Китайское море,,
Айла да Ометепе,,озеро Никарагуа,
Сингапур,Южно-Китайское море,,
Индонезия,Карибское море,,
Лолланд,Балтийское море,,
Великобритании,Северное море,,
Антигуа,Атлантический океан,,
Организация &lt; &lt; Новая Каледония &gt; &gt;,Тихоокеанский океан,,
Те Вака-а-Мауи (Южный остров),Тихоокеанский океан,,
Манитулен,,Озеро Гурон,
