lake,country,province
Лак Леман,CH,ГЭ
Озеро Виннипесауке,США,Нью-Гэмпшир
Лаго Маггиоре,CH,TI
Ozero Balchash,KAZ,Жамбил
Бодензе,CH,SG
Озеро Урмия,IR,Азарбайян и Гарбт
Маеларен,И,Стокгольм
Озеро Кариба,ZW,Зимбабве
озеро Сакакавеа,США,Северная Дакота
Озеро Сесе Секо/Альбертзе,ЕАС,Уганда
Озеро Форт-Пек,США,Монтана
Пейджаенн,SF,Суоми
Сильвян,И,Даларна
Чадское озеро,КАМ,Северная крайность
Веттерн,И,Остерготленд
Озеро Онтарио,КН,Онтарио
Атлинское озеро,КН,Британская Колумбия
Валенерн,И,Вармленд
Озеро Хьюм,AUS,Новый Южный Уэльс
Лак Леман,F,Рон-Алпес
Озеро Гурон,КН,Онтарио
Озеро Сесе Секо/Альбертзе,ЗРЕ,Верхний Заир
Озеро Гурон,США,Мичиган
Озеро Эри,США,Пенсильвания
Озеро Танганджика,Z,Северный
Мертвое море,ЗАХОД,Западный берег
Озеро Мичиган,США,Индианаa
Озеро Аббе,ЭТО,Эфиопия
Жуй Бахир,ЭАК,Восточная
Ozero Aral,Юзеф,Каракальпогистон
Озеро Руква,ЕАТ,Табора
Озеро Шампанское,США,Вермонт
Ozero Baykal,Р,Иркутская область
Озеро Пауэлл,США,Аризона
Озеро Иразу,ЧР,Картаго
Лак Леман,CH,VS
Озеро Преспа,ГР,Дхитики Македония
Ozero Chanka,Р,Приморский крей
Рутанзиге/Эдардзе,ЕАС,Уганда
Цюрихсэ,CH,GL
Великолепное медвежье озеро,КН,Северо-западные территории
Озеро Руква,ЕАТ,Мбея
Озеро Босумтви,GH,Гана
Озеро Туркана,ЭАК,Восточная
Соль &lt; &lt; Этоша &gt; &gt;,ДН,Намибия
Озеро Титикака,БОЛ,Боливия
Саймаа,SF,Кими
Верхнее озеро,США,Висконсин
Озеро Тоба,РИ,Индонезия
Атлинское озеро,КН,Территория Юкон
Каспийское море,KAZ,Мангистау
Саймаа,SF,Микели
Туннели,CH,БУДЬ
Чадское озеро,TCH,Чад
Старнбергер См.,D,Байерн
Озеро Пауэлл,США,Юта
Цюрихсэ,CH,ZH
Каспийское море,ТМ,Балканские острова
Озеро Скутари,AL,Австралия
"Дэриаш, ты, Намак",IR,Тегеран
Лох-Ломонд,ГБ,Нагорья
Каспийское море,Р,Республика Дагестан
Озеро Урмия,IR,Азарбайян и Шарки
Веттерн,И,Оребро
Озеро Мверу,ЗРЕ,Шаба/Катанга
Озеро Виннипег,КН,Манитоба
Озеро Кариба,Z,Южный
Озеро Оахе,США,Северная Дакота
Верхнее озеро,США,Миннесота
Ozero Onega,Р,Ленинградская область
Крейтерское озеро Ликанкабур,RCH,Чили
Озеро Насер,ЕТ,Асван
озеро Никарагуа,НИК,Никарагуа
Ozero Aral,KAZ,Кызылорда
Ozero Pskovskoje,Р,Псковская область
Чимси,D,Байерн
Озеро Кебан,ТR,Тунсели
Озеро Виктория,ЕАТ,Мара
Маеларен,И,Вазманленд
Vierwaldstattersee,CH,ОЖ
Озеро Малави,МПК,Ньяса
Озеро Малави,ЕАТ,Иринга
Озеро Нипигон,КН,Онтарио
Лаго-ди-Комо,I,Ломбардия
Каспийское море,KAZ,Атырау
Лаго Трасимено,I,Тоскана
Озеро Шампанское,США,Нью-Йорк
Озеро Аббе,ДСО,Джибути
Озеро Виктория,ЕАТ,Мванза
Озеро Маниту,КН,Онтарио
Верхнее озеро,КН,Онтарио
Озеро Насер,СУД,Эш Шамалия
Каспийское море,AZ,Азербайджан
Озеро Шампанское,КН,Квебек
Озеро Тахо,США,Невада
Озеро Чилва,МПК,Ньяса
Озеро Титикака,ПЭ,Пуно
Ozero Balchash,KAZ,Алма-Ата (муниципалитет)
Озеро Кебан,ТR,Малатья
Vierwaldstattersee,CH,НО
Озеро Эри,КН,Онтарио
Озеро Скутари,МНП,Черногория
озеро Никарагуа,ЧР,Алахуэла
Ozero Balchash,KAZ,Жезкацган
Озеро Туркана,ЭАК,Лифтовая долина
Озеро Танганджика,ЗРЕ,Шаба/Катанга
Озеро Бангвеулу,Z,Северный
Озеро Эри,США,Мичиган
Лахер Маар,D,Rheinland Pfalz
Озеро Маракайбо,YV,Зулия
&lt; &lt; Полиция &gt; &gt;,I,Ломбардия
Озеро Бангвеулу,Z,Луапула
Ozero Ladoga,Р,Ленинградская область
&lt; &lt; Нам Ко &gt; &gt;,ТДж,Тибет
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Санта-Фе
Сторуман,И,Вастерботтен
Озеро Охрид,AL,Австралия
Лох-Несс,ГБ,Стратклид
Озеро Танганджика,ЕАТ,Кигома
Озеро Виктория,ЕАТ,Кагера
Озеро Малави,ЕАТ,Рувума
Хамун и Джаз Мурьян,IR,Систан и Белучестан
Салар де Уюни,БОЛ,Боливия
Озеро Виктория,ЕАС,Уганда
Кентуккиское озеро,США,Кентукки
Арресо,ДК,Дания
Озеро Киву,ЗРЕ,Киву
Каллавеси,SF,Куопио
Кентуккиское озеро,США,Теннесси
Озеро Тана,ЭТО,Эфиопия
Каспийское море,Р,Астраханская область
Пирамидское озеро,США,Невада
Чадское озеро,ВАН,Нигерия
Балатон,Н,Веспрем
Бодензе,D,Байерн
Озеро Виктория,ЭАК,Западный
Озеро Танганджика,ЕАТ,Табора
Озеро Окечоби,США,Флорида
Ozero Taimir,Р,Красноярский крей
Ozero Pskovskoje,ЭВ,Литва
Озеро Преспа,MK,Чешская Республика
Озеро Мичиган,США,Мичиган
Франклин Д. Рузвельтское озеро,США,Вашингтон
Великое Невольничье озеро,КН,Северо-западные территории
Озеро Мид,США,Невада
Каспийское море,IR,Мазандаран
Vierwaldstattersee,CH,LU
Озеро Киога,ЕАС,Уганда
Озеро Мичиган,США,Иллинойс
Балатон,Н,Зала
Веттерн,И,Skaraborg
Ozero Baykal,Р,Республика Бурьятия
Озеро Виктория,ЭАК,Ньянза
Озеро Манагуа,НИК,Никарагуа
Озеро Тахо,США,Калифорния
Ozero Onega,Р,Респондент Карелии
Жуй Бахир,ЭТО,Эфиопия
Рутанзиге/Эдардзе,ЗРЕ,Киву
Веттерн,И,Джонкопинг
Озеро Кебан,ТR,Элазиг
Озеро Чилва,МВт,Малави
Лаго Маггиоре,I,Пьемонт
Озеро Нгами,РБ,Ботсвана
Озеро Абайя,ЭТО,Эфиопия
Бодензе,D,Баден Вуртемберг
Лаго Маггиоре,I,Ломбардия
Озеро Мид,США,Аризона
Vierwaldstattersee,CH,SZ
Оулуярви,SF,Оулу
Озеро Айаси,ЕАТ,Аруша
Крейтерское озеро Ликанкабур,БОЛ,Боливия
Пейджаенн,SF,Хеме
Балатон,Н,Фейер
Озеро Эри,США,Нью-Йорк
Лох-Несс,ГБ,Центральный
Лаго-де-Чапала,МЕКС,Халиско
Озеро Каинджи,ВАН,Нигерия
Каспийское море,IR,Гилан
Бодензе,A,Ворарльберг
Озеро Натрон,ЕАТ,Аруша
Озеро Женезарет,Ил,Север
Озеро Охрид,MK,Чешская Республика
Озеро Туркана,ЭТО,Эфиопия
Озеро Ван,ТR,Ван
Озеро Танганджика,ЗРЕ,Киву
Валенерн,И,Альвсборг
Аммерзе,D,Байерн
Балатон,Н,Сомоги
&lt; &lt; Полиция &gt; &gt;,I,Венето
Лоп Нор,ТДж,Синьцзян Уйгур
Иссык-Куль,KGZ,Кыргызстан
Лаго Трасимено,I,Умбриа
Озеро Берли Гриффин,AUS,Австралийская столичная территория
Озеро Маракайбо,YV,Мерида
Lago de Sobradinho,КР,Баия
&lt; &lt; Лагуна Мар Чикита &gt; &gt;,РЭ,Кордоба
Озеро Преспа,AL,Австралия
Лак Леман,CH,VD
озеро Сакакавеа,США,Монтана
Соль Makarikari Pan,РБ,Ботсвана
Ozero Ladoga,Р,Респондент Карелии
