country1,country2,length
Ил,СИР,76.0
МЕКС,США,3326.0
PY,РЭ,1880.0
КАМ,TCH,1094.0
ЕАС,СУД,435.0
Р,ТДж,3645.0
KAZ,ТМ,379.0
AZ,ГЭ,322.0
БРУ,ТЗА,381.0
КР,CO,1643.0
Бен,РТ,644.0
МПК,Z,419.0
ЕТ,Ил,255.0
Н,Р,167.0
ARM,AZ,787.0
KGZ,ТДж,858.0
ТЗА,ТА,506.0
СУД,ЗРЕ,628.0
БГ,ОПП,318.0
BF,РТ,126.0
РММ,РН,821.0
E,Р,1214.0
АНГ,Z,1110.0
PL,UA,428.0
PL,Р,206.0
E,ГБЦ,1.2
RSA,ZW,225.0
I,SLO,235.0
РБ,RSA,1840.0
ДОМ,РЧ,275.0
SK,UA,90.0
КР,ФГУ,673.0
РИ,ТЛ,228.0
DZ,РММ,1376.0
ЭВ,ЛВ,267.0
I,V,3.2
ГНБ,SN,338.0
ЭАК,ЕАТ,769.0
KAZ,Р,6846.0
Газа,Ил,51.0
I,РШМ,39.0
CI,ЛБ,716.0
AFG,ТМ,744.0
ЕАТ,МВт,475.0
A,Н,366.0
РИМ,SN,813.0
ЛВ,Р,217.0
MD,RO,450.0
МЬЯ,ТА,1800.0
ЛБ,ВАЛ,306.0
КР,ПЭ,1560.0
CI,РММ,532.0
Ил,RL,79.0
BF,РН,628.0
A,CZ,362.0
АНГ,ДН,1376.0
RO,ОПП,476.0
D,L,138.0
БиГ,KOS,225.0
БИ,ЗРЕ,233.0
БОЛ,КР,3400.0
РСС,СУД,1165.0
ЕАТ,МПК,756.0
КР,PY,1290.0
G,КБК,1903.0
ЧП,ЭТО,912.0
Парень,МСП,600.0
Бен,BF,306.0
И ДОЛЖНОСТНЫЕ ЛИЦА,E,65.0
ЭАК,СП,682.0
КР,YV,2200.0
СУД,TCH,1360.0
F,МК,4.4
ЕАТ,РВА,217.0
ЕАС,РВА,169.0
AFG,IR,936.0
ГЭ,Р,723.0
AFG,Юзеф,137.0
ТДж,VN,1281.0
ТМ,Юзеф,1621.0
ЧР,НИК,309.0
ИРК,JOR,181.0
ES,СУА,203.0
ДСО,СП,58.0
ЛАР,РН,354.0
,СМАРТ,15.0
СИН,МЬЯ,1463.0
TCH,ВАН,87.0
БД,МЬЯ,193.0
БГ,ГР,494.0
AZ,IR,611.0
CI,RG,610.0
D,Нл,577.0
МПК,МВт,1569.0
КР,Парень,1119.0
KGZ,Юзеф,1099.0
ЕАС,ЗРЕ,765.0
МПК,RSA,491.0
РОУ,ОАЭ,410.0
ПК,ТДж,523.0
A,SK,91.0
ES,HCA,342.0
Бен,РН,266.0
ЛТ,ЛВ,453.0
ЭАК,ЕАС,933.0
КАМ,ВАН,1690.0
ЭВ,Р,290.0
РОУ,ДА,288.0
БОЛ,RCH,861.0
AL,МНП,172.0
РСС,ЗРЕ,1577.0
IR,ПК,909.0
CZ,PL,658.0
AL,MK,151.0
CZ,D,646.0
К,ТА,803.0
БВ,СИН,605.0
NEP,ТДж,1236.0
РИМ,РММ,2237.0
RSA,УР,430.0
AL,KOS,112.0
ЧР,ПА,330.0
БиГ,ОПП,302.0
CZ,SK,215.0
МНП,ОПП,124.0
Р,UA,1576.0
RG,SN,330.0
МПК,ZW,1231.0
Р,SF,1313.0
ГР,MK,228.0
DZ,TN,965.0
Н,SF,729.0
С.А.,ДА,1458.0
KOS,ОПП,352.0
ХОНКС,ТДж,30.0
ЕС,ПЭ,1420.0
ЛАР,TCH,1055.0
ЕТ,ЛАР,1150.0
B,Нл,450.0
ИРК,С.А.,814.0
A,I,430.0
Бен,ВАН,773.0
МВт,Z,837.0
МАКХ,ТДж,0.34
БОЛ,PY,750.0
CH,I,740.0
МПК,УР,105.0
CO,YV,2050.0
ARM,IR,35.0
ЕТ,СУД,1273.0
BF,GH,548.0
LAO,ТДж,423.0
Н,SK,515.0
МПГ,ТДж,4673.0
KOS,МНП,79.0
СУА,HCA,256.0
ЕАТ,Z,338.0
Клянусь!,Р,959.0
SN,ВАГ,740.0
DZ,РИМ,463.0
AZ,ТR,9.0
RG,РММ,858.0
TAD,ТДж,414.0
СИН,ПК,2912.0
АНГ,ЗРЕ,2511.0
ПНГ,РИ,820.0
DZ,МЭТ,1559.0
AFG,TAD,1206.0
ИРК,ТR,331.0
MK,ОПП,62.0
KAZ,KGZ,1051.0
РСС,КБК,467.0
С.А.,ОАЭ,457.0
К,VN,1228.0
БВ,ТДж,470.0
ДН,РБ,1360.0
AL,ГР,282.0
Клянусь!,UA,891.0
БИ,ЕАТ,451.0
РЭ,Ру,579.0
КР,РЭ,1224.0
И,SF,586.0
СИН,ТДж,3380.0
РОУ,С.А.,676.0
КБК,ЗРЕ,2410.0
ЭАК,СУД,232.0
РСС,TCH,1197.0
HR,SLO,546.0
КАМ,КБК,523.0
CO,ПА,225.0
ЭТО,СП,1626.0
E,F,623.0
ДСО,ЧП,113.0
IR,ТR,499.0
PL,SK,444.0
B,D,167.0
ЕАТ,ЕАС,396.0
GH,РТ,877.0
Z,ZW,797.0
КР,МСП,597.0
MD,UA,939.0
CH,D,334.0
СИН,NEP,1690.0
ЕАТ,ЗРЕ,459.0
KOS,MK,159.0
РВА,ЗРЕ,217.0
ГНБ,RG,386.0
RL,СИР,375.0
БГ,MK,148.0
CH,F,573.0
Клянусь!,ЛТ,502.0
ЭТО,СУД,1606.0
КАМ,GQ,189.0
ЭАК,ЭТО,830.0
