country,organization,type
ДА,ВМО,Член
TCH,АфБР,региональный член
РВА,ВКЛ,Член
I,МБРР,Член
C,ВКЛ,Член
РОУ,МОК,Национальный олимпийский комитет
СП,ЮНИДО,Член
Парень,ИМО,Член
И,ВПС,Член
SGP,ИКАО,Член
РП,МОМ,Член
ВАГ,МСЭ,Член
К,CP,Член
CH,МУС,Член
АНГ,МОМ,Член
РН,ИБР,Член
G,FZ,Член
СИН,АфБР,нерегиональный член
ГЭ,ВМО,Член
E,ЕКА,Член
I,ООН,Член
РСС,ВКЛ,Член
СУА,МОМ,Член
МСП,МООНГ,Член
TCH,МАР,Часть II
LAO,МФСР,Категория III
РИМ,Группа 77,Член
HR,ИСО,Член
ARM,ОБСЕ,Член
ЕАС,ВПС,Член
ЗРЕ,ОАЕ,Член
JOR,АБЕДА,Член
КБК,Интерпол,Член
DZ,Группа 77,Член
РОУ,ФАО,Член
ГР,ВПС,Член
IR,МОМ,наблюдатель
Ил,КХЦ,Член
СУА,ВМО,Член
ОК,АфБР,нерегиональный член
МК,ЮНЕСКО,Член
PL,МОТ,Член
РИ,ВОИС,Член
AUS,CP,Член
Р,МОК,Национальный олимпийский комитет
И,ИКАО,Член
ТR,МФОКК,Член
МАКХ,МВФ,Член
РИМ,АККТ,ассоциированный член
Кл,МКСП,Член
И,МОТ,Член
США,НАТО,Член
TAD,ИКАО,Член
БРИН,ФАО,Член
ГБ,ИКМООНН,Член
УРБ,ВМО,Член
Кл,МАГАТЭ,Член
БЕРМ,Кариком,наблюдатель
CZ,КХЦ,Член
БУ,ВМО,Член
CO,МОМ,Член
ПДТ,МБРР,Член
ПА,ОПАНАЛ,Член
Ру,МОМ,Член
МЭТ,AL,Член
UA,ОБСЕ,Член
CY,МСЭ,Член
США,КСП,Член
КИР,МВФ,Член
UA,МОК,Национальный олимпийский комитет
SK,ОМЧП,Член
Ру,КМООНА III,Член
ОК,ВПС,Член
MS,ИКАО,Член
NEP,МВФ,Член
ДЖА,WFTU,Член
КАМ,МКПТ,Национальное общество
Н,УВКБ,Член
Юзеф,МВФ,Член
ДК,СЕ,Член
A,ОМЧП,Член
БИ,ОАЕ,Член
БД,ДН,Член
Р,ООН,Член
ЛАР,Интелсат,Член
Нл,ЕКА,Член
Юзеф,МСЭ,Член
HR,ОБСЕ,Член
РМ,МФСР,Категория III
КАМ,ЭКА,Член
BF,КХЦ,Член
РСС,ФАО,Член
КР,ЭКЛАК,Член
