country,population_growth,infant_mortality
США,0.91,6.7
DZ,2.21,48.7
Н,-0.68,12.3
РОУ,3.53,27.3
VN,1.57,38.4
D,0.67,6.0
ГРАД,1.2,8.3
БИ,1.54,102.2
РШМ,0.82,5.5
IR,2.21,52.7
BF,2.53,117.8
МГ,3.85,46.9
ЕТ,1.91,72.8
SLO,-0.27,7.3
БВИР,1.84,14.65
АНГ,2.68,138.9
ВИРГ,-0.06,12.54
NEP,2.45,79.0
HR,0.58,10.2
Бен,3.32,105.1
ЧП,2.79,118.9
Юзеф,1.87,79.6
Ил,2.11,8.5
АГ,0.76,17.2
ГНБ,2.35,115.8
ДК,0.38,4.8
СУА,2.48,50.7
Мэйо,3.32,56.29
КР,0.89,7.0
ТДж,0.98,39.6
ВАФА,0.35,5.02
ОПП,-0.47,6.75
ГРОКС,1.0,23.8
МАКХ,1.15,5.3
РИМ,3.17,81.7
MK,0.46,29.7
БиГ,-2.84,43.2
БД,1.85,102.3
E,0.16,6.3
WL,1.14,20.0
ЗАХОД,4.99,28.6
AFG,4.78,149.7
МЬЯ,1.84,80.7
РП,2.18,35.9
ARM,0.02,38.9
МАРТ,1.1,7.1
ЛТ,-0.35,17.0
ОК,1.02,8.2
ЕАТ,1.15,105.9
ЕС,1.96,34.8
ГР,0.42,7.4
C,0.44,9.0
ДОМ,1.73,47.7
ВАГ,3.55,80.5
JOR,2.65,31.5
KOS,,
SGP,1.9,4.7
RSA,1.76,48.8
ТТ,0.08,18.2
ФЛ,1.08,5.3
Новой Зеландии,1.12,6.7
WV,0.64,16.8
И,0.56,4.5
GH,2.29,80.3
ДЖА,0.8,15.6
БУ,2.17,64.6
SLB,3.35,25.8
SN,3.37,64.0
КН,1.06,6.1
Кл,1.13,20.8
РЭ,1.1,28.3
РН,2.99,117.6
НМИС,2.29,6.7
ФАЛК,,
BZ,2.42,33.9
AUS,0.99,5.5
БРУ,2.56,24.2
УР,3.24,88.4
GBM,0.94,2.4
ГБ,0.22,6.4
ГУАМ,1.37,6.05
KAZ,-0.15,63.2
Z,2.11,96.1
ТВЧ,1.51,27.6
РБ,1.63,54.2
ПЭ,1.74,52.2
CO,1.66,25.8
УРБ,0.26,18.7
LAO,2.81,96.8
WS,2.37,34.3
ПДТ,2.58,61.1
ФГУ,3.86,14.6
SY,0.76,12.5
SK,0.34,10.7
ХОНКС,0.51,2.9
ИУ,0.83,4.3
РММ,2.95,102.7
КР,1.16,55.3
МЕКС,1.87,25.0
СИР,3.37,40.0
ЭАК,2.27,55.3
РВА,16.49,118.8
ARU,1.478,13.79
G,1.47,90.1
ОМТС,,
К,2.77,107.8
NAU,1.33,40.6
AXA,2.27,3.52
Нл,0.56,4.9
MD,0.18,47.6
РЧ,1.77,103.8
ЛВ,-1.39,21.2
SF,0.1,4.9
И ДОЛЖНОСТНЫЕ ЛИЦА,2.96,2.2
ТR,1.67,43.2
ФСО,1.28,17.4
СУД,3.48,76.0
CV,2.93,54.3
Р,0.02,7.6
ПК,2.24,96.8
RG,1.85,134.1
CZ,-0.03,8.4
TN,1.81,35.1
ТУКА,2.56,13.89
Р,-0.07,24.7
KWT,6.65,11.1
GQ,2.58,98.0
ТМ,1.82,81.6
Q,2.39,19.6
Н,0.48,4.9
РИ,1.53,63.1
БОЛ,1.82,67.5
НЬЮ,,
МВт,1.71,139.9
ДА,3.56,71.5
V,,
БРИН,2.27,17.1
ES,1.81,31.9
ЭТО,2.72,122.8
АЗС,2.46,145.82
RCH,1.24,13.6
ПНГ,2.29,60.1
СПМИ,0.77,9.95
HELX,0.45,17.63
ТА,1.03,33.4
КАМ,2.89,78.7
МПГ,1.69,69.7
К,0.82,40.26
ГБЦ,0.54,6.9
KN,0.98,18.9
IRL,-0.22,6.4
A,0.41,6.2
МК,0.59,6.9
СИН,1.64,71.1
АМСА,1.22,10.18
F,0.34,5.3
SVAX,-0.02,
AZ,0.78,74.5
СМАРТ,,
AL,1.34,49.2
МСП,1.6,29.3
СП,3.1,121.1
МВ,3.52,47.0
COM,3.55,75.3
МНП,-0.851,
KGZ,0.07,77.8
ДН,2.93,47.2
ВАН,3.05,72.4
ГБГ,1.28,9.2
PY,2.67,23.2
ИРК,3.69,60.0
РСС,2.08,111.7
ГЭ,-1.02,22.5
ПР,0.34,8.42
ЕАС,2.24,99.4
НКА,1.14,7.05
,0.73,9.09
ТЛ,2.03,40.65
ВРЕМЯ,1.93,7.5
ЛАР,3.67,59.5
Парень,-0.9,51.4
CH,0.59,5.4
РМ,2.83,93.5
YV,1.89,29.5
ДСО,1.5,106.7
БВ,2.32,116.3
ЗРЕ,1.67,108.0
ЭВ,-1.13,17.4
ФПОЛ,1.39,7.55
GBJ,0.77,2.7
МЭТ,2.05,43.2
RL,2.16,36.7
FARX,-1.8,7.2
WD,0.38,9.6
RO,-1.21,23.2
Клянусь!,0.2,13.4
НОРФ,,
НИК,2.67,45.8
HCA,2.6,41.8
МПК,2.65,125.6
РТ,3.56,84.3
