name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Донау,,,Черное море,2845.0,8.52,47.95,Черный лес,686.0,29.65,45.16
Бахр-эль-Джебель/Альберт-Нил,Белый Нил,,,,30.9,1.7,Восточноафриканский хребет,619.0,30.43,9.5
Вааль,Оранье,,,1251.0,30.0,-26.0,Дракенсберг,,24.0,-29.0
Миссисипи,,,Мексиканский залив,3778.0,-95.2,47.25,,512.0,-89.25,29.15
Рио-Лерма,,Лаго-де-Чапала,Тихоокеанский океан,965.0,-99.0,19.0,,,-105.6,21.5
Реус,Aare,Vierwaldstattersee,,164.0,8.54,46.56,Альпы,2431.0,8.2371,47.4921
Дорогая Ривер,Мюррей Ривер,,,2739.0,152.0,-28.0,Большой дивиденд,,141.9,-34.1
Марн,Сена,,,514.0,5.35,47.8,,406.0,2.4,48.8
&lt; &lt; Шатт аль-Араб &gt; &gt;,,,Персидский залив,193.0,47.44,31.0,,20.0,48.6,29.9
Минсио,Po,,,75.0,10.7,45.4,Альпы,65.0,10.95,45.1
Маас,,,Северное море,925.0,5.63,47.97,,409.0,4.67,51.72
Aare,Рейн,Брайенцерзе,,288.0,8.2,46.55,Альпы,2310.0,8.22,47.61
Adda,Po,Лаго-ди-Комо,,313.0,10.3,46.55,Альпы,2235.0,9.88,45.13
Лаген,Гломма,Мьоза-Смотри.,,322.0,8.45,62.19,,611.0,11.45,61.1
Кимижоки,,,Балтийское море,203.0,25.4,61.5,,78.0,26.5,60.3
Сенегал,,,Атлантический океан,1430.0,-12.0,11.5,,,-16.5,15.96
Река Святого Лоуренса,,,Атлантический океан,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Шабель,Джубба,,,1820.0,,,,,42.76,0.5
Евфрат,&lt; &lt; Шатт аль-Араб &gt; &gt;,,,2736.0,38.75,38.8,,,47.44,31.0
Вольта,,Озеро Вольта,Атлантический океан,1500.0,-4.5,11.0,,,0.68,5.77
Главное,Рейн,,,524.0,11.4,50.1,Фихтельгебридж,887.0,8.29,49.99
Дон,,,Азовское море,1870.0,37.5,53.0,,,39.4,47.1
Река Коннектикут,,,Атлантический океан,655.0,-71.21,45.25,,,-72.33,41.27
Арканзас,Миссисипи,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Аммер,Исар,Аммерзе,,168.0,11.05,47.57,Альпы,850.0,11.96,48.5
Семлики,,Озеро Сесе Секо/Альбертзе,,230.0,29.6,-0.35,Восточноафриканский хребет,920.0,30.9,1.7
Умеэльв,,Сторуман,Балтийское море,470.0,15.0,66.1,,,20.1,63.5
Луалаба,Заир,,,,27.0,-12.0,,,25.2,0.5
Исар,Донау,,,295.0,11.4,47.37,Альпы,1.16,12.98,48.8
Акагера,,Озеро Виктория,,275.0,29.3,-2.5,Восточноафриканский хребет,2700.0,33.0,-1.0
Гудзон Ривер,,,Атлантический океан,493.0,-73.95,44.1,Адирондаки,1309.0,-74.0,40.7
Шилка,Амур,,,560.0,111.0,49.8,,,121.48,53.33
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Катун,О,,,688.0,86.56,49.75,Алтай,2000.0,85.0,52.43
Бенуэ,Нигер,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Ривьер Ришелье,Река Святого Лоуренса,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Нигер,,Озеро Каинджи,Атлантический океан,4184.0,-10.87,9.65,,490.0,6.42,5.32
Колима,,,Сибирианское море,2129.0,145.0,61.5,,,161.49,69.63
Изир,Роун,,,290.0,7.0,45.4,Альпы,2770.0,4.9,45.0
Тибер,,,Средиземное море,405.0,12.08,43.77,Апеннин,1348.0,12.23,41.74
Лех,Донау,,,264.0,10.0,47.17,Альпы,1840.0,10.93,48.73
Хванхо,,,Желтое море,4845.0,96.2,35.3,,4500.0,119.14,37.74
Виктория Нил,,Озеро Сесе Секо/Альбертзе,,,33.0,-1.0,Восточноафриканский хребет,1134.0,30.9,1.7
Баро,Собачья,,,,,,,,,
Меконг,,,Южно-Китайское море,4350.0,94.0,32.5,,5200.0,107.0,9.0
Саар,Мозель,,,227.0,7.15,48.5,Вогесен,640.0,6.6,49.7
Иравадди,,,Андаманское море,2170.0,98.0,29.0,,4300.0,96.0,17.0
Эннс,Донау,,,254.0,13.35,47.33,Альпы,1375.0,14.52,48.24
Кокемаенейоки,,,Балтийское море,121.0,23.0,61.3,,,21.2,61.3
Река Мерримак,,,Атлантический океан,177.0,-71.6,43.4,,,-70.8119,42.8194
Морава,Донау,,,185.0,21.4,43.7,,,21.1,44.6
Сусона,Северная Двина,,,558.0,59.0,39.0,,180.0,60.9,46.3
Теннесси,Ривер Огайо,Озеро Чикамауга,,1049.0,-83.0,35.2,Аппалачские горы,,-88.63,37.07
Руки,Заир,,,130.0,19.0,-0.3,,,18.0,0.0
Рааб,Донау,,,250.0,15.52,47.35,Альпы,1150.0,17.63,47.69
Маникуаган,Река Святого Лоуренса,,,560.0,-68.7,51.4,,350.0,-68.15,49.2
Гломма,,,Скагеррак,604.0,12.0,62.6,,860.0,10.95,59.2
Амударья,,Ozero Aral,,1415.0,68.3,37.1,,310.0,59.0,44.0
Аллер,Уэсер,,,211.0,11.23,52.1,,130.0,9.18,52.94
Ишим,Иртыш,,,2450.0,71.5,52.0,,,71.5,58.0
Таджо,,,Атлантический океан,1007.0,-1.7,40.32,Кордильера Иберика,1.58,-9.3,38.7
Габариты,,,Бенгальский залив,2511.0,79.5,30.5,,,90.0,22.0
Вуокси,,Ozero Ladoga,,162.0,28.75,61.2,,,31.54,60.81
Касаи,Ква,,,1983.0,19.3,-10.96,,,17.4,3.3
Янгце,,,Восточно-Китайское море,6380.0,91.2,33.5,,5405.0,121.5,32.0
Лувуа,Луалаба,,,350.0,28.7,-9.0,Восточноафриканский хребет,931.0,27.0,-7.0
Сирдарья,,Ozero Aral,,2129.0,71.7,41.0,,,60.5,46.0
Бани,Нигер,,,430.0,-6.56,12.6,,285.0,-4.2,14.52
Рио Мадейра,Амазонки,,,1450.0,-65.4,-10.4,,,-58.76,-3.4
Салуэн,,,Андаманское море,2980.0,91.9,32.5,,5450.0,97.5,17.0
Мёр,Драу,,,453.0,13.35,47.13,Альпы,1898.0,16.88,46.3
Верра,Уэсер,,,292.0,10.96,50.5,Вирингер Уолд,797.0,9.65,51.4
Тобол,О,,,1591.0,60.8,51.2,Урал,,68.25,58.2
Остердалаэльв,Далаэльв,Сильвян,,241.0,12.6,62.2,,,15.1,60.7
Лимпопо,,,Индийский океан,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Миссури,Миссисипи,Озеро Форт-Пек,,4130.0,-111.5,45.9,,1232.0,-90.12,38.81
Вейксель,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Санага,,Барьер &lt; &lt; Мбакау &gt; &gt;,Атлантический океан,918.0,,,,,9.65,3.55
Люкни,Фими,,,900.0,24.5,-6.8,,,16.9,3.0
