city,province,country,island
Бриджтаун,Барбадос,УРБ,Барбадос
Гуантанамо,Гуантанамо,C,Куба
Лёрвик,Шетланд,ГБ,Шетландский материк
Митилини,Верион &lt; &lt; Айяон &gt; &gt;,ГР,Лесбос
Крючок,Саравак,ТЗА,Борнео
Мужской,Мальдивские Острова,МВ,Мужской
Порт-Луис,Маврикий,MS,Маврикий
Матлок,Дербишир,ГБ,Великобритании
Палермо,Сицилия,I,Сицилия
Дурхем,Дурхем,ГБ,Великобритании
Паликир,Микронезия,ФШМ,Понапе
Суракарта,Индонезия,РИ,Ява
Макати,Филиппины,РП,Лузон
Санта-Крус де Тенерифе,Канарские острова,E,Тенерифа
Виндзор,Беркшир,ГБ,Великобритании
Хантингдон,Кембриджшир,ГБ,Великобритании
Tunbridge Wells,Кент,ГБ,Великобритании
Хониара,Соломоновы Острова,SLB,Гвадалканал
Маэбаши,Гумма,J,Хонсю
Пекан Бару,Индонезия,РИ,Суматра
Аяччо,Корс,F,Корс
Бинджай,Индонезия,РИ,Суматра
Пальма-де-Мальорка,Балеарские острова,E,Маллорка
Kirkwall,Оркни,ГБ,"Оркни, материковая область"
Бурнмут,Дорсет,ГБ,Великобритании
Сингапур,Сингапур,SGP,Сингапур
Рошдейл,Большой Манчестер,ГБ,Великобритании
Ковентри,Западные Мидленды,ГБ,Великобритании
Кальяри,Сарденья,I,Сарденья
Хаверфорд-запад,Пемброкшир,ГБ,Великобритании
Виктория-де-лас-тунас,Тунецы,C,Куба
Матанзас,Матанзас,C,Куба
Лейчестер,Лестершир,ГБ,Великобритании
Джордж Таун,Каймановы острова,Кейм,Большой Кайман
Мидлсбро,Кливленд,ГБ,Великобритании
Ноттингем,Ноттингемшир,ГБ,Великобритании
Нара,Нара,J,Хонсю
Кингстон на Халле,Гумберсайд,ГБ,Великобритании
Окаяма,Окаяма,J,Хонсю
Джокьякарта,Индонезия,РИ,Ява
Аомори,Аомори,J,Хонсю
Чиай,Тайвань,КР,Тайвань
Каохсюн,Тайвань,КР,Тайвань
Катания,Сицилия,I,Сицилия
Чтение,Беркшир,ГБ,Великобритании
Мэнсфилд,Ноттингемшир,ГБ,Великобритании
Ньюкасл под Лаймом,Стаффордшир,ГБ,Великобритании
Мамуцу,Майотта,Мэйо,Майотта
Гавана,Сьюдад-де-ла-Хабана,C,Куба
Тарава,Кирибати,КИР,Тарава
Сент-Джонс,Ньюфаундленд,КН,Ньюфаундленд
Донкастер,Южный Йоркшир,ГБ,Великобритании
Вайкомб,Бекингемшир,ГБ,Великобритании
Троубридж,Уилтшир,ГБ,Великобритании
Тэмсайд,Большой Манчестер,ГБ,Великобритании
Хайку,Хайнан,ТДж,Хайнан
Стаффорд,Стаффордшир,ГБ,Великобритании
Сэлфорд,Большой Манчестер,ГБ,Великобритании
Олдхэм,Большой Манчестер,ГБ,Великобритании
Бандар Лампунг,Индонезия,РИ,Суматра
Семаранг,Индонезия,РИ,Ява
Коломбо,Шри-Ланка,Кл,Шри-Ланка
Басс-Терре,Гваделупа,ГРАД,Басс-Терре
Сандерленд,Тайн и Валяй.,ГБ,Великобритании
Адамстаун,Острова Питкэрн,ОМТС,Питкэрн
Веллингтон,Новая Зеландия,Новой Зеландии,Те Ика-а-Мауи (Северный остров)
Кингстон,Остров Норфолк,НОРФ,Остров Норфолк
Святой Верхний,Джерси,GBJ,Джерси
Плангакарайя,Индонезия,РИ,Борнео
Танджун Балай,Индонезия,РИ,Суматра
Базингсток,Гэмпшир,ГБ,Великобритании
Бастер,Сент-Китс и Невис,KN,Сент-Китс
Акита,Акита,J,Хонсю
Ярен,Науру,NAU,Науру
Кумбран,Монмутшир,ГБ,Великобритании
Дуглас,Мужчина,GBM,Остров Мэн
Карнарфон,Гвинедд,ГБ,Великобритании
Порт Блэр,Андаман и Никобар тоже.,СИН,Южный Андаман
Сайпан,Северные Марианские острова,НМИС,Сайпан
Йорк,Северный Йоркшир,ГБ,Великобритании
Абэристит,Цередигация,ГБ,Великобритании
Мито,Ибараки,J,Хонсю
Сторнуэя,Внешние гебриды,ГБ,Льюис и Харрис
Ренфрю,Стратклид,ГБ,Великобритании
Бедфорд,Бедфордшир,ГБ,Великобритании
Плимут,Девон,ГБ,Великобритании
Эмбон,Индонезия,РИ,Эмбон
Свонси,Свонси,ГБ,Великобритании
Чунхо,Тайвань,КР,Тайвань
Токусима,Токусима,J,Шикоку
