sea1,sea2
Восточно-Китайское море,Южно-Китайское море
Андаманское море,Бенгальский залив
Северный Ледовитый океан,Сибирианское море
Северный Ледовитый океан,Атлантический океан
Бенгальский залив,Тихоокеанский океан
Тихоокеанский океан,Охотское море
Северное море,Скагеррак
Атлантический океан,Карибское море
Море Баренцев,Норвежское море
Восточно-Китайское море,Желтое море
Оманский залив,Персидский залив
Восточно-Китайское море,Тихоокеанский океан
Южно-Китайское море,Море Сулавеси
Бенгальский залив,Сундское море
Северный Ледовитый океан,Беременное море
Арабское море,Аденский залив
Северный Ледовитый океан,Море Баренцев
Черное море,Средиземное море
Балтийское море,Северное море
Тихоокеанский океан,Море Сулавеси
Беременное море,Тихоокеанский океан
Арабское море,Индийский океан
Восточно-Китайское море,Японское море
Тихоокеанский океан,Сундское море
Аденский залив,Красное море
Северный Ледовитый океан,Норвежское море
Атлантический океан,Мексиканский залив
Атлантический океан,Канал
Черное море,Азовское море
Андаманское море,Малаккский пролив
Карибское море,Мексиканский залив
Аденский залив,Индийский океан
Малаккский пролив,Южно-Китайское море
Тихоокеанский океан,Японское море
Северное море,Канал
Атлантический океан,Индийский океан
Атлантический океан,Северное море
Японское море,Желтое море
Индийский океан,Сундское море
Атлантический океан,Ирландское море
Тихоокеанский океан,Южно-Китайское море
Андаманское море,Индийский океан
Море Баренцев,Сибирианское море
Атлантический океан,Средиземное море
Японское море,Охотское море
Атлантический океан,Норвежское море
Арабское море,Оманский залив
Индийский океан,Тихоокеанский океан
Южно-Китайское море,Сундское море
Каттегат,Скагеррак
Атлантический океан,Тихоокеанский океан
Северное море,Норвежское море
Море Сулавеси,Сундское море
Оманский залив,Индийский океан
