country,independence,dependent,government
ГБГ,,ГБ,British Kone Industice (иждивенчество британской кроны)
АЗС,,,правовой статус территории и вопрос о суверенитете
HR,1991-06-25,,парламентская демократия
MD,1991-08-27,,Республика
ДОМ,1844-02-27,,Республика
К,1970-06-04,,Наследственная конституционная монархия
L,,,конституционная монархия
КИР,1979-07-12,,Республика
Кейм,,ГБ,Британские заморские территории
КР,1822-09-07,,Федеративная республика
ДА,1990-05-22,,Республика
БД,1971-12-16,,Республика
ЕАС,1962-10-09,,Республика
XMAS,,AUS,территории Австралии
PL,1918-11-11,,демократическое государство
KN,1983-09-19,,конституционная монархия
YV,1811-07-05,,Республика
БВ,1949-08-08,,монархия
ТВЧ,1978-10-01,,демократии
НЬЮ,1974-10-19,,свободного объединения с Новой Зеландией
MK,1991-09-17,,Формирующаяся демократия
ЛВ,1991-09-06,,Республика
МАРТ,,F,Министерство иностранных дел Франции
БЕРМ,,ГБ,Британские заморские территории
ГБЦ,,ГБ,зависимых территорий Соединенного Королевства
АМСА,,США,неинкорпорированная и неорганизованная территория США
ДК,,,конституционная монархия
ПАЛ,1994-10-01,,конституционное правительство в свободной ассоциации с США
BF,1960-08-05,,Парламентский
ГУАМ,,США,организован
I,1861-03-17,,Республика
ДЖА,1962-08-06,,парламентская демократия
V,1929-02-11,,монархическое крепостное состояние
AL,1912-11-28,,Формирующаяся демократия
МАКХ,,ТДж,и специальной административной области в Китае
БГ,1908-09-22,,Формирующаяся демократия
Р,1140-01-01,,Республика
МВт,1964-07-06,,Многосторонняя демократия
ФАЛК,,ГБ,Британские заморские территории
КБК,1960-08-15,,Республика
ЕАТ,1964-04-26,,Республика
ГР,1829-01-01,,парламентская республика
Кл,1948-02-04,,Республика
LAO,1949-07-19,,Коммунистическое государство
FARX,,ДК,части датской территории
UA,1991-12-01,,Республика
ES,1821-09-15,,Республика
КН,1867-07-01,,Конфедерация с парламентской демократией
GBJ,,ГБ,British Kone Industice (иждивенчество британской кроны)
СИР,1946-04-17,,Республика под военным режимом с марта 1963 года
SN,1960-08-20,,Республика в условиях многопартийного демократического правления
CZ,1993-01-01,,парламентская демократия
NAU,1968-01-31,,Республика
